Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9530865092027687
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9984597669016356
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9995136332614547
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.9233092486639717
Sequence552.csv_1: True Class: A, Predicted: B, Probability: 0.9288013220442033
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.9874363095696855
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.9255231383271314
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.9999925328332735
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.952415317868938
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.9965733308638539
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.9887290531700546
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9997093362487876
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.9411057076211283
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.9961134797269908
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9969148783238005
Sequence562.csv_1: True Class: B, Predicted: A, Probability: 0.9999323483230916
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.999924215499806
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9985521178731703
Sequence565.csv_1: True Class: B, Predicted: A, Probability: 0.7841435390028131
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.8898030372996927
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9638863569795088
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.9876388726838132
Sequence569.csv_1: True Class: B, Predicted: A, Probability: 0.9998186815796525
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.5296703110545972
Sequence570.csv_1: True Class: B, Predicted: A, Probability: 0.8387166828928362
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.7553422467695595
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.9613869238087565
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9579061415560884
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 0.9205112369418742
Sequence575.csv_1: True Class: A, Predicted: B, Probability: 0.999760516397648
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.5682153765030029
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.7041547074122805
Sequence578.csv_1: True Class: B, Predicted: B, Probability: 0.7265028276514339
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.955063051112076
Sequence58.csv_1: True Class: A, Predicted: B, Probability: 0.7128684303720297
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9282122946319847
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9878750055234119
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9619008875235682
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.9694165146439487
Sequence584.csv_1: True Class: B, Predicted: A, Probability: 0.9891547201940414
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.6953759304618614
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.9955070241181414
Sequence587.csv_1: True Class: A, Predicted: B, Probability: 0.6851928805856705
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.9934864002876506
Sequence589.csv_1: True Class: B, Predicted: A, Probability: 0.9270541877512611
Sequence59.csv_1: True Class: B, Predicted: A, Probability: 0.5478148211358501
Sequence590.csv_1: True Class: B, Predicted: A, Probability: 0.9676943164088011
Sequence591.csv_1: True Class: A, Predicted: A, Probability: 0.9760508173085805
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.6125386919487157
Sequence593.csv_1: True Class: B, Predicted: A, Probability: 0.9999754845246224
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.7786514639840583
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.9293789834077973
Sequence596.csv_1: True Class: B, Predicted: A, Probability: 0.6628884121291365
Sequence597.csv_1: True Class: A, Predicted: B, Probability: 0.8079729790133464
Sequence598.csv_1: True Class: A, Predicted: B, Probability: 0.5040431814278767
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.9998451281219817
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.9928550785798773
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.9904475638218191
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.9836269030728426
Sequence601.csv_1: True Class: B, Predicted: A, Probability: 0.9999669491012179
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.5672595156388898
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 0.9996022269750606
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.9233462423369354
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 0.9109541256771484
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 0.931973796952107
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.999821762512753
Sequence608.csv_1: True Class: B, Predicted: B, Probability: 0.9929460411347631
