Sequence549.csv_1: True Class: A, Predicted: B, Probability: 0.9280751233089236
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.7707633620555235
Sequence550.csv_1: True Class: A, Predicted: B, Probability: 0.9990119906109556
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.8551466380356186
Sequence552.csv_1: True Class: A, Predicted: B, Probability: 0.9999848592887822
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.9967221061988127
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.9357931573913324
Sequence555.csv_1: True Class: B, Predicted: A, Probability: 0.999526783355438
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.6818612162586336
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.9807804463625938
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.8852921939460232
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.992999106239371
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9811006344550908
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.7885501820577802
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.9987258330581162
Sequence562.csv_1: True Class: B, Predicted: A, Probability: 0.9755750520492238
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.9706355391645463
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9996209648647445
Sequence565.csv_1: True Class: A, Predicted: B, Probability: 0.9983702678148881
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9997654283694183
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.631486017225821
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9904723802477953
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9997636309768182
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.8789010013838532
Sequence570.csv_1: True Class: B, Predicted: A, Probability: 0.9986475986482337
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.986119116075899
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.9830951581636806
Sequence573.csv_1: True Class: B, Predicted: A, Probability: 0.9999904351933528
Sequence574.csv_1: True Class: B, Predicted: A, Probability: 0.9996394046123708
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9748463650164388
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9939281864645544
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9483838873661008
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9998689630719471
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9017928956624897
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9582214909957399
Sequence580.csv_1: True Class: B, Predicted: A, Probability: 0.9998577839177277
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.5154366977565089
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9986088438522176
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.9785734720208802
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.9983088619391493
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.7777254967517033
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.9983413988922051
Sequence587.csv_1: True Class: B, Predicted: A, Probability: 0.9964579508173315
Sequence588.csv_1: True Class: B, Predicted: A, Probability: 0.9423129972921919
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9989261606065638
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.9836131183663335
Sequence590.csv_1: True Class: B, Predicted: A, Probability: 0.9989256616186017
Sequence591.csv_1: True Class: B, Predicted: A, Probability: 0.7883254225711126
Sequence592.csv_1: True Class: B, Predicted: A, Probability: 0.595712811704881
Sequence593.csv_1: True Class: B, Predicted: B, Probability: 0.9993654797564794
Sequence594.csv_1: True Class: B, Predicted: A, Probability: 0.9489229750051191
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.8889980682218481
Sequence596.csv_1: True Class: B, Predicted: B, Probability: 0.7911219076059192
Sequence597.csv_1: True Class: A, Predicted: B, Probability: 0.51034673840834
Sequence598.csv_1: True Class: A, Predicted: B, Probability: 0.9671533730505307
Sequence599.csv_1: True Class: B, Predicted: A, Probability: 0.9380601346094635
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.942215059770429
Sequence60.csv_1: True Class: A, Predicted: B, Probability: 0.8899737446368228
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.9999889318899429
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.9996631862047997
Sequence602.csv_1: True Class: B, Predicted: A, Probability: 0.6587964639457007
