Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.9997434504392949
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9964645578815193
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9999999785326417
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.999686357042471
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.8358237879276644
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.99832290383554
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.9999995215248099
Sequence555.csv_1: True Class: B, Predicted: A, Probability: 0.9477269762706207
Sequence556.csv_1: True Class: A, Predicted: B, Probability: 0.9986539116474898
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.976838446026922
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.9883454848767906
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9884127127719624
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9997578488245982
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.8870744829102476
Sequence561.csv_1: True Class: A, Predicted: B, Probability: 0.999752954718856
Sequence562.csv_1: True Class: A, Predicted: B, Probability: 0.9779275901612905
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9983335112253076
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999996485224637
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.7933167424926857
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9999978509931317
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.9999824663930821
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9680831253687824
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.6502895914428087
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.999327013956381
Sequence570.csv_1: True Class: A, Predicted: B, Probability: 0.9996244842225195
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9014737419917555
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.999995814246385
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.99999988864384
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9999909138686784
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999997551377635
Sequence576.csv_1: True Class: A, Predicted: B, Probability: 0.9999548535653296
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.99891094370809
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.9999973908146108
Sequence579.csv_1: True Class: A, Predicted: B, Probability: 0.7967252573543075
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999310800684664
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.987653545514133
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9993661753338957
Sequence582.csv_1: True Class: B, Predicted: A, Probability: 0.9999999016569764
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.999999493201753
Sequence584.csv_1: True Class: A, Predicted: B, Probability: 0.9991735157311786
Sequence585.csv_1: True Class: A, Predicted: B, Probability: 0.5030524954200115
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.8276351777315114
Sequence587.csv_1: True Class: B, Predicted: A, Probability: 0.9980691585542976
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.9849451832192293
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9997703086656402
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.9995453670115804
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.999998276976813
Sequence591.csv_1: True Class: A, Predicted: A, Probability: 0.9383133422410709
Sequence592.csv_1: True Class: A, Predicted: B, Probability: 0.9288566539130027
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9999810090771759
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.5480625962653648
Sequence595.csv_1: True Class: A, Predicted: B, Probability: 0.9137061380017448
Sequence596.csv_1: True Class: B, Predicted: A, Probability: 0.9928169212009155
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.6699752995964479
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.9997806957074371
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.9055840057860822
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999754389
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.9989629336072439
Sequence600.csv_1: True Class: B, Predicted: A, Probability: 0.9991355922357993
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.9983598470117767
