Sequence549.csv_1: True Class: A, Predicted: C, Probability: 0.7708511611317422
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.7497967215422935
Sequence550.csv_1: True Class: C, Predicted: A, Probability: 0.5221698061108913
Sequence551.csv_1: True Class: C, Predicted: A, Probability: 0.8815760617241523
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999035570257505
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.7843923102843438
Sequence554.csv_1: True Class: A, Predicted: B, Probability: 0.6983306616842216
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9685117671082232
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9999885705992692
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.7096083967482578
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.6750309360192911
Sequence559.csv_1: True Class: C, Predicted: C, Probability: 0.9999984662532498
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999999782280773
Sequence560.csv_1: True Class: A, Predicted: C, Probability: 0.8372773971571338
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9467769926685229
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.990532364541312
Sequence563.csv_1: True Class: A, Predicted: B, Probability: 0.991810456888432
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.99668073330379
Sequence565.csv_1: True Class: B, Predicted: A, Probability: 0.9992245036338234
Sequence566.csv_1: True Class: C, Predicted: C, Probability: 0.9900856315566161
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.9889438796153792
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.5632108786618006
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999999614719653
Sequence57.csv_1: True Class: C, Predicted: C, Probability: 0.911264800918876
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.662272416581759
Sequence571.csv_1: True Class: A, Predicted: B, Probability: 0.6157578762982824
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.9717149176753789
Sequence573.csv_1: True Class: B, Predicted: C, Probability: 0.982837587891638
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.5877463635678374
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.9795192971655522
Sequence576.csv_1: True Class: C, Predicted: C, Probability: 0.9948762860187019
Sequence577.csv_1: True Class: A, Predicted: B, Probability: 0.8891770343283677
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.6171132083654791
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9840950866368167
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.988701262690569
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.9250599008700576
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999999292446563
Sequence582.csv_1: True Class: C, Predicted: A, Probability: 0.9926518526323584
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 0.7601358581993457
Sequence584.csv_1: True Class: C, Predicted: B, Probability: 0.9228178658732646
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.8468617731499759
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9631432119631993
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9713430736955602
Sequence588.csv_1: True Class: B, Predicted: A, Probability: 0.5568013160400739
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9740470029276185
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.8584895432209756
Sequence590.csv_1: True Class: C, Predicted: C, Probability: 0.910996375592604
Sequence591.csv_1: True Class: A, Predicted: B, Probability: 0.9985577428614041
Sequence592.csv_1: True Class: C, Predicted: C, Probability: 0.6815770881201406
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9929317665731441
Sequence594.csv_1: True Class: C, Predicted: A, Probability: 0.9503511478539087
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.5309902113423443
Sequence596.csv_1: True Class: A, Predicted: C, Probability: 0.9824134366521458
Sequence597.csv_1: True Class: C, Predicted: B, Probability: 0.8149241219803769
Sequence598.csv_1: True Class: B, Predicted: C, Probability: 0.9979655615714896
Sequence599.csv_1: True Class: C, Predicted: A, Probability: 0.8970164939608264
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.9966682955714973
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.4914198558719694
Sequence600.csv_1: True Class: B, Predicted: C, Probability: 0.8723217677215751
Sequence601.csv_1: True Class: C, Predicted: B, Probability: 0.8007162410728645
Sequence602.csv_1: True Class: B, Predicted: C, Probability: 0.990393088397446
Sequence603.csv_1: True Class: C, Predicted: C, Probability: 0.760156161700659
Sequence604.csv_1: True Class: B, Predicted: B, Probability: 0.6333559465999862
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.9999983224051453
Sequence606.csv_1: True Class: B, Predicted: C, Probability: 0.7564157438351989
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.5692892822564121
Sequence608.csv_1: True Class: B, Predicted: B, Probability: 0.9914534380191572
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.9999999747577389
Sequence61.csv_1: True Class: C, Predicted: B, Probability: 0.9999984908814236
Sequence610.csv_1: True Class: C, Predicted: B, Probability: 0.7463064094939449
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 0.9959338999085348
Sequence612.csv_1: True Class: A, Predicted: A, Probability: 0.9949826798810338
Sequence613.csv_1: True Class: C, Predicted: A, Probability: 0.5512685006547774
Sequence614.csv_1: True Class: C, Predicted: C, Probability: 0.9460439462496076
Sequence615.csv_1: True Class: C, Predicted: C, Probability: 0.9920044877241637
Sequence616.csv_1: True Class: C, Predicted: C, Probability: 0.9999665899633973
Sequence617.csv_1: True Class: B, Predicted: B, Probability: 0.9994039460545634
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.9292363493049051
Sequence619.csv_1: True Class: C, Predicted: A, Probability: 0.9247303777654835
Sequence62.csv_1: True Class: C, Predicted: B, Probability: 0.7968822272819828
Sequence620.csv_1: True Class: B, Predicted: C, Probability: 0.9986141252443079
Sequence621.csv_1: True Class: B, Predicted: A, Probability: 0.8784357332489054
Sequence622.csv_1: True Class: C, Predicted: C, Probability: 0.8318897427766144
Sequence623.csv_1: True Class: A, Predicted: B, Probability: 0.9669966280696105
Sequence624.csv_1: True Class: C, Predicted: C, Probability: 0.9785225671387762
Sequence625.csv_1: True Class: B, Predicted: C, Probability: 0.9582130640263454
Sequence626.csv_1: True Class: A, Predicted: B, Probability: 0.7580800136269166
Sequence627.csv_1: True Class: B, Predicted: A, Probability: 0.9938916470525576
Sequence628.csv_1: True Class: B, Predicted: B, Probability: 0.7846321699047246
Sequence629.csv_1: True Class: A, Predicted: B, Probability: 0.9894891714619776
Sequence63.csv_1: True Class: A, Predicted: C, Probability: 0.9976396522132392
Sequence630.csv_1: True Class: B, Predicted: B, Probability: 0.5996383166054227
Sequence631.csv_1: True Class: B, Predicted: B, Probability: 0.8719529247426935
Sequence632.csv_1: True Class: A, Predicted: C, Probability: 0.9998962523213129
Sequence633.csv_1: True Class: C, Predicted: C, Probability: 0.9999999781623018
Sequence634.csv_1: True Class: A, Predicted: A, Probability: 0.6932966593314936
Sequence635.csv_1: True Class: B, Predicted: B, Probability: 0.999930532216402
Sequence636.csv_1: True Class: A, Predicted: B, Probability: 0.9188141865549849
Sequence637.csv_1: True Class: A, Predicted: A, Probability: 0.9998659455514926
Sequence638.csv_1: True Class: A, Predicted: A, Probability: 0.6211752470449879
Sequence639.csv_1: True Class: B, Predicted: C, Probability: 0.9999985657415676
Sequence64.csv_1: True Class: B, Predicted: A, Probability: 0.9990224556327073
Sequence640.csv_1: True Class: A, Predicted: B, Probability: 0.6712709824335754
Sequence641.csv_1: True Class: A, Predicted: A, Probability: 0.9903630922785249
Sequence642.csv_1: True Class: A, Predicted: C, Probability: 0.9987255330015001
Sequence643.csv_1: True Class: A, Predicted: B, Probability: 0.7843544521704153
Sequence644.csv_1: True Class: C, Predicted: B, Probability: 0.9999821757963259
Sequence645.csv_1: True Class: A, Predicted: A, Probability: 0.9720168815975038
Sequence646.csv_1: True Class: A, Predicted: C, Probability: 0.92382691727276
Sequence647.csv_1: True Class: C, Predicted: C, Probability: 0.9997222973608355
Sequence648.csv_1: True Class: B, Predicted: A, Probability: 0.8515618237883517
Sequence649.csv_1: True Class: A, Predicted: A, Probability: 0.9996790638575704
Sequence65.csv_1: True Class: B, Predicted: B, Probability: 0.7358507030245066
Sequence650.csv_1: True Class: B, Predicted: A, Probability: 0.997539360044987
Sequence651.csv_1: True Class: A, Predicted: A, Probability: 0.9999997930325885
Sequence652.csv_1: True Class: B, Predicted: B, Probability: 0.9971568308157152
Sequence653.csv_1: True Class: A, Predicted: B, Probability: 0.994347096443651
Sequence654.csv_1: True Class: C, Predicted: C, Probability: 0.646633603656309
Sequence655.csv_1: True Class: A, Predicted: B, Probability: 0.9972680994317956
Sequence656.csv_1: True Class: B, Predicted: C, Probability: 0.7061647950585427
Sequence657.csv_1: True Class: B, Predicted: A, Probability: 0.9988389575946617
Sequence658.csv_1: True Class: B, Predicted: B, Probability: 0.9999998770428148
Sequence659.csv_1: True Class: C, Predicted: B, Probability: 0.9994387652511044
Sequence66.csv_1: True Class: C, Predicted: B, Probability: 0.9868040252115357
Sequence660.csv_1: True Class: B, Predicted: C, Probability: 0.9905647858101074
Sequence661.csv_1: True Class: B, Predicted: A, Probability: 0.5011593214291109
Sequence662.csv_1: True Class: B, Predicted: A, Probability: 0.9883399241410409
Sequence663.csv_1: True Class: C, Predicted: C, Probability: 0.5870139965255932
Sequence664.csv_1: True Class: C, Predicted: C, Probability: 0.9999377046342844
Sequence665.csv_1: True Class: B, Predicted: B, Probability: 0.9928674930349162
Sequence666.csv_1: True Class: C, Predicted: A, Probability: 0.98762458853401
Sequence667.csv_1: True Class: A, Predicted: A, Probability: 0.9964252953421315
Sequence668.csv_1: True Class: C, Predicted: B, Probability: 0.7917424241827178
Sequence669.csv_1: True Class: A, Predicted: A, Probability: 0.5505582894945782
Sequence67.csv_1: True Class: C, Predicted: C, Probability: 0.9985525494426604
Sequence670.csv_1: True Class: B, Predicted: B, Probability: 0.9956304075176539
Sequence671.csv_1: True Class: A, Predicted: A, Probability: 0.9994647359098676
Sequence672.csv_1: True Class: C, Predicted: C, Probability: 0.9991684862886936
Sequence673.csv_1: True Class: A, Predicted: C, Probability: 0.710691439489941
Sequence674.csv_1: True Class: A, Predicted: B, Probability: 0.617271462025379
Sequence675.csv_1: True Class: A, Predicted: A, Probability: 0.6198577865625943
Sequence676.csv_1: True Class: C, Predicted: A, Probability: 0.9999999806829238
Sequence677.csv_1: True Class: B, Predicted: B, Probability: 0.8853831412138538
Sequence678.csv_1: True Class: B, Predicted: B, Probability: 0.9996511201373235
Sequence679.csv_1: True Class: B, Predicted: C, Probability: 0.9235869738106263
Sequence68.csv_1: True Class: A, Predicted: A, Probability: 0.9617047685470828
Sequence680.csv_1: True Class: C, Predicted: C, Probability: 0.984602701019724
Sequence681.csv_1: True Class: C, Predicted: A, Probability: 0.9463210518516773
Sequence682.csv_1: True Class: C, Predicted: B, Probability: 0.9999990753809467
Sequence683.csv_1: True Class: C, Predicted: C, Probability: 0.9999990890027447
Sequence684.csv_1: True Class: B, Predicted: C, Probability: 0.9734789611434588
Sequence685.csv_1: True Class: B, Predicted: C, Probability: 0.977509239665981
Sequence686.csv_1: True Class: A, Predicted: B, Probability: 0.9964621290568685
Sequence687.csv_1: True Class: C, Predicted: C, Probability: 0.9987655312614441
Sequence688.csv_1: True Class: C, Predicted: C, Probability: 0.8067960637839203
Sequence689.csv_1: True Class: C, Predicted: C, Probability: 0.9999999999999999
Sequence69.csv_1: True Class: B, Predicted: C, Probability: 0.997651237094789
Sequence690.csv_1: True Class: B, Predicted: A, Probability: 0.6259661888171122
Sequence691.csv_1: True Class: A, Predicted: B, Probability: 0.8623471906931656
Sequence692.csv_1: True Class: A, Predicted: A, Probability: 0.7937101145008817
Sequence693.csv_1: True Class: B, Predicted: A, Probability: 0.999999993196844
Sequence694.csv_1: True Class: C, Predicted: C, Probability: 0.9953741346973612
Sequence695.csv_1: True Class: A, Predicted: A, Probability: 0.9962722539103049
Sequence696.csv_1: True Class: C, Predicted: B, Probability: 0.9952989319261547
Sequence697.csv_1: True Class: A, Predicted: C, Probability: 0.4745315947324749
Sequence698.csv_1: True Class: A, Predicted: A, Probability: 0.9999409248061942
Sequence699.csv_1: True Class: B, Predicted: B, Probability: 0.8291723215011996
Sequence7.csv_1: True Class: A, Predicted: A, Probability: 0.8565395839316794
Sequence70.csv_1: True Class: A, Predicted: A, Probability: 0.995734978459753
Sequence700.csv_1: True Class: B, Predicted: B, Probability: 0.44357609667945586
