Sequence549.csv_1: True Class: A, Predicted: C, Probability: 0.9286759638606837
Sequence55.csv_1: True Class: D, Predicted: C, Probability: 0.9654458505181869
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.9995678049792117
Sequence551.csv_1: True Class: C, Predicted: D, Probability: 0.9970749702701805
Sequence552.csv_1: True Class: A, Predicted: C, Probability: 0.9825840526115929
Sequence553.csv_1: True Class: C, Predicted: C, Probability: 0.9999993443355606
Sequence554.csv_1: True Class: D, Predicted: C, Probability: 0.9965815517733363
Sequence555.csv_1: True Class: D, Predicted: D, Probability: 0.9996342884132112
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9999931652222684
Sequence557.csv_1: True Class: D, Predicted: B, Probability: 0.9005769815509918
Sequence558.csv_1: True Class: D, Predicted: D, Probability: 0.9999949758316414
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9946514599390296
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999951498086714
Sequence560.csv_1: True Class: C, Predicted: C, Probability: 0.9999650222413059
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9974410427183904
Sequence562.csv_1: True Class: C, Predicted: B, Probability: 0.9977773543764749
Sequence563.csv_1: True Class: A, Predicted: C, Probability: 0.9958756743192552
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9997832767759167
Sequence565.csv_1: True Class: C, Predicted: D, Probability: 0.9979888803200907
Sequence566.csv_1: True Class: B, Predicted: C, Probability: 0.9999991481041242
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9999999995075985
Sequence568.csv_1: True Class: D, Predicted: D, Probability: 0.5663915930667465
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999769928772643
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.9945414162901998
Sequence570.csv_1: True Class: D, Predicted: C, Probability: 0.9149714730179916
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.999999982897431
Sequence572.csv_1: True Class: C, Predicted: C, Probability: 0.99960084431688
Sequence573.csv_1: True Class: A, Predicted: D, Probability: 0.959851220572032
Sequence574.csv_1: True Class: D, Predicted: B, Probability: 0.9995401500150339
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999989362140844
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9974704934445946
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999960576
Sequence578.csv_1: True Class: D, Predicted: C, Probability: 0.6850085048181358
Sequence579.csv_1: True Class: D, Predicted: C, Probability: 0.9851224482144101
Sequence58.csv_1: True Class: D, Predicted: C, Probability: 0.9874013441353219
Sequence580.csv_1: True Class: D, Predicted: C, Probability: 0.983585942213941
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.7658001380309987
Sequence582.csv_1: True Class: A, Predicted: D, Probability: 0.9999986306358725
Sequence583.csv_1: True Class: C, Predicted: D, Probability: 0.9818014552484392
Sequence584.csv_1: True Class: B, Predicted: C, Probability: 0.9801530069636956
Sequence585.csv_1: True Class: D, Predicted: C, Probability: 0.9997538344814247
Sequence586.csv_1: True Class: A, Predicted: D, Probability: 0.5932439391870523
Sequence587.csv_1: True Class: C, Predicted: C, Probability: 0.9504734274939323
Sequence588.csv_1: True Class: C, Predicted: D, Probability: 0.9998121451335216
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9933048212785079
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.9602190610557076
Sequence590.csv_1: True Class: B, Predicted: C, Probability: 0.9958759135625092
Sequence591.csv_1: True Class: D, Predicted: D, Probability: 0.6621069939489346
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9999187614310701
Sequence593.csv_1: True Class: A, Predicted: D, Probability: 0.5227064429569089
Sequence594.csv_1: True Class: B, Predicted: A, Probability: 0.8852868486534881
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.9999999970360794
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9999697596808603
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.99998617568046
Sequence598.csv_1: True Class: A, Predicted: C, Probability: 0.8940730566949493
Sequence599.csv_1: True Class: C, Predicted: A, Probability: 0.9998257191338173
Sequence6.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999999513
Sequence60.csv_1: True Class: D, Predicted: D, Probability: 0.9998658106824002
Sequence600.csv_1: True Class: B, Predicted: D, Probability: 0.8333398518838685
Sequence601.csv_1: True Class: C, Predicted: C, Probability: 0.996353482999882
Sequence602.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999683604
Sequence603.csv_1: True Class: B, Predicted: A, Probability: 0.9740675325264891
Sequence604.csv_1: True Class: A, Predicted: D, Probability: 0.9999816237507391
Sequence605.csv_1: True Class: D, Predicted: D, Probability: 0.9999999999999961
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence607.csv_1: True Class: A, Predicted: B, Probability: 0.9652537255930421
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.9999999632694353
Sequence609.csv_1: True Class: D, Predicted: A, Probability: 0.9998986131723117
Sequence61.csv_1: True Class: C, Predicted: C, Probability: 0.9987345531345803
Sequence610.csv_1: True Class: C, Predicted: D, Probability: 0.9999340644283798
Sequence611.csv_1: True Class: D, Predicted: A, Probability: 0.8676202088965631
Sequence612.csv_1: True Class: A, Predicted: B, Probability: 0.9916978688330665
Sequence613.csv_1: True Class: B, Predicted: C, Probability: 0.999999723910635
Sequence614.csv_1: True Class: C, Predicted: A, Probability: 0.9975381948269316
Sequence615.csv_1: True Class: C, Predicted: D, Probability: 0.9999999750590483
Sequence616.csv_1: True Class: A, Predicted: C, Probability: 0.985491287559511
Sequence617.csv_1: True Class: A, Predicted: D, Probability: 0.6801349835008181
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999345
Sequence619.csv_1: True Class: B, Predicted: D, Probability: 0.999537241287834
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 0.8734684386316132
Sequence620.csv_1: True Class: D, Predicted: D, Probability: 0.9999999652971822
