Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.9987119465026316
Sequence55.csv_1: True Class: C, Predicted: A, Probability: 0.9613483372699457
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.8921575856658933
Sequence551.csv_1: True Class: A, Predicted: C, Probability: 0.9881699377928383
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.9881614756236495
Sequence553.csv_1: True Class: C, Predicted: C, Probability: 0.9500422479485162
Sequence554.csv_1: True Class: C, Predicted: A, Probability: 0.9999929439692177
Sequence555.csv_1: True Class: B, Predicted: A, Probability: 0.9999996100183556
Sequence556.csv_1: True Class: A, Predicted: B, Probability: 0.9928471531735581
Sequence557.csv_1: True Class: C, Predicted: C, Probability: 0.9999999235890628
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.9999572649873816
Sequence559.csv_1: True Class: A, Predicted: B, Probability: 0.9999999145134586
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.9999999196305835
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.9346205595051291
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9947695795664799
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.9993468282054279
Sequence563.csv_1: True Class: C, Predicted: C, Probability: 0.6721978297429588
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 0.9999998597774914
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9984021723823278
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9955724536049557
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.8439911514946786
Sequence568.csv_1: True Class: B, Predicted: A, Probability: 0.999980798235889
Sequence569.csv_1: True Class: C, Predicted: B, Probability: 0.667112300966304
Sequence57.csv_1: True Class: C, Predicted: C, Probability: 0.9681384118533457
Sequence570.csv_1: True Class: B, Predicted: C, Probability: 0.9999729301052475
Sequence571.csv_1: True Class: B, Predicted: C, Probability: 0.999989396905408
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.9987322316753262
Sequence573.csv_1: True Class: B, Predicted: C, Probability: 0.9075607207376066
Sequence574.csv_1: True Class: C, Predicted: C, Probability: 0.9905847433610373
Sequence575.csv_1: True Class: A, Predicted: B, Probability: 0.7681060340036173
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9996840827683635
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.8671306389962767
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 0.9648688691373629
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.9967918585050577
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999999984897715
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.9999999946316248
Sequence581.csv_1: True Class: B, Predicted: A, Probability: 0.9505408776826322
Sequence582.csv_1: True Class: A, Predicted: B, Probability: 0.9999159464296026
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9999999917344031
Sequence584.csv_1: True Class: B, Predicted: A, Probability: 0.9999956302954913
Sequence585.csv_1: True Class: B, Predicted: A, Probability: 0.9998577886658918
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.9416786691085327
Sequence587.csv_1: True Class: A, Predicted: C, Probability: 0.9993522011182195
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.998555473620784
Sequence589.csv_1: True Class: B, Predicted: A, Probability: 0.8329370390362264
Sequence59.csv_1: True Class: B, Predicted: B, Probability: 0.49634175345530357
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.9999955726693324
Sequence591.csv_1: True Class: B, Predicted: A, Probability: 0.9917687093135842
Sequence592.csv_1: True Class: A, Predicted: C, Probability: 0.9729608526682051
Sequence593.csv_1: True Class: B, Predicted: C, Probability: 0.9878252124603989
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.6640797778497091
Sequence595.csv_1: True Class: C, Predicted: C, Probability: 0.9981745290459467
Sequence596.csv_1: True Class: B, Predicted: B, Probability: 0.9999726152084444
Sequence597.csv_1: True Class: C, Predicted: B, Probability: 0.8958256634510078
Sequence598.csv_1: True Class: C, Predicted: A, Probability: 0.9989754967861062
Sequence599.csv_1: True Class: A, Predicted: B, Probability: 0.9997568261116686
Sequence6.csv_1: True Class: C, Predicted: C, Probability: 0.9999985617407555
Sequence60.csv_1: True Class: B, Predicted: A, Probability: 0.9999999882837944
Sequence600.csv_1: True Class: C, Predicted: A, Probability: 0.9869954083425486
Sequence601.csv_1: True Class: B, Predicted: A, Probability: 0.9552060607688942
