Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.8185308025802757
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9999994292540834
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9999999871711562
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9999993512536037
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.9999999998705108
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999991832983279
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.9845479329594046
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence556.csv_1: True Class: A, Predicted: B, Probability: 0.9999514253658377
Sequence557.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.9999320214496875
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.9999994706660471
Sequence560.csv_1: True Class: A, Predicted: B, Probability: 0.9869627484820521
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.999999557942481
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9999983954368662
Sequence564.csv_1: True Class: A, Predicted: B, Probability: 0.9999999980592444
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9999993086074269
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9999995186581574
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998962
Sequence570.csv_1: True Class: A, Predicted: B, Probability: 0.996993523933189
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.9999832797251048
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.9502264205257561
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9998805063892425
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9999993583252181
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999996
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.999988114337122
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999999989937791
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9988038846605488
Sequence582.csv_1: True Class: A, Predicted: B, Probability: 0.795152789714312
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9999999973084945
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999472956
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.999996168214724
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.9999139903518703
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9809932378117557
Sequence588.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999996385
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999916
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.999999999998881
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence591.csv_1: True Class: A, Predicted: A, Probability: 0.9206516985545089
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.7385636661056252
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999950787
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999928
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999988334
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998958
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.9999589933144419
Sequence599.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.9999999991877963
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.642226784667928
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence602.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999977
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.999999735505197
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999582283
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.9999999994829356
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999983
Sequence610.csv_1: True Class: A, Predicted: B, Probability: 0.9992716605235209
Sequence611.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999998
Sequence612.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999984922
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.999882661040859
Sequence614.csv_1: True Class: A, Predicted: B, Probability: 0.9992220572093253
Sequence615.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence616.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence617.csv_1: True Class: A, Predicted: A, Probability: 0.9999999995918366
Sequence618.csv_1: True Class: B, Predicted: B, Probability: 0.5369915271873293
Sequence619.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 0.9999999996605256
Sequence620.csv_1: True Class: A, Predicted: B, Probability: 0.9963208709638941
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 0.9999959038211984
Sequence622.csv_1: True Class: B, Predicted: B, Probability: 0.9999994790924047
Sequence623.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999514
Sequence624.csv_1: True Class: B, Predicted: B, Probability: 0.999999609468364
Sequence625.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999991
Sequence626.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence627.csv_1: True Class: A, Predicted: B, Probability: 0.9996420672868912
Sequence628.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence629.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence63.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence630.csv_1: True Class: A, Predicted: A, Probability: 0.9999910104607018
Sequence631.csv_1: True Class: A, Predicted: A, Probability: 0.8115140523413008
Sequence632.csv_1: True Class: A, Predicted: A, Probability: 0.999989641225563
Sequence633.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999839804
Sequence634.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998056066
Sequence635.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999990883
Sequence636.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence637.csv_1: True Class: A, Predicted: A, Probability: 0.9999999989774896
Sequence638.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence639.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999989843
Sequence64.csv_1: True Class: A, Predicted: B, Probability: 0.9999999889081805
Sequence640.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999598089
Sequence641.csv_1: True Class: A, Predicted: A, Probability: 0.9996664561763461
Sequence642.csv_1: True Class: A, Predicted: A, Probability: 0.9999999965777991
Sequence643.csv_1: True Class: A, Predicted: A, Probability: 0.9999880079197021
Sequence644.csv_1: True Class: A, Predicted: A, Probability: 0.9999999565694828
Sequence645.csv_1: True Class: A, Predicted: B, Probability: 0.8306963765366902
Sequence646.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence647.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence648.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence649.csv_1: True Class: A, Predicted: A, Probability: 0.7677507491057863
Sequence65.csv_1: True Class: A, Predicted: A, Probability: 0.6989412733981187
Sequence650.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999977595
Sequence651.csv_1: True Class: A, Predicted: A, Probability: 0.9999999939306228
Sequence652.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999906
Sequence653.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence654.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence655.csv_1: True Class: A, Predicted: B, Probability: 0.7921379018074642
Sequence656.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence657.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence658.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence659.csv_1: True Class: A, Predicted: A, Probability: 0.9999999971897952
Sequence66.csv_1: True Class: A, Predicted: A, Probability: 0.9999958954549862
Sequence660.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999264024
Sequence661.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999106
Sequence662.csv_1: True Class: A, Predicted: A, Probability: 0.9999857878271629
Sequence663.csv_1: True Class: A, Predicted: A, Probability: 0.9997578795616004
Sequence664.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence665.csv_1: True Class: A, Predicted: A, Probability: 0.9999999996473294
Sequence666.csv_1: True Class: A, Predicted: A, Probability: 0.9999999997443985
Sequence667.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence668.csv_1: True Class: A, Predicted: A, Probability: 0.9944775701192828
Sequence669.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence67.csv_1: True Class: A, Predicted: A, Probability: 0.9999999918640573
Sequence670.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999433938
Sequence671.csv_1: True Class: A, Predicted: A, Probability: 0.9999999589839373
Sequence672.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence673.csv_1: True Class: A, Predicted: B, Probability: 0.9999999988029148
Sequence674.csv_1: True Class: A, Predicted: A, Probability: 0.9996314344682431
Sequence675.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence676.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999861
Sequence677.csv_1: True Class: A, Predicted: A, Probability: 0.9999999857524479
Sequence678.csv_1: True Class: A, Predicted: A, Probability: 0.9164849946071674
Sequence679.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence68.csv_1: True Class: A, Predicted: A, Probability: 0.9999999848134692
Sequence680.csv_1: True Class: A, Predicted: A, Probability: 0.9966062041052579
Sequence681.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence682.csv_1: True Class: A, Predicted: A, Probability: 0.9999999834585825
Sequence683.csv_1: True Class: A, Predicted: A, Probability: 0.9999999971792117
Sequence684.csv_1: True Class: A, Predicted: A, Probability: 0.9999999998891098
Sequence685.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence686.csv_1: True Class: A, Predicted: A, Probability: 0.9978818071149465
Sequence687.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence688.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence689.csv_1: True Class: A, Predicted: A, Probability: 0.9999999967116855
Sequence69.csv_1: True Class: A, Predicted: A, Probability: 0.9999999602787898
Sequence690.csv_1: True Class: A, Predicted: A, Probability: 0.9999999974043631
Sequence691.csv_1: True Class: B, Predicted: A, Probability: 0.9999999886730467
Sequence692.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence693.csv_1: True Class: A, Predicted: A, Probability: 0.9999999984255817
Sequence694.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence695.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence696.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence697.csv_1: True Class: A, Predicted: A, Probability: 0.9999988323752549
Sequence698.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999815801
Sequence699.csv_1: True Class: A, Predicted: B, Probability: 0.9898077697487112
Sequence7.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence70.csv_1: True Class: A, Predicted: B, Probability: 0.9989812526725519
Sequence700.csv_1: True Class: A, Predicted: A, Probability: 0.9999999933446408
Sequence701.csv_1: True Class: B, Predicted: B, Probability: 0.9999900494781904
Sequence702.csv_1: True Class: A, Predicted: B, Probability: 0.9775226552359686
Sequence703.csv_1: True Class: A, Predicted: A, Probability: 0.6159072325033076
Sequence704.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence705.csv_1: True Class: A, Predicted: A, Probability: 0.999999242287257
Sequence706.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999699
Sequence707.csv_1: True Class: A, Predicted: A, Probability: 0.9999999988492394
Sequence708.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence709.csv_1: True Class: A, Predicted: A, Probability: 0.9999999983277235
Sequence71.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence710.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence711.csv_1: True Class: A, Predicted: A, Probability: 0.5841950498792124
Sequence712.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence713.csv_1: True Class: A, Predicted: A, Probability: 0.9999997511055605
Sequence714.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999754102
Sequence715.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999903
Sequence716.csv_1: True Class: A, Predicted: A, Probability: 0.9999999280216304
Sequence717.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999988
Sequence718.csv_1: True Class: A, Predicted: A, Probability: 0.9999999460954522
Sequence719.csv_1: True Class: A, Predicted: A, Probability: 0.999999999559781
Sequence72.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence720.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence721.csv_1: True Class: A, Predicted: A, Probability: 0.9999923740204799
Sequence722.csv_1: True Class: A, Predicted: A, Probability: 0.9992823068265183
Sequence723.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999562152
Sequence724.csv_1: True Class: A, Predicted: A, Probability: 0.7359449235967978
Sequence725.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence726.csv_1: True Class: B, Predicted: A, Probability: 0.9993421481235683
Sequence727.csv_1: True Class: A, Predicted: B, Probability: 0.9811254233854456
Sequence728.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999318
Sequence729.csv_1: True Class: A, Predicted: A, Probability: 0.9999523051248527
Sequence73.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999953
Sequence730.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999918
Sequence731.csv_1: True Class: A, Predicted: A, Probability: 0.9999999861736866
Sequence732.csv_1: True Class: A, Predicted: A, Probability: 0.999999998078967
Sequence733.csv_1: True Class: A, Predicted: A, Probability: 0.9998770984499826
Sequence734.csv_1: True Class: B, Predicted: A, Probability: 0.9999999874334367
Sequence735.csv_1: True Class: B, Predicted: B, Probability: 0.9884682071033865
Sequence736.csv_1: True Class: A, Predicted: B, Probability: 0.9023058295067152
Sequence737.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence738.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence739.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence74.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence740.csv_1: True Class: A, Predicted: A, Probability: 0.9999993232420827
Sequence741.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999804019
Sequence742.csv_1: True Class: B, Predicted: A, Probability: 0.9999934097199731
Sequence743.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998135
Sequence744.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999981
Sequence745.csv_1: True Class: A, Predicted: A, Probability: 0.9998562879699654
Sequence746.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence747.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999925
Sequence748.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999682544
Sequence749.csv_1: True Class: A, Predicted: A, Probability: 0.945086800319707
Sequence75.csv_1: True Class: A, Predicted: A, Probability: 0.6561448309584266
Sequence750.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999797
Sequence751.csv_1: True Class: A, Predicted: A, Probability: 0.9691428914804298
Sequence752.csv_1: True Class: A, Predicted: A, Probability: 0.9999999191167495
Sequence753.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence754.csv_1: True Class: A, Predicted: A, Probability: 0.9999999997723584
Sequence755.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence756.csv_1: True Class: A, Predicted: B, Probability: 0.9999968241169386
Sequence757.csv_1: True Class: A, Predicted: A, Probability: 0.9999998369792453
Sequence758.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence759.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence76.csv_1: True Class: B, Predicted: A, Probability: 0.999228768256352
Sequence760.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence761.csv_1: True Class: A, Predicted: A, Probability: 0.9986568612515805
Sequence762.csv_1: True Class: A, Predicted: A, Probability: 0.9999882289492695
Sequence763.csv_1: True Class: A, Predicted: A, Probability: 0.9999995390779312
Sequence764.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence765.csv_1: True Class: A, Predicted: B, Probability: 0.9900482175687012
Sequence766.csv_1: True Class: A, Predicted: A, Probability: 0.9999914365491775
Sequence767.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence768.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999971497
Sequence769.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999968789
Sequence77.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence770.csv_1: True Class: A, Predicted: A, Probability: 0.9999317957626114
Sequence771.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence772.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence773.csv_1: True Class: A, Predicted: B, Probability: 0.9995890159430502
Sequence774.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence775.csv_1: True Class: A, Predicted: A, Probability: 0.999928715902962
Sequence776.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence777.csv_1: True Class: A, Predicted: A, Probability: 0.9998718174131326
Sequence778.csv_1: True Class: A, Predicted: B, Probability: 0.999999980619074
Sequence779.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999959
Sequence78.csv_1: True Class: A, Predicted: A, Probability: 0.867646694869965
Sequence780.csv_1: True Class: B, Predicted: B, Probability: 0.9999999997948507
Sequence781.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999887147
Sequence782.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence783.csv_1: True Class: A, Predicted: A, Probability: 0.9999999957187892
Sequence784.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999997
Sequence785.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence786.csv_1: True Class: A, Predicted: A, Probability: 0.9899074135137844
Sequence787.csv_1: True Class: A, Predicted: A, Probability: 0.9534680809899844
Sequence788.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence789.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence79.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence790.csv_1: True Class: B, Predicted: B, Probability: 0.8081219921255907
Sequence791.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence792.csv_1: True Class: B, Predicted: B, Probability: 0.9999922491715412
Sequence793.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence794.csv_1: True Class: A, Predicted: A, Probability: 0.9999999823010921
Sequence795.csv_1: True Class: A, Predicted: A, Probability: 0.9999996910988713
Sequence796.csv_1: True Class: A, Predicted: A, Probability: 0.9996930077013346
Sequence797.csv_1: True Class: A, Predicted: A, Probability: 0.9999035574190438
Sequence798.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence799.csv_1: True Class: A, Predicted: A, Probability: 0.9999971193023985
Sequence8.csv_1: True Class: A, Predicted: A, Probability: 0.7807939570759046
Sequence80.csv_1: True Class: A, Predicted: A, Probability: 0.9999999880711102
Sequence800.csv_1: True Class: A, Predicted: A, Probability: 0.9999999917879308
Sequence801.csv_1: True Class: B, Predicted: B, Probability: 0.9999998100818471
