Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.9999940374825104
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9448428567394827
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9998449353563198
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9994571019067874
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.9999840569468659
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.907731577900256
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.9999999977606092
Sequence555.csv_1: True Class: B, Predicted: A, Probability: 0.6420774872826559
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9999999858268652
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9998687261843978
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.999238661758624
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9999992276846196
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9998338563550973
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.9497248347601428
Sequence561.csv_1: True Class: A, Predicted: B, Probability: 0.9997618240944087
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.5245806467794352
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9999977044501567
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999625107162269
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999300772557158
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9972279681383955
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.9957651612084832
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.784883031556884
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999999995954241
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.5132908307874646
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.9999999278881231
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9962087058517168
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9999288772688514
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.9035467835389437
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9999998872506678
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9994888678166296
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.7082911871615338
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.9999984125317674
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9999999991395203
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999985845
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9998466945233427
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.999999921542407
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999889336132063
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.5097577326664782
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.965164911248394
Sequence584.csv_1: True Class: A, Predicted: B, Probability: 0.5386551226732494
Sequence585.csv_1: True Class: A, Predicted: B, Probability: 0.7083034145861037
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9817550160938382
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9980904470101671
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.9928344351318931
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9999988533924677
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.9999941917791081
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.8205939794016912
Sequence591.csv_1: True Class: A, Predicted: A, Probability: 0.9943898411251837
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.9999893437090699
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9999931740462942
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.9996110448327968
Sequence595.csv_1: True Class: A, Predicted: B, Probability: 0.9892686256068102
Sequence596.csv_1: True Class: B, Predicted: A, Probability: 0.9981541654562559
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9998209324936184
Sequence598.csv_1: True Class: A, Predicted: B, Probability: 0.6217184390505491
Sequence599.csv_1: True Class: A, Predicted: B, Probability: 0.999999974564916
Sequence6.csv_1: True Class: A, Predicted: B, Probability: 0.9008912182175213
Sequence60.csv_1: True Class: A, Predicted: B, Probability: 0.9625675867125427
Sequence600.csv_1: True Class: B, Predicted: A, Probability: 0.9996578721370447
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.963625087471439
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 0.9993260642912376
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.9710067032799512
Sequence604.csv_1: True Class: A, Predicted: B, Probability: 0.9985257414295514
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.7237747447092451
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.9999999994530445
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.9926998348870766
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.9999649501638939
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.9996507751955315
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 0.9781422770601306
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 0.9999981486894636
Sequence611.csv_1: True Class: A, Predicted: A, Probability: 0.9999999974152078
Sequence612.csv_1: True Class: A, Predicted: B, Probability: 0.9911646381274619
Sequence613.csv_1: True Class: A, Predicted: B, Probability: 0.9999361428312082
Sequence614.csv_1: True Class: B, Predicted: B, Probability: 0.9999904270784181
Sequence615.csv_1: True Class: A, Predicted: B, Probability: 0.9926868177501922
Sequence616.csv_1: True Class: A, Predicted: A, Probability: 0.9999999233292959
Sequence617.csv_1: True Class: A, Predicted: A, Probability: 0.5460825992512748
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.9871629242432248
Sequence619.csv_1: True Class: B, Predicted: B, Probability: 0.931999593752693
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 0.999434225405326
Sequence620.csv_1: True Class: A, Predicted: B, Probability: 0.6615522075659236
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 0.9999712548175685
Sequence622.csv_1: True Class: A, Predicted: A, Probability: 0.9999031319669508
Sequence623.csv_1: True Class: A, Predicted: A, Probability: 0.9999401317076693
Sequence624.csv_1: True Class: B, Predicted: B, Probability: 0.9967794270711142
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 0.9999858070803138
Sequence626.csv_1: True Class: A, Predicted: A, Probability: 0.9988968581344825
Sequence627.csv_1: True Class: B, Predicted: A, Probability: 0.7583682159021795
Sequence628.csv_1: True Class: A, Predicted: A, Probability: 0.9810701766158586
Sequence629.csv_1: True Class: A, Predicted: A, Probability: 0.9999082679097832
Sequence63.csv_1: True Class: A, Predicted: B, Probability: 0.542453940189386
Sequence630.csv_1: True Class: A, Predicted: A, Probability: 0.9999999946834657
Sequence631.csv_1: True Class: A, Predicted: A, Probability: 0.9999999930674146
Sequence632.csv_1: True Class: A, Predicted: A, Probability: 0.9957591568651499
Sequence633.csv_1: True Class: B, Predicted: A, Probability: 0.9999994354060862
Sequence634.csv_1: True Class: B, Predicted: B, Probability: 0.9561136020454772
Sequence635.csv_1: True Class: A, Predicted: A, Probability: 0.9999767484354352
Sequence636.csv_1: True Class: A, Predicted: A, Probability: 0.9425295274416569
Sequence637.csv_1: True Class: A, Predicted: B, Probability: 0.5197037265583144
Sequence638.csv_1: True Class: B, Predicted: A, Probability: 0.7541226684540111
Sequence639.csv_1: True Class: A, Predicted: A, Probability: 0.997258466391459
Sequence64.csv_1: True Class: A, Predicted: A, Probability: 0.9984844470278674
Sequence640.csv_1: True Class: A, Predicted: A, Probability: 0.9932817488329613
Sequence641.csv_1: True Class: B, Predicted: B, Probability: 0.9919534485853615
Sequence642.csv_1: True Class: A, Predicted: A, Probability: 0.9998498826848554
Sequence643.csv_1: True Class: B, Predicted: B, Probability: 0.5597474762451979
Sequence644.csv_1: True Class: A, Predicted: A, Probability: 0.9802131044547904
Sequence645.csv_1: True Class: A, Predicted: B, Probability: 0.9496024673095044
Sequence646.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999450074
Sequence647.csv_1: True Class: A, Predicted: B, Probability: 0.9758735082547559
Sequence648.csv_1: True Class: A, Predicted: A, Probability: 0.9999999893253348
Sequence649.csv_1: True Class: A, Predicted: B, Probability: 0.9988672380251068
Sequence65.csv_1: True Class: A, Predicted: A, Probability: 0.7390122444761161
Sequence650.csv_1: True Class: A, Predicted: A, Probability: 0.9999658789047532
Sequence651.csv_1: True Class: A, Predicted: A, Probability: 0.9999992012128363
Sequence652.csv_1: True Class: A, Predicted: A, Probability: 0.9999998811836545
Sequence653.csv_1: True Class: A, Predicted: A, Probability: 0.9208967325453185
Sequence654.csv_1: True Class: A, Predicted: A, Probability: 0.999999458963417
Sequence655.csv_1: True Class: A, Predicted: A, Probability: 0.9999973684451307
Sequence656.csv_1: True Class: A, Predicted: A, Probability: 0.9999981983753489
Sequence657.csv_1: True Class: A, Predicted: A, Probability: 0.8625935517862898
Sequence658.csv_1: True Class: A, Predicted: A, Probability: 0.9959937334742093
Sequence659.csv_1: True Class: B, Predicted: A, Probability: 0.5194519389071329
Sequence66.csv_1: True Class: A, Predicted: A, Probability: 0.973613439062491
Sequence660.csv_1: True Class: A, Predicted: A, Probability: 0.8477819682139452
Sequence661.csv_1: True Class: A, Predicted: A, Probability: 0.9999623601118673
Sequence662.csv_1: True Class: A, Predicted: A, Probability: 0.9999862398667914
Sequence663.csv_1: True Class: A, Predicted: B, Probability: 0.9972900091920214
Sequence664.csv_1: True Class: A, Predicted: A, Probability: 0.9999998713987994
Sequence665.csv_1: True Class: A, Predicted: A, Probability: 0.9999976542526485
Sequence666.csv_1: True Class: A, Predicted: B, Probability: 0.9943750171315386
Sequence667.csv_1: True Class: A, Predicted: B, Probability: 0.6924706987276321
Sequence668.csv_1: True Class: B, Predicted: B, Probability: 0.9999580143442369
Sequence669.csv_1: True Class: A, Predicted: A, Probability: 0.9829952599157227
Sequence67.csv_1: True Class: A, Predicted: B, Probability: 0.9072422540340208
Sequence670.csv_1: True Class: A, Predicted: A, Probability: 0.9999417756776141
Sequence671.csv_1: True Class: A, Predicted: A, Probability: 0.987185175589058
Sequence672.csv_1: True Class: A, Predicted: A, Probability: 0.9999760527056035
Sequence673.csv_1: True Class: B, Predicted: B, Probability: 0.9627734056776976
Sequence674.csv_1: True Class: A, Predicted: A, Probability: 0.99999265058107
Sequence675.csv_1: True Class: A, Predicted: A, Probability: 0.9994047840735271
Sequence676.csv_1: True Class: A, Predicted: B, Probability: 0.9918034782623639
Sequence677.csv_1: True Class: B, Predicted: A, Probability: 0.8929318738563425
Sequence678.csv_1: True Class: A, Predicted: B, Probability: 0.9915464982061652
Sequence679.csv_1: True Class: A, Predicted: A, Probability: 0.9667218083936554
Sequence68.csv_1: True Class: A, Predicted: A, Probability: 0.9976036546867577
Sequence680.csv_1: True Class: A, Predicted: A, Probability: 0.9539847163485534
Sequence681.csv_1: True Class: B, Predicted: B, Probability: 0.9992230747593128
Sequence682.csv_1: True Class: A, Predicted: B, Probability: 0.9851045914471739
Sequence683.csv_1: True Class: A, Predicted: A, Probability: 0.99653468664668
Sequence684.csv_1: True Class: A, Predicted: A, Probability: 0.9987725061524142
Sequence685.csv_1: True Class: B, Predicted: B, Probability: 0.9526378538207698
Sequence686.csv_1: True Class: A, Predicted: A, Probability: 0.9999871695589269
Sequence687.csv_1: True Class: B, Predicted: B, Probability: 0.671633036143892
Sequence688.csv_1: True Class: A, Predicted: A, Probability: 0.9996854190187403
Sequence689.csv_1: True Class: A, Predicted: B, Probability: 0.9739157538943473
Sequence69.csv_1: True Class: A, Predicted: A, Probability: 0.9911825499490462
Sequence690.csv_1: True Class: A, Predicted: A, Probability: 0.995285090716433
Sequence691.csv_1: True Class: B, Predicted: B, Probability: 0.895583037314157
Sequence692.csv_1: True Class: A, Predicted: A, Probability: 0.6287094745100165
Sequence693.csv_1: True Class: A, Predicted: A, Probability: 0.9987076309152423
Sequence694.csv_1: True Class: A, Predicted: A, Probability: 0.8983170798129139
Sequence695.csv_1: True Class: A, Predicted: A, Probability: 0.9991492474844036
Sequence696.csv_1: True Class: A, Predicted: A, Probability: 0.9999702797259434
Sequence697.csv_1: True Class: A, Predicted: A, Probability: 0.9999988840735285
Sequence698.csv_1: True Class: A, Predicted: A, Probability: 0.9862215660251585
Sequence699.csv_1: True Class: A, Predicted: A, Probability: 0.999963139731156
Sequence7.csv_1: True Class: A, Predicted: A, Probability: 0.8431588889245357
Sequence70.csv_1: True Class: A, Predicted: A, Probability: 0.9999890307437534
Sequence700.csv_1: True Class: B, Predicted: B, Probability: 0.9808333033371757
Sequence701.csv_1: True Class: A, Predicted: A, Probability: 0.999999954830309
Sequence702.csv_1: True Class: A, Predicted: A, Probability: 0.9999980615735734
Sequence703.csv_1: True Class: B, Predicted: B, Probability: 0.9406410424241554
Sequence704.csv_1: True Class: A, Predicted: A, Probability: 0.8666980551600154
Sequence705.csv_1: True Class: A, Predicted: B, Probability: 0.7369259792338813
Sequence706.csv_1: True Class: A, Predicted: A, Probability: 0.9999646571440663
Sequence707.csv_1: True Class: B, Predicted: A, Probability: 0.983730460042578
Sequence708.csv_1: True Class: A, Predicted: B, Probability: 0.9998161678795773
Sequence709.csv_1: True Class: A, Predicted: A, Probability: 0.9993910473243489
Sequence71.csv_1: True Class: A, Predicted: B, Probability: 0.9457626665875162
Sequence710.csv_1: True Class: B, Predicted: B, Probability: 0.9998644131600785
Sequence711.csv_1: True Class: A, Predicted: A, Probability: 0.9999856396201454
Sequence712.csv_1: True Class: A, Predicted: B, Probability: 0.5068270173338237
Sequence713.csv_1: True Class: A, Predicted: A, Probability: 0.9999913922791557
Sequence714.csv_1: True Class: B, Predicted: B, Probability: 0.9998002105161642
Sequence715.csv_1: True Class: A, Predicted: A, Probability: 0.9982731482125446
Sequence716.csv_1: True Class: B, Predicted: A, Probability: 0.9999963820444789
Sequence717.csv_1: True Class: A, Predicted: A, Probability: 0.9647872792994598
Sequence718.csv_1: True Class: A, Predicted: A, Probability: 0.8789955792857034
Sequence719.csv_1: True Class: A, Predicted: A, Probability: 0.8664487375249497
Sequence72.csv_1: True Class: A, Predicted: B, Probability: 0.958882265309536
Sequence720.csv_1: True Class: A, Predicted: A, Probability: 0.9999855760962724
Sequence721.csv_1: True Class: A, Predicted: B, Probability: 0.96846999410659
Sequence722.csv_1: True Class: A, Predicted: A, Probability: 0.9999999366617897
Sequence723.csv_1: True Class: B, Predicted: B, Probability: 0.9983789323273937
Sequence724.csv_1: True Class: A, Predicted: A, Probability: 0.9999682109793734
Sequence725.csv_1: True Class: A, Predicted: A, Probability: 0.999999535779708
Sequence726.csv_1: True Class: A, Predicted: A, Probability: 0.99955192964027
Sequence727.csv_1: True Class: A, Predicted: A, Probability: 0.9999988076838598
Sequence728.csv_1: True Class: A, Predicted: A, Probability: 0.9999785060137308
Sequence729.csv_1: True Class: B, Predicted: B, Probability: 0.6301598365215763
Sequence73.csv_1: True Class: A, Predicted: B, Probability: 0.9966195647829678
Sequence730.csv_1: True Class: A, Predicted: A, Probability: 0.9996739150252165
Sequence731.csv_1: True Class: A, Predicted: A, Probability: 0.996038162256097
Sequence732.csv_1: True Class: B, Predicted: B, Probability: 0.9969309570431324
Sequence733.csv_1: True Class: A, Predicted: A, Probability: 0.9965288930707618
Sequence734.csv_1: True Class: A, Predicted: B, Probability: 0.981620085598196
Sequence735.csv_1: True Class: B, Predicted: B, Probability: 0.9735278623757221
Sequence736.csv_1: True Class: A, Predicted: A, Probability: 0.9993342628545301
Sequence737.csv_1: True Class: A, Predicted: A, Probability: 0.9999955058492005
Sequence738.csv_1: True Class: A, Predicted: A, Probability: 0.9999979332823937
Sequence739.csv_1: True Class: A, Predicted: A, Probability: 0.9997778919929392
Sequence74.csv_1: True Class: A, Predicted: A, Probability: 0.9999991872851322
Sequence740.csv_1: True Class: A, Predicted: A, Probability: 0.9999752200152571
Sequence741.csv_1: True Class: A, Predicted: B, Probability: 0.9832363839037473
Sequence742.csv_1: True Class: A, Predicted: B, Probability: 0.9999999986284126
Sequence743.csv_1: True Class: A, Predicted: A, Probability: 0.9987916717175025
Sequence744.csv_1: True Class: A, Predicted: A, Probability: 0.9999968813247511
Sequence745.csv_1: True Class: A, Predicted: A, Probability: 0.9995815233219613
Sequence746.csv_1: True Class: A, Predicted: A, Probability: 0.9999989838051833
Sequence747.csv_1: True Class: A, Predicted: A, Probability: 0.9335417554506805
Sequence748.csv_1: True Class: A, Predicted: B, Probability: 0.9966177257458285
Sequence749.csv_1: True Class: A, Predicted: B, Probability: 0.6057796554504904
Sequence75.csv_1: True Class: A, Predicted: A, Probability: 0.9981875270894343
Sequence750.csv_1: True Class: A, Predicted: B, Probability: 0.9998400689525502
Sequence751.csv_1: True Class: A, Predicted: A, Probability: 0.99997849544245
Sequence752.csv_1: True Class: A, Predicted: A, Probability: 0.9994281836264445
Sequence753.csv_1: True Class: A, Predicted: A, Probability: 0.99998230716376
Sequence754.csv_1: True Class: A, Predicted: A, Probability: 0.5890990167787095
Sequence755.csv_1: True Class: A, Predicted: A, Probability: 0.9887860569505683
Sequence756.csv_1: True Class: A, Predicted: B, Probability: 0.732856442801845
Sequence757.csv_1: True Class: B, Predicted: A, Probability: 0.5527717130599872
Sequence758.csv_1: True Class: A, Predicted: A, Probability: 0.9995775086326012
Sequence759.csv_1: True Class: A, Predicted: A, Probability: 0.9927256108540619
Sequence76.csv_1: True Class: A, Predicted: A, Probability: 0.9983406254116431
Sequence760.csv_1: True Class: A, Predicted: A, Probability: 0.9999995825644368
Sequence761.csv_1: True Class: A, Predicted: A, Probability: 0.9987888093476411
Sequence762.csv_1: True Class: A, Predicted: A, Probability: 0.6983043443285786
Sequence763.csv_1: True Class: A, Predicted: A, Probability: 0.9996904129560689
Sequence764.csv_1: True Class: B, Predicted: A, Probability: 0.9143944335417161
Sequence765.csv_1: True Class: A, Predicted: A, Probability: 0.9986259688982599
Sequence766.csv_1: True Class: B, Predicted: A, Probability: 0.9429581406623256
Sequence767.csv_1: True Class: A, Predicted: A, Probability: 0.9919982476880004
Sequence768.csv_1: True Class: A, Predicted: A, Probability: 0.9207571509109395
Sequence769.csv_1: True Class: A, Predicted: B, Probability: 0.9989466924621787
Sequence77.csv_1: True Class: A, Predicted: A, Probability: 0.9999952923659265
Sequence770.csv_1: True Class: B, Predicted: A, Probability: 0.9868474618366553
Sequence771.csv_1: True Class: A, Predicted: B, Probability: 0.9490672038697847
Sequence772.csv_1: True Class: A, Predicted: A, Probability: 0.9999999963989096
Sequence773.csv_1: True Class: A, Predicted: A, Probability: 0.9855494051474796
Sequence774.csv_1: True Class: A, Predicted: B, Probability: 0.5285234158186299
Sequence775.csv_1: True Class: A, Predicted: B, Probability: 0.992295566824051
Sequence776.csv_1: True Class: A, Predicted: A, Probability: 0.8582729716869356
Sequence777.csv_1: True Class: A, Predicted: A, Probability: 0.8123467545476117
Sequence778.csv_1: True Class: A, Predicted: A, Probability: 0.999996474589682
Sequence779.csv_1: True Class: A, Predicted: A, Probability: 0.996183514559955
Sequence78.csv_1: True Class: A, Predicted: A, Probability: 0.9986266569206118
Sequence780.csv_1: True Class: A, Predicted: A, Probability: 0.9836081755437185
Sequence781.csv_1: True Class: A, Predicted: A, Probability: 0.9998769460157637
Sequence782.csv_1: True Class: B, Predicted: A, Probability: 0.9931331706584822
Sequence783.csv_1: True Class: A, Predicted: B, Probability: 0.9889357828447143
Sequence784.csv_1: True Class: A, Predicted: A, Probability: 0.9979532349220559
Sequence785.csv_1: True Class: A, Predicted: A, Probability: 0.997960417423343
Sequence786.csv_1: True Class: A, Predicted: A, Probability: 0.9999838554329737
Sequence787.csv_1: True Class: B, Predicted: A, Probability: 0.5647432266811641
Sequence788.csv_1: True Class: A, Predicted: B, Probability: 0.5487374834691078
Sequence789.csv_1: True Class: A, Predicted: A, Probability: 0.9912032504527393
Sequence79.csv_1: True Class: A, Predicted: A, Probability: 0.9915487682819135
Sequence790.csv_1: True Class: A, Predicted: A, Probability: 0.999968105262542
Sequence791.csv_1: True Class: A, Predicted: A, Probability: 0.5584129243097795
Sequence792.csv_1: True Class: B, Predicted: A, Probability: 0.9999349050503965
Sequence793.csv_1: True Class: A, Predicted: A, Probability: 0.9928232785620088
Sequence794.csv_1: True Class: A, Predicted: B, Probability: 0.7008571371429028
Sequence795.csv_1: True Class: A, Predicted: B, Probability: 0.7526221657539844
Sequence796.csv_1: True Class: A, Predicted: A, Probability: 0.5199062989763837
Sequence797.csv_1: True Class: A, Predicted: A, Probability: 0.9998866251352361
Sequence798.csv_1: True Class: A, Predicted: A, Probability: 0.9965055570690172
Sequence799.csv_1: True Class: A, Predicted: A, Probability: 0.9999995622261132
Sequence8.csv_1: True Class: A, Predicted: B, Probability: 0.5805424056109351
Sequence80.csv_1: True Class: A, Predicted: A, Probability: 0.9999965373066839
