Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence565.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence58.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence585.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence591.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence595.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence600.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence608.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence611.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence612.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence614.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence615.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence616.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence617.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence619.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence620.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence622.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence623.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence624.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence626.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence627.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence628.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence629.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence63.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence630.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence631.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence632.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence633.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence634.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence635.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence636.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence637.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence638.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence639.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence64.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence640.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence641.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence642.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence643.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence644.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence645.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence646.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence647.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence648.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence649.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence65.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence650.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence651.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence652.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence653.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence654.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence655.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence656.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence657.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence658.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence659.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence66.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence660.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence661.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence662.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence663.csv_1: True Class: B, Predicted: A, Probability: 0.784953395472703
Sequence664.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence665.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
Sequence666.csv_1: True Class: A, Predicted: A, Probability: 0.784953395472703
