Sequence549.csv_1: True Class: C, Predicted: B, Probability: 0.8315510682307945
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.3858583538932313
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.5750464281429108
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.7386212896214268
Sequence552.csv_1: True Class: B, Predicted: C, Probability: 0.8758832910032459
Sequence553.csv_1: True Class: A, Predicted: C, Probability: 0.9694467675015108
Sequence554.csv_1: True Class: C, Predicted: C, Probability: 0.8403133819618591
Sequence555.csv_1: True Class: B, Predicted: C, Probability: 0.6045365893069214
Sequence556.csv_1: True Class: C, Predicted: C, Probability: 0.9970567191337804
Sequence557.csv_1: True Class: C, Predicted: B, Probability: 0.9875853487034739
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.7995332189866435
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.9998267282510053
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.9999993762188548
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.5826198065072647
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9988605347556689
Sequence562.csv_1: True Class: C, Predicted: C, Probability: 0.9999166784883556
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.997960314576222
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9981883205143626
Sequence565.csv_1: True Class: C, Predicted: B, Probability: 0.997628757532874
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.9255677120900084
Sequence567.csv_1: True Class: A, Predicted: C, Probability: 0.9961519634306485
Sequence568.csv_1: True Class: A, Predicted: C, Probability: 0.9435611268590604
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.967523236992374
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999996268428184
Sequence570.csv_1: True Class: A, Predicted: B, Probability: 0.9575924114223852
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9995712188005673
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.7361326122822618
Sequence573.csv_1: True Class: C, Predicted: A, Probability: 0.9952724367773498
Sequence574.csv_1: True Class: C, Predicted: C, Probability: 0.9999992140213831
Sequence575.csv_1: True Class: C, Predicted: B, Probability: 0.8267395634548721
Sequence576.csv_1: True Class: C, Predicted: A, Probability: 0.9999780737686527
Sequence577.csv_1: True Class: B, Predicted: C, Probability: 0.9998207136991344
Sequence578.csv_1: True Class: B, Predicted: C, Probability: 0.6984236505795414
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.7131531627207593
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9966276772362419
Sequence580.csv_1: True Class: C, Predicted: A, Probability: 0.9998820680900982
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9210491926896712
Sequence582.csv_1: True Class: A, Predicted: C, Probability: 0.7831770274048603
Sequence583.csv_1: True Class: C, Predicted: C, Probability: 0.814792827692383
Sequence584.csv_1: True Class: C, Predicted: C, Probability: 0.9993121095454117
Sequence585.csv_1: True Class: C, Predicted: B, Probability: 0.9999956922300481
Sequence586.csv_1: True Class: B, Predicted: C, Probability: 0.9557894069969843
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9623908503835846
Sequence588.csv_1: True Class: C, Predicted: B, Probability: 0.7037148003495791
Sequence589.csv_1: True Class: B, Predicted: C, Probability: 0.9418718917092478
Sequence59.csv_1: True Class: B, Predicted: C, Probability: 0.9996986729252133
Sequence590.csv_1: True Class: C, Predicted: B, Probability: 0.5487455167800825
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.954477237704532
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.999938569185406
Sequence593.csv_1: True Class: B, Predicted: C, Probability: 0.997056094694714
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.814062961743926
Sequence595.csv_1: True Class: A, Predicted: B, Probability: 0.8095977289857217
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9144146139631231
Sequence597.csv_1: True Class: C, Predicted: A, Probability: 0.9999880195779746
Sequence598.csv_1: True Class: B, Predicted: B, Probability: 0.7302841362896846
Sequence599.csv_1: True Class: C, Predicted: C, Probability: 0.9952662760007603
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.9778717364648328
Sequence60.csv_1: True Class: A, Predicted: B, Probability: 0.9792460905603307
Sequence600.csv_1: True Class: C, Predicted: A, Probability: 0.9999818330006672
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.8592638164549149
Sequence602.csv_1: True Class: C, Predicted: B, Probability: 0.7123561799010012
Sequence603.csv_1: True Class: C, Predicted: A, Probability: 0.5470118925059124
Sequence604.csv_1: True Class: C, Predicted: A, Probability: 0.6488347759719052
Sequence605.csv_1: True Class: C, Predicted: B, Probability: 0.9999949315583823
Sequence606.csv_1: True Class: A, Predicted: C, Probability: 0.9998983250247782
Sequence607.csv_1: True Class: C, Predicted: B, Probability: 0.972983579229361
