Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.9172078079283298
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9999140590686355
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.7937708587762756
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.9995980169150855
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.9829357604494546
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.5092911004425842
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.9856649078473417
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.8415310585574137
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.9975743052480315
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9995800216783878
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9777499258882075
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9998540771754253
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.7935606473647812
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.7077786647106707
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.618530595297221
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9984700802008152
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9787643646684363
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9839517857761331
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.825067274318646
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.7466216350765248
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9910483607270013
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.8679079865198925
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.5352906163894594
Sequence57.csv_1: True Class: B, Predicted: A, Probability: 0.9788388552439398
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.894487303848006
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9996552237530679
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.9881420210004423
Sequence573.csv_1: True Class: A, Predicted: B, Probability: 0.9892151900183398
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.923946237618148
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.5122734787177449
Sequence576.csv_1: True Class: A, Predicted: B, Probability: 0.8282123105450555
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.9509515686660568
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 0.756608181195241
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.9265749862646607
Sequence58.csv_1: True Class: B, Predicted: A, Probability: 0.7661991875644488
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9999758136736645
Sequence581.csv_1: True Class: A, Predicted: B, Probability: 0.5635405920703218
Sequence582.csv_1: True Class: B, Predicted: A, Probability: 0.9276168285357866
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9667355023846192
Sequence584.csv_1: True Class: B, Predicted: A, Probability: 0.9018152685135928
Sequence585.csv_1: True Class: A, Predicted: B, Probability: 0.9991369665419862
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9999991973174103
Sequence587.csv_1: True Class: B, Predicted: A, Probability: 0.9965196084387525
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.9999956542653844
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9999850142907051
Sequence59.csv_1: True Class: B, Predicted: A, Probability: 0.9760196942387749
Sequence590.csv_1: True Class: B, Predicted: A, Probability: 0.6677860492226338
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.9999996046745926
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.992069806394703
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9951719660173882
Sequence594.csv_1: True Class: B, Predicted: A, Probability: 0.9506829003271914
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.8871344570957732
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9731175886595496
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9237005282147792
Sequence598.csv_1: True Class: A, Predicted: B, Probability: 0.9872958508984641
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.5964466592654978
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.9999852137280643
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.6517315334187024
