Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9255543452549567
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999967
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.9999913624013954
Sequence551.csv_1: True Class: B, Predicted: A, Probability: 0.9999990499466266
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999999997983138
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.9999999997587873
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.7919440023641683
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998814652
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999947
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.8984904615893311
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999636119
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.996164590033968
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9999019320537377
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9999979569309182
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.9999919516723575
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.8878096660314306
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999615231963807
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999999997184223
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.999999999999995
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998656
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.9999999994783235
Sequence569.csv_1: True Class: B, Predicted: B, Probability: 0.999983139036604
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.9999988204515455
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999211752
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999999998
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999995796
Sequence573.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999847062
