Sequence549.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999732675
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999998
Sequence551.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999234341801727
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.8414658941742057
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence557.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999998785
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999983513
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999999996
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence562.csv_1: True Class: B, Predicted: A, Probability: 0.9999999961628147
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.9999999533516754
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence566.csv_1: True Class: B, Predicted: A, Probability: 0.9999999998535747
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.9731701625071562
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.99832612137205
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999993
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999991223
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.998841882221699
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999493
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence580.csv_1: True Class: B, Predicted: A, Probability: 0.9999999975130144
Sequence581.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999998
Sequence582.csv_1: True Class: B, Predicted: A, Probability: 0.8123813279020226
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.9999999991784044
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999997
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence59.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence590.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999767
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence593.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence595.csv_1: True Class: B, Predicted: A, Probability: 0.9999998320150456
Sequence596.csv_1: True Class: B, Predicted: A, Probability: 0.999999999956771
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.999999999999992
Sequence598.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.9999999994942721
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.9998443157822003
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence602.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.999999999960476
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999581293
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999988348
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence609.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence61.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence610.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 0.9558462502729361
Sequence612.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence613.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence614.csv_1: True Class: B, Predicted: A, Probability: 0.99999999999999
Sequence615.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999987338
Sequence616.csv_1: True Class: B, Predicted: A, Probability: 0.999999999983803
Sequence617.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.9978671263359411
Sequence619.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999996102
Sequence62.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999947042
Sequence620.csv_1: True Class: B, Predicted: A, Probability: 0.9999906575819404
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 0.9999951737896594
Sequence622.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence623.csv_1: True Class: B, Predicted: A, Probability: 0.9999993660625919
Sequence624.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999803
Sequence625.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence626.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence627.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence628.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence629.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence63.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence630.csv_1: True Class: A, Predicted: B, Probability: 0.9998928855289284
Sequence631.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence632.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence633.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence634.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence635.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence636.csv_1: True Class: A, Predicted: A, Probability: 0.999999999999994
Sequence637.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999999
Sequence638.csv_1: True Class: B, Predicted: B, Probability: 0.9999904990835743
Sequence639.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence64.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence640.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence641.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence642.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999681
Sequence643.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence644.csv_1: True Class: B, Predicted: A, Probability: 0.999999975215212
Sequence645.csv_1: True Class: A, Predicted: A, Probability: 0.9999999991248123
Sequence646.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999211289
Sequence647.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998216
Sequence648.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence649.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence65.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence650.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence651.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999994796
Sequence652.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence653.csv_1: True Class: A, Predicted: A, Probability: 0.9999900207996081
Sequence654.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence655.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence656.csv_1: True Class: A, Predicted: B, Probability: 0.9999999734508201
Sequence657.csv_1: True Class: B, Predicted: B, Probability: 0.999999925688925
Sequence658.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence659.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence66.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999993
Sequence660.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence661.csv_1: True Class: B, Predicted: B, Probability: 0.9999983017290394
Sequence662.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence663.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence664.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence665.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence666.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence667.csv_1: True Class: B, Predicted: B, Probability: 0.9999989265798114
Sequence668.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999990173
Sequence669.csv_1: True Class: B, Predicted: A, Probability: 0.9964721640477083
Sequence67.csv_1: True Class: A, Predicted: A, Probability: 0.9999999292712439
Sequence670.csv_1: True Class: B, Predicted: A, Probability: 0.9999973000976071
Sequence671.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence672.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence673.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999991
Sequence674.csv_1: True Class: A, Predicted: A, Probability: 0.9999910543605041
Sequence675.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence676.csv_1: True Class: B, Predicted: A, Probability: 0.999999887967497
Sequence677.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence678.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence679.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence68.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence680.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence681.csv_1: True Class: A, Predicted: B, Probability: 0.9800133209962828
Sequence682.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence683.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence684.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999984979
Sequence685.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence686.csv_1: True Class: A, Predicted: B, Probability: 0.9978374810927346
Sequence687.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence688.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence689.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence69.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence690.csv_1: True Class: A, Predicted: A, Probability: 0.9999459971074183
Sequence691.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence692.csv_1: True Class: B, Predicted: B, Probability: 0.9996956954848428
Sequence693.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999964
Sequence694.csv_1: True Class: A, Predicted: A, Probability: 0.9999766949135466
Sequence695.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence696.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence697.csv_1: True Class: A, Predicted: B, Probability: 0.999900087761419
Sequence698.csv_1: True Class: B, Predicted: B, Probability: 0.999986512606973
Sequence699.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence7.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence70.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999960509
Sequence700.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence701.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999991879
Sequence702.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence703.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999999839
Sequence704.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence705.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence706.csv_1: True Class: B, Predicted: B, Probability: 0.9999957546523641
Sequence707.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence708.csv_1: True Class: B, Predicted: A, Probability: 0.998820315495532
Sequence709.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence71.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence710.csv_1: True Class: A, Predicted: A, Probability: 0.9999999945583878
Sequence711.csv_1: True Class: B, Predicted: A, Probability: 0.6869435023740491
Sequence712.csv_1: True Class: B, Predicted: A, Probability: 0.9926683964375289
Sequence713.csv_1: True Class: B, Predicted: A, Probability: 0.9554085943752129
Sequence714.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence715.csv_1: True Class: A, Predicted: A, Probability: 0.9998903811964329
Sequence716.csv_1: True Class: A, Predicted: A, Probability: 0.9999999989228096
Sequence717.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence718.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence719.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence72.csv_1: True Class: B, Predicted: A, Probability: 0.9983409673794837
Sequence720.csv_1: True Class: B, Predicted: A, Probability: 0.999999807113997
Sequence721.csv_1: True Class: B, Predicted: B, Probability: 0.9999983137956302
Sequence722.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence723.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence724.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence725.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999943
Sequence726.csv_1: True Class: A, Predicted: B, Probability: 0.9999009184765981
Sequence727.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence728.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence729.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence73.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence730.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence731.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence732.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence733.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence734.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence735.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence736.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence737.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence738.csv_1: True Class: B, Predicted: B, Probability: 0.9983228776778971
Sequence739.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence74.csv_1: True Class: A, Predicted: A, Probability: 0.9999999995808212
Sequence740.csv_1: True Class: A, Predicted: A, Probability: 0.9999997013234024
Sequence741.csv_1: True Class: A, Predicted: B, Probability: 0.9971812946394119
Sequence742.csv_1: True Class: B, Predicted: B, Probability: 0.9999999970016363
Sequence743.csv_1: True Class: A, Predicted: A, Probability: 0.9979497868899483
Sequence744.csv_1: True Class: A, Predicted: B, Probability: 0.9912694924649198
Sequence745.csv_1: True Class: A, Predicted: B, Probability: 0.9311032040810175
Sequence746.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence747.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence748.csv_1: True Class: A, Predicted: A, Probability: 0.9996384439578013
Sequence749.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence75.csv_1: True Class: B, Predicted: A, Probability: 0.9999999765120385
Sequence750.csv_1: True Class: B, Predicted: A, Probability: 0.999999911920682
Sequence751.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999828552
Sequence752.csv_1: True Class: A, Predicted: A, Probability: 0.9999999984526653
Sequence753.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999202059
Sequence754.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence755.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence756.csv_1: True Class: B, Predicted: A, Probability: 0.9998809045859015
Sequence757.csv_1: True Class: A, Predicted: A, Probability: 0.9968435449302098
Sequence758.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999943
Sequence759.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence76.csv_1: True Class: A, Predicted: A, Probability: 0.9747079204879683
Sequence760.csv_1: True Class: B, Predicted: A, Probability: 0.9456693913687174
Sequence761.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence762.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence763.csv_1: True Class: B, Predicted: B, Probability: 0.9504327730812304
Sequence764.csv_1: True Class: B, Predicted: B, Probability: 0.999999999685963
Sequence765.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence766.csv_1: True Class: A, Predicted: A, Probability: 0.999999992518899
Sequence767.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence768.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence769.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence77.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence770.csv_1: True Class: B, Predicted: A, Probability: 0.9999994069032418
Sequence771.csv_1: True Class: B, Predicted: A, Probability: 0.9999996399459528
Sequence772.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence773.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence774.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999998
Sequence775.csv_1: True Class: B, Predicted: B, Probability: 0.9959567471075733
Sequence776.csv_1: True Class: B, Predicted: B, Probability: 0.913922702016975
Sequence777.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence778.csv_1: True Class: A, Predicted: B, Probability: 0.9999999998600562
Sequence779.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999116
Sequence78.csv_1: True Class: B, Predicted: A, Probability: 0.9999999952138006
Sequence780.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence781.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999731094
Sequence782.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence783.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999999989
Sequence784.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence785.csv_1: True Class: B, Predicted: B, Probability: 0.9590256669272158
Sequence786.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999988803
Sequence787.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence788.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence789.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence79.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence790.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999807988
Sequence791.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence792.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence793.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999788014
Sequence794.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999992014
Sequence795.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence796.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999949062
Sequence797.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999175
Sequence798.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence799.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999942
Sequence8.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999873
Sequence80.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence800.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999906672
Sequence801.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence802.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence803.csv_1: True Class: A, Predicted: A, Probability: 0.9999999982003742
Sequence804.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999998
Sequence805.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence806.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence807.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence808.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence809.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence81.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence810.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence811.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999987
Sequence812.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence813.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence814.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence815.csv_1: True Class: A, Predicted: B, Probability: 0.9989247238015507
Sequence816.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence817.csv_1: True Class: A, Predicted: B, Probability: 0.6919502318144374
Sequence818.csv_1: True Class: A, Predicted: A, Probability: 0.9999426278398249
Sequence819.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999937458
Sequence82.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence820.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence821.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999996
Sequence822.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence823.csv_1: True Class: A, Predicted: A, Probability: 0.999999999440035
Sequence824.csv_1: True Class: B, Predicted: A, Probability: 0.9999999581386896
Sequence825.csv_1: True Class: A, Predicted: A, Probability: 0.9980261531520607
Sequence826.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence827.csv_1: True Class: A, Predicted: A, Probability: 0.9999999998229412
Sequence828.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence829.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999997
Sequence83.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999999
Sequence830.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence831.csv_1: True Class: A, Predicted: A, Probability: 0.9999999946129258
Sequence832.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence833.csv_1: True Class: A, Predicted: A, Probability: 0.9999999956041903
Sequence834.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999994519
Sequence835.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999990681
Sequence836.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence837.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999627055
Sequence838.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence839.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence84.csv_1: True Class: B, Predicted: B, Probability: 0.9776631044196403
Sequence840.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence841.csv_1: True Class: A, Predicted: B, Probability: 0.5383745665010181
Sequence842.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999936
Sequence843.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence844.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence845.csv_1: True Class: B, Predicted: B, Probability: 0.9991678534670956
Sequence846.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence847.csv_1: True Class: A, Predicted: A, Probability: 0.9999999998454502
Sequence848.csv_1: True Class: A, Predicted: A, Probability: 0.9999988134033371
Sequence849.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999923047
Sequence85.csv_1: True Class: B, Predicted: B, Probability: 0.9999955204905552
Sequence850.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence851.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence852.csv_1: True Class: A, Predicted: A, Probability: 0.999999973669233
Sequence853.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence854.csv_1: True Class: A, Predicted: A, Probability: 0.9829629527718022
Sequence855.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence856.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999983766
Sequence857.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence858.csv_1: True Class: B, Predicted: B, Probability: 0.6893936628928264
Sequence859.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence86.csv_1: True Class: B, Predicted: B, Probability: 0.999999999999521
Sequence860.csv_1: True Class: A, Predicted: A, Probability: 0.9999999971072655
Sequence861.csv_1: True Class: B, Predicted: A, Probability: 1.0
Sequence862.csv_1: True Class: B, Predicted: B, Probability: 0.9991429474176748
Sequence863.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999999858
Sequence864.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence865.csv_1: True Class: A, Predicted: A, Probability: 0.999999999939163
Sequence866.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence867.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence868.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence869.csv_1: True Class: B, Predicted: B, Probability: 0.999999882541585
Sequence87.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence870.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998666
Sequence871.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999999816
Sequence872.csv_1: True Class: A, Predicted: A, Probability: 0.9999944974287927
Sequence873.csv_1: True Class: A, Predicted: A, Probability: 1.0
