Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9999999968920067
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9999999574293809
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999740754
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999999996924572
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.9999999977949906
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.99819159366319
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.9697575902865215
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9999999939787066
Sequence557.csv_1: True Class: B, Predicted: B, Probability: 0.999999988408585
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.9999999988896563
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 0.9854668481707565
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999997788
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999992357
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9999985521413907
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.999999999999998
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.99777465921762
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.6233243598639782
Sequence565.csv_1: True Class: B, Predicted: A, Probability: 0.9907048809702664
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999687014
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9956921488862048
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.9877216321166175
Sequence569.csv_1: True Class: B, Predicted: A, Probability: 0.936153185779527
Sequence57.csv_1: True Class: B, Predicted: A, Probability: 0.9999999998896789
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9999999990196151
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998120814
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.9963632475528559
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9999379488538995
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 0.9483309627582577
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999838
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9980131552988195
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999999950902457
Sequence578.csv_1: True Class: B, Predicted: B, Probability: 0.9999945775302846
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.999999999719259
Sequence58.csv_1: True Class: A, Predicted: B, Probability: 0.9997400331757761
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999775883
Sequence581.csv_1: True Class: B, Predicted: A, Probability: 0.999999999838385
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999992363
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 0.9999999883963389
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998464498
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.8597636835607316
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.9999999980788101
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9998227058630502
Sequence588.csv_1: True Class: B, Predicted: B, Probability: 0.999999999790726
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.9316226901942916
Sequence59.csv_1: True Class: B, Predicted: A, Probability: 0.9999672470255786
Sequence590.csv_1: True Class: B, Predicted: B, Probability: 0.9999999997938245
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999655633
