Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.8954727030625832
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence574.csv_1: True Class: B, Predicted: A, Probability: 0.8954727030625832
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence588.csv_1: True Class: B, Predicted: A, Probability: 0.8954727030625832
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence591.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence610.csv_1: True Class: B, Predicted: A, Probability: 0.8954727030625832
Sequence611.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence612.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence614.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence615.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence616.csv_1: True Class: B, Predicted: A, Probability: 0.8954727030625832
Sequence617.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence619.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence620.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence622.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence623.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence624.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence626.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence627.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence628.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence629.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence63.csv_1: True Class: B, Predicted: A, Probability: 0.8954727030625832
Sequence630.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence631.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence632.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence633.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence634.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence635.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence636.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence637.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence638.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence639.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence64.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence640.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
Sequence641.csv_1: True Class: A, Predicted: A, Probability: 0.8954727030625832
