Sequence549.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence552.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence553.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence554.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence558.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence559.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence56.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence561.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence562.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence565.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence576.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence58.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence580.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence581.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence584.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence585.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence590.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence591.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence593.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence594.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence595.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence596.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence597.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence598.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence599.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
Sequence60.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence600.csv_1: True Class: A, Predicted: B, Probability: 0.5805592543275633
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.5805592543275633
