Sequence549.csv_1: True Class: A, Predicted: B, Probability: 0.9999961203878391
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.995726792728223
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.990750057179249
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.9988774190597234
Sequence552.csv_1: True Class: A, Predicted: B, Probability: 0.9989300019374038
Sequence553.csv_1: True Class: A, Predicted: B, Probability: 0.999532089295781
Sequence554.csv_1: True Class: A, Predicted: B, Probability: 0.8372988999641061
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.999850521481792
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9989086903348461
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9876871574602445
Sequence558.csv_1: True Class: A, Predicted: B, Probability: 0.9994696966919405
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9567872246584438
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9123862666471311
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.9976166018513247
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.6655537092648033
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9993930733919945
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.8694146038166131
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9992000295770136
Sequence565.csv_1: True Class: A, Predicted: B, Probability: 0.8221725469181577
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.9996954064107668
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9987790883391476
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9995714223338626
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9036623995707231
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9978170984933403
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9979110032614812
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.9698093063912576
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9937960119134751
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9836076718464221
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 0.9196104135371543
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 0.9724968220317802
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9329182199561348
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.9943395145499718
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.9610705455093692
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.9961342345748918
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9421309144746725
Sequence580.csv_1: True Class: A, Predicted: B, Probability: 0.9982767195916951
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9997911453281189
Sequence582.csv_1: True Class: B, Predicted: A, Probability: 0.8143485963386625
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9975990144149663
Sequence584.csv_1: True Class: A, Predicted: B, Probability: 0.5862231225495311
Sequence585.csv_1: True Class: A, Predicted: B, Probability: 0.6412928599449266
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.9873442432600432
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.6636464947793724
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.9864043411411515
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.9230840863397776
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.9969178978513628
Sequence590.csv_1: True Class: B, Predicted: A, Probability: 0.8599427007694741
Sequence591.csv_1: True Class: A, Predicted: B, Probability: 0.9251945509457519
Sequence592.csv_1: True Class: B, Predicted: A, Probability: 0.9339815326660227
Sequence593.csv_1: True Class: B, Predicted: B, Probability: 0.8845069065970721
Sequence594.csv_1: True Class: B, Predicted: A, Probability: 0.6168950056846606
Sequence595.csv_1: True Class: A, Predicted: B, Probability: 0.7631963400218884
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.6791736732875555
Sequence597.csv_1: True Class: B, Predicted: B, Probability: 0.9992377775688345
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.9999987308665912
Sequence599.csv_1: True Class: A, Predicted: B, Probability: 0.9326410035321643
Sequence6.csv_1: True Class: B, Predicted: A, Probability: 0.8233826895814421
Sequence60.csv_1: True Class: A, Predicted: B, Probability: 0.9994546011250305
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.9909029968789596
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.9997939880894426
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.9574106435384693
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 0.5482118182253403
Sequence604.csv_1: True Class: B, Predicted: B, Probability: 0.6750830635210984
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.9994964070951362
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 0.9994507320281538
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.93923453713797
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.9978493316782198
Sequence609.csv_1: True Class: A, Predicted: B, Probability: 0.8031265643849189
Sequence61.csv_1: True Class: B, Predicted: B, Probability: 0.793230727835861
Sequence610.csv_1: True Class: A, Predicted: B, Probability: 0.8497981432897342
Sequence611.csv_1: True Class: B, Predicted: A, Probability: 0.9977045554212074
Sequence612.csv_1: True Class: B, Predicted: A, Probability: 0.9999132494486073
Sequence613.csv_1: True Class: A, Predicted: B, Probability: 0.9721028131574578
Sequence614.csv_1: True Class: B, Predicted: B, Probability: 0.9999343456747664
Sequence615.csv_1: True Class: B, Predicted: A, Probability: 0.9997288038595332
Sequence616.csv_1: True Class: B, Predicted: A, Probability: 0.9897248873354193
Sequence617.csv_1: True Class: A, Predicted: B, Probability: 0.9999956196704972
Sequence618.csv_1: True Class: B, Predicted: A, Probability: 0.999456281785731
Sequence619.csv_1: True Class: A, Predicted: B, Probability: 0.9999252846646512
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 0.9988481136927951
Sequence620.csv_1: True Class: A, Predicted: B, Probability: 0.8697834905795416
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 0.9003900972606304
Sequence622.csv_1: True Class: B, Predicted: A, Probability: 0.9876065194797663
Sequence623.csv_1: True Class: B, Predicted: B, Probability: 0.9936973948033436
Sequence624.csv_1: True Class: B, Predicted: B, Probability: 0.9991898776915085
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 0.9945943855403986
Sequence626.csv_1: True Class: A, Predicted: B, Probability: 0.7063486816871806
Sequence627.csv_1: True Class: A, Predicted: A, Probability: 0.9884161136950576
Sequence628.csv_1: True Class: A, Predicted: A, Probability: 0.9881384236373951
Sequence629.csv_1: True Class: B, Predicted: A, Probability: 0.9999987307846694
Sequence63.csv_1: True Class: A, Predicted: B, Probability: 0.9702713773506956
Sequence630.csv_1: True Class: A, Predicted: B, Probability: 0.9999945299388869
Sequence631.csv_1: True Class: B, Predicted: B, Probability: 0.9999590314654754
Sequence632.csv_1: True Class: B, Predicted: A, Probability: 0.9723394906435089
Sequence633.csv_1: True Class: B, Predicted: A, Probability: 0.9971178745675101
Sequence634.csv_1: True Class: B, Predicted: A, Probability: 0.9526557906467881
