Sequence549.csv_1: True Class: A, Predicted: C, Probability: 0.9216059217418174
Sequence55.csv_1: True Class: D, Predicted: C, Probability: 0.9821364436520074
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.9995613852227511
Sequence551.csv_1: True Class: C, Predicted: D, Probability: 0.9972092226530305
Sequence552.csv_1: True Class: A, Predicted: C, Probability: 0.9827371204727856
Sequence553.csv_1: True Class: C, Predicted: C, Probability: 0.9999987466981605
Sequence554.csv_1: True Class: D, Predicted: C, Probability: 0.9982855195485896
Sequence555.csv_1: True Class: D, Predicted: D, Probability: 0.9996557951124959
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9999932748919963
Sequence557.csv_1: True Class: D, Predicted: B, Probability: 0.9471322685728911
Sequence558.csv_1: True Class: D, Predicted: D, Probability: 0.9999950073462903
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9923352005995385
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999952826904238
Sequence560.csv_1: True Class: C, Predicted: C, Probability: 0.9999824888012993
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9974790452976247
Sequence562.csv_1: True Class: C, Predicted: B, Probability: 0.9977451238505136
Sequence563.csv_1: True Class: A, Predicted: C, Probability: 0.9954412728657566
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9997863805328683
Sequence565.csv_1: True Class: C, Predicted: D, Probability: 0.9980014347273355
Sequence566.csv_1: True Class: B, Predicted: C, Probability: 0.9999991427597704
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9999999996306526
Sequence568.csv_1: True Class: D, Predicted: D, Probability: 0.5679377759985764
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999792031068098
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.9946500043755103
Sequence570.csv_1: True Class: D, Predicted: C, Probability: 0.914483380903264
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999999841329346
Sequence572.csv_1: True Class: C, Predicted: C, Probability: 0.9996287020977482
Sequence573.csv_1: True Class: A, Predicted: D, Probability: 0.9587574294385365
Sequence574.csv_1: True Class: D, Predicted: B, Probability: 0.9996801580070154
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999990386306963
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9974337940086617
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999980438
Sequence578.csv_1: True Class: D, Predicted: C, Probability: 0.6836574890521421
Sequence579.csv_1: True Class: D, Predicted: C, Probability: 0.9850303304086654
Sequence58.csv_1: True Class: D, Predicted: C, Probability: 0.98732263599496
Sequence580.csv_1: True Class: D, Predicted: C, Probability: 0.9834846528221706
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.7707643191059647
Sequence582.csv_1: True Class: A, Predicted: D, Probability: 0.9999986392992356
Sequence583.csv_1: True Class: C, Predicted: D, Probability: 0.9643779954712358
Sequence584.csv_1: True Class: B, Predicted: C, Probability: 0.9625736842007088
Sequence585.csv_1: True Class: D, Predicted: C, Probability: 0.9997522851922838
Sequence586.csv_1: True Class: A, Predicted: D, Probability: 0.5875504752074919
Sequence587.csv_1: True Class: C, Predicted: C, Probability: 0.9468842201633593
Sequence588.csv_1: True Class: C, Predicted: D, Probability: 0.9998133214408923
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9934883616449205
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.9596623805638556
Sequence590.csv_1: True Class: B, Predicted: C, Probability: 0.9960390569150304
Sequence591.csv_1: True Class: D, Predicted: D, Probability: 0.6635062389521506
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9999175759317257
Sequence593.csv_1: True Class: A, Predicted: D, Probability: 0.5157176410166139
Sequence594.csv_1: True Class: B, Predicted: A, Probability: 0.8823005492967604
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.9999999971177699
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9999701933594525
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.999986374493256
Sequence598.csv_1: True Class: A, Predicted: C, Probability: 0.8989031177615772
Sequence599.csv_1: True Class: C, Predicted: A, Probability: 0.9998289698063314
Sequence6.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999999757
Sequence60.csv_1: True Class: D, Predicted: D, Probability: 0.9998666637890034
Sequence600.csv_1: True Class: B, Predicted: D, Probability: 0.8314684616287378
Sequence601.csv_1: True Class: C, Predicted: C, Probability: 0.9963855003451656
Sequence602.csv_1: True Class: B, Predicted: A, Probability: 0.999999999973723
Sequence603.csv_1: True Class: B, Predicted: A, Probability: 0.9744299151314202
Sequence604.csv_1: True Class: A, Predicted: D, Probability: 0.9999817393615476
Sequence605.csv_1: True Class: D, Predicted: D, Probability: 0.9999999999999963
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence607.csv_1: True Class: A, Predicted: B, Probability: 0.9647652367101189
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.9999999638365363
Sequence609.csv_1: True Class: D, Predicted: A, Probability: 0.999900935483339
Sequence61.csv_1: True Class: C, Predicted: C, Probability: 0.9987265215280152
Sequence610.csv_1: True Class: C, Predicted: D, Probability: 0.9999344759133273
Sequence611.csv_1: True Class: D, Predicted: A, Probability: 0.8707862284820961
Sequence612.csv_1: True Class: A, Predicted: B, Probability: 0.9915773588971024
Sequence613.csv_1: True Class: B, Predicted: C, Probability: 0.9999996987205181
Sequence614.csv_1: True Class: C, Predicted: A, Probability: 0.997774779787195
Sequence615.csv_1: True Class: C, Predicted: D, Probability: 0.9999999752147624
Sequence616.csv_1: True Class: A, Predicted: C, Probability: 0.9840124396292447
Sequence617.csv_1: True Class: A, Predicted: D, Probability: 0.7728951057935323
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999364
Sequence619.csv_1: True Class: B, Predicted: D, Probability: 0.9995644049774122
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 0.8707792871108071
Sequence620.csv_1: True Class: D, Predicted: D, Probability: 0.9999999655170492
Sequence621.csv_1: True Class: B, Predicted: C, Probability: 0.9997224147059193
Sequence622.csv_1: True Class: C, Predicted: A, Probability: 0.9742153480584906
Sequence623.csv_1: True Class: A, Predicted: A, Probability: 0.7270522152817246
Sequence624.csv_1: True Class: A, Predicted: D, Probability: 0.9987910645533834
Sequence625.csv_1: True Class: D, Predicted: A, Probability: 0.9988754850509057
Sequence626.csv_1: True Class: A, Predicted: A, Probability: 0.9999688616728792
Sequence627.csv_1: True Class: B, Predicted: B, Probability: 0.7601594842499989
Sequence628.csv_1: True Class: D, Predicted: D, Probability: 0.9999994210388732
Sequence629.csv_1: True Class: A, Predicted: A, Probability: 0.9999999992761983
Sequence63.csv_1: True Class: D, Predicted: D, Probability: 0.9999737539988155
Sequence630.csv_1: True Class: A, Predicted: C, Probability: 0.9993648526446123
