Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.8566279441332622
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.8040608990102397
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.976454819927107
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.7025294395995032
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.6930890716096287
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.5072860291510407
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.7516877535125013
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.9999946302184746
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.6939707481535757
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.6812266980815685
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.9806257807642174
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 0.9999962685643902
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.9960861246576745
Sequence560.csv_1: True Class: A, Predicted: B, Probability: 0.8916165379727633
Sequence561.csv_1: True Class: A, Predicted: B, Probability: 0.9123182648850019
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.9999703014100926
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9951100243196793
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 0.9832605507505727
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.989065478521129
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9999245246069987
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.6410237445394222
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.996418440917031
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999487983853979
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9995262403808111
Sequence570.csv_1: True Class: B, Predicted: A, Probability: 0.9971096390506444
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.9992156482362349
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.9881024526343157
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.8523364885617012
