Sequence549.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9999999930290546
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.9859914144856073
Sequence551.csv_1: True Class: B, Predicted: A, Probability: 0.9999999175042733
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.9995421666999461
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.9992722757874842
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.928431800637388
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999932219
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.999999999984932
Sequence557.csv_1: True Class: B, Predicted: A, Probability: 0.9994769222254472
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9999999980453175
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9999999969763893
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.9843482198016984
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence562.csv_1: True Class: A, Predicted: B, Probability: 0.9207219434410754
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.999947409441996
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 0.9999999991042174
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999999998396566
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.9990254540970405
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9999989496545264
Sequence568.csv_1: True Class: B, Predicted: A, Probability: 0.9999544342158793
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9979566044290241
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999999973732587
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9986581720575884
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.9665447151925091
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.9999466183092586
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9999486699292829
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.8077348822884387
Sequence575.csv_1: True Class: A, Predicted: B, Probability: 0.6891607769700537
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.9999929969783307
Sequence578.csv_1: True Class: B, Predicted: B, Probability: 0.9888528960932712
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9992493560982292
Sequence580.csv_1: True Class: B, Predicted: A, Probability: 0.5232459559476953
Sequence581.csv_1: True Class: B, Predicted: B, Probability: 0.999999999999973
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.9999972234641495
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.9999946287259724
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.7534557642528235
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999536
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999995312
Sequence588.csv_1: True Class: B, Predicted: B, Probability: 0.9999363682969276
Sequence589.csv_1: True Class: B, Predicted: A, Probability: 0.9999969563145507
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.9999999989375076
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.9999839931623146
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.9999911469451139
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999608
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9999237903521163
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.9999999956605461
Sequence595.csv_1: True Class: B, Predicted: A, Probability: 0.9999999150356073
Sequence596.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9999999957115923
Sequence598.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999997544
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.999999943479874
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.9999506600484321
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999363743
Sequence600.csv_1: True Class: B, Predicted: A, Probability: 0.9915432494177219
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.9999999994912151
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999896273
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.9999743731775164
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.9957404825504517
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999988753
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.9999813739488658
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.999999838890591
Sequence608.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999969
Sequence609.csv_1: True Class: B, Predicted: B, Probability: 0.9999916520871921
Sequence61.csv_1: True Class: B, Predicted: B, Probability: 0.6590680344670284
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 0.9999922093185616
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence612.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence613.csv_1: True Class: B, Predicted: B, Probability: 0.9994038299815399
Sequence614.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999998546
Sequence615.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence616.csv_1: True Class: A, Predicted: A, Probability: 0.9999999973666366
Sequence617.csv_1: True Class: B, Predicted: A, Probability: 0.9999977745691858
Sequence618.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999975034
Sequence619.csv_1: True Class: A, Predicted: A, Probability: 0.9997983728734009
Sequence62.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence620.csv_1: True Class: B, Predicted: A, Probability: 0.8593247837655619
Sequence621.csv_1: True Class: B, Predicted: A, Probability: 0.9979006189324713
Sequence622.csv_1: True Class: B, Predicted: B, Probability: 0.5817754529391863
Sequence623.csv_1: True Class: B, Predicted: A, Probability: 0.9999994056876376
Sequence624.csv_1: True Class: B, Predicted: A, Probability: 0.999994911948066
Sequence625.csv_1: True Class: B, Predicted: B, Probability: 0.9999302736759165
Sequence626.csv_1: True Class: B, Predicted: B, Probability: 0.999971947622831
Sequence627.csv_1: True Class: B, Predicted: B, Probability: 0.9995456188433086
Sequence628.csv_1: True Class: B, Predicted: B, Probability: 0.8906325182313619
Sequence629.csv_1: True Class: B, Predicted: B, Probability: 0.9999999252076964
Sequence63.csv_1: True Class: A, Predicted: A, Probability: 0.9999959681185117
Sequence630.csv_1: True Class: B, Predicted: B, Probability: 0.9999816541680654
Sequence631.csv_1: True Class: B, Predicted: B, Probability: 0.9999999953368633
Sequence632.csv_1: True Class: B, Predicted: A, Probability: 0.9996422195396066
Sequence633.csv_1: True Class: B, Predicted: B, Probability: 0.9999988898983884
Sequence634.csv_1: True Class: A, Predicted: A, Probability: 0.9893855554558905
Sequence635.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999562607
Sequence636.csv_1: True Class: A, Predicted: A, Probability: 0.9898773222769542
Sequence637.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999979
Sequence638.csv_1: True Class: B, Predicted: B, Probability: 0.9999999995093767
Sequence639.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence64.csv_1: True Class: A, Predicted: A, Probability: 0.9999510318712289
Sequence640.csv_1: True Class: B, Predicted: B, Probability: 0.975599776814727
Sequence641.csv_1: True Class: B, Predicted: B, Probability: 0.9999931656694108
Sequence642.csv_1: True Class: A, Predicted: A, Probability: 0.999999999993224
Sequence643.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence644.csv_1: True Class: B, Predicted: B, Probability: 0.9999936637643905
Sequence645.csv_1: True Class: B, Predicted: A, Probability: 0.9999999985487432
Sequence646.csv_1: True Class: B, Predicted: A, Probability: 0.9999999045296704
Sequence647.csv_1: True Class: A, Predicted: A, Probability: 0.9999999992747819
Sequence648.csv_1: True Class: B, Predicted: A, Probability: 0.9999960157805258
Sequence649.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999995999
Sequence65.csv_1: True Class: B, Predicted: B, Probability: 0.9999989092042314
Sequence650.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999376485
Sequence651.csv_1: True Class: A, Predicted: B, Probability: 0.9992781721008391
Sequence652.csv_1: True Class: B, Predicted: B, Probability: 0.9996053109782483
Sequence653.csv_1: True Class: B, Predicted: A, Probability: 0.9999325751642419
Sequence654.csv_1: True Class: B, Predicted: A, Probability: 0.9999999987829887
Sequence655.csv_1: True Class: B, Predicted: B, Probability: 0.9485866002843797
Sequence656.csv_1: True Class: B, Predicted: B, Probability: 1.0
