Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9999999725062797
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998249489
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.9999918405550597
Sequence551.csv_1: True Class: B, Predicted: A, Probability: 0.9999997952028162
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.9994769821679005
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.9999987482732211
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.7722454943033763
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.9987045418601178
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9999999923294067
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9107669884177053
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9999999790053138
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9999988221176607
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.999999999939566
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999663844
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.870839507217227
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 0.9999995390321206
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.9999992459097059
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.999999931793454
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.7370290053641558
Sequence569.csv_1: True Class: B, Predicted: B, Probability: 0.999999999852437
Sequence57.csv_1: True Class: B, Predicted: A, Probability: 0.9999999992638466
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.7026713439927399
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.9832283777780387
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 0.539712200721061
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9999999952071816
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 1.0
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.7342432229423372
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9986536220219779
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999999211630987
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 0.9999989692674383
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999997248
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999964830553362
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9999999831515368
Sequence581.csv_1: True Class: B, Predicted: B, Probability: 0.9999890967209196
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9999999503487147
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.9695024511348076
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9999999324246892
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.9999998964968789
Sequence587.csv_1: True Class: B, Predicted: A, Probability: 0.9999965597415812
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999990761
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.7558831433803007
Sequence59.csv_1: True Class: B, Predicted: B, Probability: 0.9758948512056888
Sequence590.csv_1: True Class: B, Predicted: A, Probability: 0.9925236096055992
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.999999991412654
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9427781613004099
Sequence593.csv_1: True Class: B, Predicted: B, Probability: 0.9977704780187326
Sequence594.csv_1: True Class: B, Predicted: B, Probability: 0.9999999997174495
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999915853
Sequence596.csv_1: True Class: B, Predicted: A, Probability: 0.9999999876008715
Sequence597.csv_1: True Class: B, Predicted: B, Probability: 0.9999999990954638
Sequence598.csv_1: True Class: B, Predicted: A, Probability: 0.970020354457632
Sequence599.csv_1: True Class: B, Predicted: B, Probability: 0.9985537970875283
Sequence6.csv_1: True Class: B, Predicted: A, Probability: 0.6792543945298849
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 0.9996963841437038
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.9999999403482746
