Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.9997586966050896
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9964321749251983
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.988025144434524
Sequence551.csv_1: True Class: B, Predicted: A, Probability: 0.9999999972392314
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999999946748169
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.9999999994412206
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.9999931382625837
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999963269
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998959482
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.9998970832795152
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999845721
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 0.9999999975624211
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.8186997933487544
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9999995735395312
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.5513841416762645
Sequence562.csv_1: True Class: B, Predicted: A, Probability: 0.9804832595829661
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9995293040915042
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999920949863278
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999977782
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.9998633592702122
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.851874402968061
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.8543386061304382
Sequence569.csv_1: True Class: B, Predicted: B, Probability: 0.9900951922213278
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.9999594311763227
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999912862
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999732697
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9999992577202265
Sequence573.csv_1: True Class: B, Predicted: A, Probability: 0.9999993663182437
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.9999999997747075
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.9999999147859262
Sequence576.csv_1: True Class: B, Predicted: A, Probability: 0.999955119101738
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.9526539524265778
Sequence578.csv_1: True Class: B, Predicted: B, Probability: 0.9824697085282127
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9984050065657777
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9999999997808969
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.999999999999677
Sequence581.csv_1: True Class: A, Predicted: B, Probability: 0.9984995204334972
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9999999997569249
Sequence583.csv_1: True Class: B, Predicted: A, Probability: 0.999999992746061
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999037402
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9997951672567849
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.9939089243736826
Sequence587.csv_1: True Class: A, Predicted: B, Probability: 0.9286480580645847
Sequence588.csv_1: True Class: B, Predicted: A, Probability: 0.9082485833471481
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.9999999820124249
Sequence59.csv_1: True Class: B, Predicted: B, Probability: 0.9999765773804447
Sequence590.csv_1: True Class: B, Predicted: A, Probability: 0.9987236644439087
Sequence591.csv_1: True Class: B, Predicted: A, Probability: 0.99999999999802
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.6547124529273795
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9794084040752747
Sequence594.csv_1: True Class: B, Predicted: B, Probability: 0.9999999083448076
Sequence595.csv_1: True Class: A, Predicted: B, Probability: 0.9999681741869969
Sequence596.csv_1: True Class: B, Predicted: A, Probability: 0.9170991582470603
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9790762539633011
Sequence598.csv_1: True Class: B, Predicted: B, Probability: 0.999999812171809
Sequence599.csv_1: True Class: A, Predicted: B, Probability: 0.9999905505884195
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.9999999995145048
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999548
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.9272475555510715
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999996574
Sequence602.csv_1: True Class: B, Predicted: B, Probability: 0.9209088619430205
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 0.9999998010347662
Sequence604.csv_1: True Class: B, Predicted: A, Probability: 0.9999993819436034
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999983
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999992907
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.9999120155462203
Sequence608.csv_1: True Class: B, Predicted: B, Probability: 0.9999999976972636
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.9999999978809977
