Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999942237
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999998844
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.9384356563059619
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998251683
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9369349016362265
Sequence553.csv_1: True Class: A, Predicted: B, Probability: 0.9999546196017417
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.9621167743247547
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9999999970837672
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9998452946792887
Sequence557.csv_1: True Class: B, Predicted: A, Probability: 0.9999394039467115
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.928302269374718
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.7207352142703329
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.9999996314165057
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.9992726196023776
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9999999987209984
Sequence562.csv_1: True Class: A, Predicted: B, Probability: 0.9982607385678781
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.9999999959648798
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 0.999999999148127
Sequence565.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999965664
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.9999969539842442
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9776847480464594
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.9999359544050508
Sequence569.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999988494
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999901774
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998188484
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.9999653584037457
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 0.9999999972718074
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9999999797597222
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9999849632208015
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9626589672570479
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999984
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999690422069463
Sequence578.csv_1: True Class: B, Predicted: B, Probability: 0.9943976232644031
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9352866325781779
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999994277
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999685
Sequence581.csv_1: True Class: B, Predicted: B, Probability: 0.9999927878333732
