Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.9999643744339475
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9146890300273555
Sequence550.csv_1: True Class: A, Predicted: B, Probability: 0.8278956907398021
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.9999917265868077
Sequence552.csv_1: True Class: A, Predicted: B, Probability: 0.9995775156168039
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.9888456888188978
Sequence554.csv_1: True Class: A, Predicted: B, Probability: 0.9990797882722928
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.9999960777658919
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.7597017343375422
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.9999483694147518
Sequence558.csv_1: True Class: A, Predicted: B, Probability: 0.9973134732093697
Sequence559.csv_1: True Class: A, Predicted: B, Probability: 0.9853682172874456
Sequence56.csv_1: True Class: A, Predicted: B, Probability: 0.6101348403492173
Sequence560.csv_1: True Class: A, Predicted: B, Probability: 0.9969427598526466
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.972533055574584
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9999999336750705
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.876753373444681
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9999961319570622
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.9782208743502829
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.9998066440950744
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.9999315223488455
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9615358877024217
Sequence569.csv_1: True Class: B, Predicted: A, Probability: 0.9999977301109195
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.856288366356667
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9835351176683068
Sequence571.csv_1: True Class: A, Predicted: B, Probability: 0.995561297203825
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.9915947908340648
Sequence573.csv_1: True Class: A, Predicted: B, Probability: 0.7981347829742723
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.9930102685843322
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 0.9999990301210004
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9997101767174879
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.9999996472134901
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 0.9998125585700488
Sequence579.csv_1: True Class: A, Predicted: B, Probability: 0.9938998853339261
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999526439373483
Sequence580.csv_1: True Class: B, Predicted: A, Probability: 0.9998901359235575
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9998981685986521
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.7139560967586986
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9782751023982503
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.9890814172808804
Sequence585.csv_1: True Class: B, Predicted: A, Probability: 0.6408680443322933
Sequence586.csv_1: True Class: B, Predicted: A, Probability: 0.9013050914010724
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.9883579068761108
Sequence588.csv_1: True Class: B, Predicted: A, Probability: 0.9999945857583876
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.9998043625191866
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.9840841842538247
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.9950607436456752
Sequence591.csv_1: True Class: A, Predicted: B, Probability: 0.9912810880916306
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.8209596335501764
Sequence593.csv_1: True Class: A, Predicted: B, Probability: 0.9713356134682172
Sequence594.csv_1: True Class: B, Predicted: A, Probability: 0.9997828056807814
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.9479132536514324
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9999204544006313
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9997302675249153
Sequence598.csv_1: True Class: B, Predicted: A, Probability: 0.9570255930970725
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.9999101545605876
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.893293745911153
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.7243653470670799
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.5843996571699334
Sequence601.csv_1: True Class: A, Predicted: B, Probability: 0.9912826713655022
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 0.9977809864413137
Sequence603.csv_1: True Class: A, Predicted: B, Probability: 0.9911046970552774
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.998914507065506
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 0.9996250797883676
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.6644651997030211
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.6757191518318365
Sequence608.csv_1: True Class: B, Predicted: A, Probability: 0.9713059581517174
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.9998807785315994
