Sequence549.csv_1: True Class: A, Predicted: B, Probability: 0.9999988788753139
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.8665230613484434
Sequence550.csv_1: True Class: A, Predicted: B, Probability: 0.8675044599329171
Sequence551.csv_1: True Class: B, Predicted: A, Probability: 0.9999632489074864
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.9274148204915988
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999699241779961
Sequence554.csv_1: True Class: A, Predicted: B, Probability: 0.9999999997952749
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9995729842586867
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9183611977132882
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.9991285995548926
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.9840938704442536
Sequence559.csv_1: True Class: A, Predicted: B, Probability: 0.9999516021897593
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.7338724169281786
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.9999999972200211
Sequence561.csv_1: True Class: A, Predicted: B, Probability: 0.99072472787131
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.6778131740275187
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9999970704036565
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9709853785095739
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9713626480136778
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9994660517111315
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.9999996163933844
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9985031048746765
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9999176829625149
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.7233679609021221
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.9999523170594756
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999906784338055
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.999400427949758
Sequence573.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999946332
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.9889236905524148
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999557663504756
Sequence576.csv_1: True Class: A, Predicted: B, Probability: 0.9600811074234953
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.6742427559810023
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9837479435225094
Sequence579.csv_1: True Class: A, Predicted: B, Probability: 0.9981903097027292
Sequence58.csv_1: True Class: A, Predicted: B, Probability: 0.8327112130479467
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.9999978456177374
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999999997819934
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.9999977800750286
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9983813740376124
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.967860303644796
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.9985366922859135
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9999975706185552
Sequence587.csv_1: True Class: A, Predicted: B, Probability: 0.9987462676495835
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.9728440937240069
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.7770765284039889
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.7465566872604754
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.9314914275395809
Sequence591.csv_1: True Class: A, Predicted: A, Probability: 0.9934404836009558
Sequence592.csv_1: True Class: B, Predicted: A, Probability: 0.9999994440965795
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9999999985894658
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.9999188948290623
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.9837836629164459
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9979604397476178
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9999999931237836
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.9999701956798317
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.9603465609459579
Sequence6.csv_1: True Class: A, Predicted: B, Probability: 0.9999999625123116
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.99269565041422
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.9649085294305882
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.5907426988985444
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 0.9905426547944747
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.9999989423892207
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.9999968794097405
Sequence605.csv_1: True Class: B, Predicted: A, Probability: 0.9999979090876276
Sequence606.csv_1: True Class: A, Predicted: B, Probability: 0.782112043269972
Sequence607.csv_1: True Class: A, Predicted: B, Probability: 0.9999999927002248
Sequence608.csv_1: True Class: B, Predicted: A, Probability: 0.9999999807005913
Sequence609.csv_1: True Class: A, Predicted: B, Probability: 0.9967654244384951
Sequence61.csv_1: True Class: A, Predicted: B, Probability: 0.6630013638063134
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 0.9975673344924975
Sequence611.csv_1: True Class: A, Predicted: B, Probability: 0.9999999994861009
Sequence612.csv_1: True Class: A, Predicted: B, Probability: 0.9971009995694733
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.999985269560766
Sequence614.csv_1: True Class: A, Predicted: B, Probability: 0.9999999062222747
Sequence615.csv_1: True Class: A, Predicted: A, Probability: 0.9998751373953437
Sequence616.csv_1: True Class: A, Predicted: A, Probability: 0.5063016249186916
Sequence617.csv_1: True Class: B, Predicted: A, Probability: 0.9999998699945619
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.9996690652543736
Sequence619.csv_1: True Class: A, Predicted: B, Probability: 0.9993066764057765
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 0.9205873424753392
Sequence620.csv_1: True Class: A, Predicted: A, Probability: 0.9971716581930611
Sequence621.csv_1: True Class: B, Predicted: A, Probability: 0.9999922910318997
Sequence622.csv_1: True Class: B, Predicted: A, Probability: 0.9999999703778504
Sequence623.csv_1: True Class: A, Predicted: B, Probability: 0.9997874245674789
Sequence624.csv_1: True Class: A, Predicted: A, Probability: 0.9629823640416391
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 0.996164841133096
Sequence626.csv_1: True Class: A, Predicted: A, Probability: 0.9487402053863028
Sequence627.csv_1: True Class: B, Predicted: A, Probability: 0.8212188663867732
