Sequence549.csv_1: True Class: C, Predicted: B, Probability: 0.8317791592016264
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.37817696275807045
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.5770249117520625
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.7416459467162646
Sequence552.csv_1: True Class: B, Predicted: C, Probability: 0.8755295827974447
Sequence553.csv_1: True Class: A, Predicted: C, Probability: 0.9690775659371471
Sequence554.csv_1: True Class: C, Predicted: C, Probability: 0.8415673234901065
Sequence555.csv_1: True Class: B, Predicted: C, Probability: 0.6125839055323198
Sequence556.csv_1: True Class: C, Predicted: C, Probability: 0.9970653444535764
Sequence557.csv_1: True Class: C, Predicted: B, Probability: 0.9874548617515
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.7951132908352365
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.9998247319670317
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.9999993696630793
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.5944844142574106
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9988598224044312
Sequence562.csv_1: True Class: C, Predicted: C, Probability: 0.9999149422982755
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9979253011823251
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9981692283314839
Sequence565.csv_1: True Class: C, Predicted: B, Probability: 0.9976977205211269
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.9236461480844789
Sequence567.csv_1: True Class: A, Predicted: C, Probability: 0.9962210619406598
Sequence568.csv_1: True Class: A, Predicted: C, Probability: 0.9453630361010456
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9679833550475867
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.999999622002939
Sequence570.csv_1: True Class: A, Predicted: B, Probability: 0.9570965901514301
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9995669011985278
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.7251946784672235
Sequence573.csv_1: True Class: C, Predicted: A, Probability: 0.9952016752511561
Sequence574.csv_1: True Class: C, Predicted: C, Probability: 0.9999992250853226
Sequence575.csv_1: True Class: C, Predicted: B, Probability: 0.8290780734659825
Sequence576.csv_1: True Class: C, Predicted: A, Probability: 0.999977954242877
Sequence577.csv_1: True Class: B, Predicted: C, Probability: 0.9998208260098449
Sequence578.csv_1: True Class: B, Predicted: C, Probability: 0.7000170644231072
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.7184211463465033
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9967325011268173
Sequence580.csv_1: True Class: C, Predicted: A, Probability: 0.9998780861261449
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9202847965933173
Sequence582.csv_1: True Class: A, Predicted: C, Probability: 0.784412167142866
Sequence583.csv_1: True Class: C, Predicted: C, Probability: 0.8118956917481991
Sequence584.csv_1: True Class: C, Predicted: C, Probability: 0.999331972151926
Sequence585.csv_1: True Class: C, Predicted: B, Probability: 0.9999956664687539
Sequence586.csv_1: True Class: B, Predicted: C, Probability: 0.9562339955163234
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9634823997025195
Sequence588.csv_1: True Class: C, Predicted: B, Probability: 0.7088273778419759
Sequence589.csv_1: True Class: B, Predicted: C, Probability: 0.9419119808559469
