Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9999918129589446
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9999999994941509
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999998177
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.8559559373573798
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.9999980239160967
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.9999999991046584
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.9999994136526992
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998972378
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9996722424517257
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9991749484728852
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9999856404872668
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999991135
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.9831743233346438
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9999999955073324
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999252857
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.9999999987592678
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 0.9999997611540004
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999920905
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9194297460710837
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 1.0
Sequence569.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999997156
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.9870939914256507
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999953055
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.9998160430221276
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 0.9999999887406366
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9999999981470679
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.5003055115535997
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 0.9998952078708945
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9999999903207174
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9996220753696012
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 0.7771652609531852
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.9999999392595207
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999999665476366
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999728
Sequence581.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999990243
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999927
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 0.9999999018132557
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.9064177942524067
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9999584208810273
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.9999999683018951
Sequence587.csv_1: True Class: B, Predicted: A, Probability: 0.5355412468327739
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.9996556138572277
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9999822922208065
Sequence59.csv_1: True Class: B, Predicted: B, Probability: 0.9986341811710778
Sequence590.csv_1: True Class: B, Predicted: B, Probability: 0.9999865151567011
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999998221
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9999986243480306
Sequence593.csv_1: True Class: B, Predicted: B, Probability: 0.9915393285823577
Sequence594.csv_1: True Class: B, Predicted: B, Probability: 0.9998954989714399
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.9999990466722741
Sequence596.csv_1: True Class: B, Predicted: A, Probability: 0.7045660199133804
Sequence597.csv_1: True Class: B, Predicted: B, Probability: 0.9999999866100451
Sequence598.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence599.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998364676
Sequence6.csv_1: True Class: B, Predicted: A, Probability: 0.7849537934998404
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 0.9932975204088635
Sequence600.csv_1: True Class: B, Predicted: A, Probability: 0.9999993576887187
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.9996866758532008
Sequence602.csv_1: True Class: B, Predicted: B, Probability: 0.9994206995436019
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999077
Sequence604.csv_1: True Class: B, Predicted: B, Probability: 0.999989079315265
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.9999999977442638
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 0.9999786205686043
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.999998913491471
Sequence608.csv_1: True Class: B, Predicted: B, Probability: 0.999999999999687
Sequence609.csv_1: True Class: B, Predicted: B, Probability: 0.9999696271298819
Sequence61.csv_1: True Class: B, Predicted: B, Probability: 0.999999646017667
Sequence610.csv_1: True Class: B, Predicted: B, Probability: 0.9999999624118956
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 0.9999994829750837
Sequence612.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999994
Sequence613.csv_1: True Class: A, Predicted: B, Probability: 0.7038772013398532
Sequence614.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999993
Sequence615.csv_1: True Class: B, Predicted: B, Probability: 0.9994371235703924
Sequence616.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999765747
