Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.9997619356934649
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.996400318217901
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.9880463395368206
Sequence551.csv_1: True Class: B, Predicted: A, Probability: 0.9999999972945361
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999999946712536
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.9999999994447966
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.9999931187825317
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999963005
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.999999999893799
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.9998954779417164
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999842422
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 0.9999999975045147
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.8170343342612382
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.999999563344631
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.5512179501183064
Sequence562.csv_1: True Class: B, Predicted: A, Probability: 0.9810311998379192
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9995394862823962
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999921592682148
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999978284
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.9998630914389203
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.8484950445477543
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.8532231569851865
Sequence569.csv_1: True Class: B, Predicted: B, Probability: 0.9897147223823651
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.9999589383553361
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999910888
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999735072
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9999992754469575
Sequence573.csv_1: True Class: B, Predicted: A, Probability: 0.9999993719003678
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.9999999997755145
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.9999999172591368
Sequence576.csv_1: True Class: B, Predicted: A, Probability: 0.9999559655038279
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.9522450292411107
Sequence578.csv_1: True Class: B, Predicted: B, Probability: 0.9822107136919042
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9984301000414725
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9999999997820248
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999996696
Sequence581.csv_1: True Class: A, Predicted: B, Probability: 0.9984539773930906
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9999999997551284
Sequence583.csv_1: True Class: B, Predicted: A, Probability: 0.9999999928306794
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999048769
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9997878354208758
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.9938447862449356
Sequence587.csv_1: True Class: A, Predicted: B, Probability: 0.9281058034150725
Sequence588.csv_1: True Class: B, Predicted: A, Probability: 0.9091334081024842
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.9999999818523332
Sequence59.csv_1: True Class: B, Predicted: B, Probability: 0.9999763310356126
Sequence590.csv_1: True Class: B, Predicted: A, Probability: 0.9987461598680134
Sequence591.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999980231
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.6552350343028188
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9797683331877955
Sequence594.csv_1: True Class: B, Predicted: B, Probability: 0.9999999080826348
Sequence595.csv_1: True Class: A, Predicted: B, Probability: 0.9999668389762421
Sequence596.csv_1: True Class: B, Predicted: A, Probability: 0.9171942273525603
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9793657741110731
Sequence598.csv_1: True Class: B, Predicted: B, Probability: 0.999999812171809
Sequence599.csv_1: True Class: A, Predicted: B, Probability: 0.9999902649249073
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.999999999512707
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999548
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.9263194163707824
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999996548
Sequence602.csv_1: True Class: B, Predicted: B, Probability: 0.9191813035390352
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 0.9999997970432222
Sequence604.csv_1: True Class: B, Predicted: A, Probability: 0.9999993874290818
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999982
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999992875
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.9999104033787284
Sequence608.csv_1: True Class: B, Predicted: B, Probability: 0.9999999976865546
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.99999999787143
Sequence61.csv_1: True Class: B, Predicted: B, Probability: 0.9999999997774527
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 0.9997860034454833
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 0.9845193098565287
Sequence612.csv_1: True Class: A, Predicted: A, Probability: 0.9979900664200888
Sequence613.csv_1: True Class: B, Predicted: B, Probability: 0.9999997991480476
Sequence614.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999837
Sequence615.csv_1: True Class: B, Predicted: B, Probability: 0.9999999995227142
Sequence616.csv_1: True Class: B, Predicted: B, Probability: 0.9990834579273435
Sequence617.csv_1: True Class: B, Predicted: B, Probability: 0.999999999987154
Sequence618.csv_1: True Class: B, Predicted: B, Probability: 0.922007389990764
Sequence619.csv_1: True Class: B, Predicted: A, Probability: 0.9999980938693542
Sequence62.csv_1: True Class: B, Predicted: B, Probability: 0.9999999912222267
Sequence620.csv_1: True Class: B, Predicted: A, Probability: 0.9999902867818897
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 0.9887599783748268
Sequence622.csv_1: True Class: B, Predicted: B, Probability: 0.9999989067380747
Sequence623.csv_1: True Class: B, Predicted: B, Probability: 0.999355225597666
Sequence624.csv_1: True Class: B, Predicted: B, Probability: 0.9999941017122521
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 0.994794476434533
Sequence626.csv_1: True Class: A, Predicted: B, Probability: 0.999999999968012
Sequence627.csv_1: True Class: A, Predicted: B, Probability: 0.999983546973795
Sequence628.csv_1: True Class: A, Predicted: B, Probability: 0.9996613703180561
Sequence629.csv_1: True Class: A, Predicted: B, Probability: 0.9818270634617542
Sequence63.csv_1: True Class: B, Predicted: A, Probability: 0.9997992058947142
Sequence630.csv_1: True Class: B, Predicted: B, Probability: 0.9999999646253127
Sequence631.csv_1: True Class: B, Predicted: B, Probability: 0.9999999989231317
