748459585-2710.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
748759548-2711.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729452
74890897-2712.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
749059512-2713.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
749359476-2714.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
749659440-2715.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729453
7499088-2716.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
749959404-2717.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
750259367-2718.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729452
750559331-2719.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
750859295-2720.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
751159259-2721.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112592696095493
751459107-2722.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112863137061973
751758771-2723.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.71122369845225
75190861-2724.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112426602608655
752058865-2725.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112007669050366
752359113-2726.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
752659077-2727.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729453
752959041-2728.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
753259004-2729.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729452
753558968-2730.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
753858932-2731.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
754158896-2732.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112426602608654
754458859-2733.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
754758823-2734.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112503035714578
75490824-2735.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.711242513272945
755058733-2736.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112530962895803
755358625-2737.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
755658589-2738.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112383975931409
755958582-2739.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112316360435323
756258620-2740.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112394265163591
756558605-2741.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
756858569-2742.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
757158533-2743.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
757458497-2744.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
757758460-2745.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
75790788-2746.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
758058424-2747.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
758358381-2748.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
758658194-2749.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
758958008-2750.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
759257822-2751.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
759557958-2752.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
759858206-2753.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
760158170-2754.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
760458134-2755.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
760758097-2756.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
76090751-2757.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
761058061-2758.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
761358010-2759.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
761657674-2760.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
761957567-2761.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
762257831-2762.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
762557880-2763.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
762857828-2764.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
763157492-2765.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
763457386-2766.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
763757650-2767.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
76390714-2768.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
764057699-2769.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
764357662-2770.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
764657626-2771.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
764957504-2772.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
765257242-2773.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
765557303-2774.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
765857466-2775.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
766157130-2776.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
766457023-2777.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
766757287-2778.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
76690678-2779.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
767057228-2780.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
767357057-2781.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
767657171-2782.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
767957227-2783.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
768257191-2784.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
768557155-2785.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
768857118-2786.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
769157082-2787.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
769457046-2788.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
769757009-2789.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
76990642-2790.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.711242513272945
770056973-2791.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
770356926-2792.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
770656664-2793.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
770956575-2794.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
771256764-2795.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
771556684-2796.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
771856513-2797.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
772156627-2798.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
772456683-2799.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
772756646-2800.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
77290606-2801.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112426602608655
773056556-2802.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
773356453-2803.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
773656492-2804.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
773956502-2805.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
774256465-2806.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
774556214-2807.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
774855908-2808.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
775156172-2809.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
775456320-2810.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
775756284-2811.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
77590569-2812.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
776056140-2813.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
777351376-2814.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
777651340-2815.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
777951218-2816.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
778250956-2817.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
778550910-2818.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
778850949-2819.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
77890532-2820.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729453
779150987-2821.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
779450997-2822.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
779750961-2823.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
7799052-2824.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
780050979-2825.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
780351014-2826.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
780650978-2827.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
780950941-2828.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
781250905-2829.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
781550869-2830.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
781850821-2831.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
78190496-2832.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112426602608655
782150560-2833.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
782450356-2834.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
782750245-2835.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
783050348-2836.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
783350530-2837.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
783650569-2838.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
783950550-2839.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
784250439-2840.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
784550435-2841.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
784850470-2842.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
78490459-2843.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
785150434-2844.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
785450397-2845.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
785750361-2846.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
786050325-2847.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
786350288-2848.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
786650252-2849.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
786950101-2850.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
787249765-2851.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
787549805-2852.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
787849975-2853.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
78790423-2854.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112466289179044
788149789-2855.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
788449746-2856.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
788749935-2857.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
789049962-2858.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
789349926-2859.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
789649890-2860.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
789949853-2861.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
790249817-2862.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
790249817-2862.csv_2: True Class: high, Predicted: high, Probability: 0.6691490278985675
790549674-2863.csv_1: True Class: high, Predicted: high, Probability: 0.6018472784929492
790549674-2863.csv_2: True Class: low, Predicted: inactive, Probability: 0.7339065216494235
790849503-2864.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112207585707443
79090358-2865.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112535372436066
791149616-2866.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112289901941719
791449672-2867.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112425132729451
791749636-2868.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112738206963937
