74890897-2712.csv_1: True Class: high, Predicted: high, Probability: 0.6847255055753056
74890897-2712.csv_2: True Class: low, Predicted: low, Probability: 0.944112964100643
749059512-2713.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
749359476-2714.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
749659440-2715.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
7499088-2716.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641064
749959404-2717.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
750259367-2718.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
750559331-2719.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
750859295-2720.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
751159259-2721.csv_1: True Class: low, Predicted: low, Probability: 0.9963833672922063
751459107-2722.csv_1: True Class: low, Predicted: low, Probability: 0.9963731749055764
751758771-2723.csv_1: True Class: low, Predicted: low, Probability: 0.9963967290570686
75190861-2724.csv_1: True Class: low, Predicted: low, Probability: 0.9963896125964344
752058865-2725.csv_1: True Class: low, Predicted: low, Probability: 0.9964053163411555
752359113-2726.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
752659077-2727.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
752959041-2728.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
753259004-2729.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
753558968-2730.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
753858932-2731.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
754158896-2732.csv_1: True Class: low, Predicted: low, Probability: 0.9963896125964344
754458859-2733.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
754758823-2734.csv_1: True Class: low, Predicted: low, Probability: 0.9963867399869111
75490824-2735.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
755058733-2736.csv_1: True Class: low, Predicted: low, Probability: 0.9963856898116179
755358625-2737.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
755658589-2738.csv_1: True Class: low, Predicted: low, Probability: 0.9963912136401717
755958582-2739.csv_1: True Class: low, Predicted: low, Probability: 0.996393751775903
756258620-2740.csv_1: True Class: low, Predicted: low, Probability: 0.9963908272461202
756558605-2741.csv_1: True Class: low, Predicted: inactive, Probability: 0.949404696160533
756858569-2742.csv_1: True Class: low, Predicted: low, Probability: 0.6216499535641069
757158533-2743.csv_1: True Class: low, Predicted: low, Probability: 0.6112656928652789
757158533-2743.csv_2: True Class: high, Predicted: low, Probability: 0.612097382635214
757458497-2744.csv_1: True Class: high, Predicted: low, Probability: 0.6055783942447741
757458497-2744.csv_2: True Class: low, Predicted: low, Probability: 0.6175013742483255
757758460-2745.csv_1: True Class: low, Predicted: low, Probability: 0.6216499535641069
75790788-2746.csv_1: True Class: low, Predicted: low, Probability: 0.9941134053137838
75790788-2746.csv_2: True Class: high, Predicted: high, Probability: 0.5081612045026057
758058424-2747.csv_1: True Class: low, Predicted: low, Probability: 0.6142883425729362
758058424-2747.csv_2: True Class: high, Predicted: low, Probability: 0.6090200995492852
758358381-2748.csv_1: True Class: high, Predicted: low, Probability: 0.6109823741131277
758358381-2748.csv_2: True Class: low, Predicted: low, Probability: 0.612367912495889
758658194-2749.csv_1: True Class: low, Predicted: low, Probability: 0.6216404722712289
758958008-2750.csv_1: True Class: low, Predicted: low, Probability: 0.6216404722712289
759257822-2751.csv_1: True Class: low, Predicted: low, Probability: 0.6216607701350444
759557958-2752.csv_1: True Class: low, Predicted: low, Probability: 0.6216680229963738
759858206-2753.csv_1: True Class: low, Predicted: low, Probability: 0.6216499535641069
760158170-2754.csv_1: True Class: low, Predicted: low, Probability: 0.6216499535641069
760458134-2755.csv_1: True Class: low, Predicted: low, Probability: 0.6216499535641069
760758097-2756.csv_1: True Class: low, Predicted: low, Probability: 0.6216499535641069
76090751-2757.csv_1: True Class: high, Predicted: high, Probability: 0.7098060014063382
76090751-2757.csv_2: True Class: low, Predicted: low, Probability: 0.9211845343576411
761058061-2758.csv_1: True Class: low, Predicted: low, Probability: 0.6216491263701902
761358010-2759.csv_1: True Class: low, Predicted: low, Probability: 0.6216309901500904
761657674-2760.csv_1: True Class: low, Predicted: low, Probability: 0.6216453084704144
761957567-2761.csv_1: True Class: low, Predicted: low, Probability: 0.6023454534309909
761957567-2761.csv_2: True Class: high, Predicted: low, Probability: 0.6197418359276734
761957567-2761.csv_3: True Class: low, Predicted: low, Probability: 0.6015990277243872
762257831-2762.csv_1: True Class: low, Predicted: low, Probability: 0.6216553619843396
762557880-2763.csv_1: True Class: low, Predicted: low, Probability: 0.6119591294964066
762557880-2763.csv_2: True Class: high, Predicted: low, Probability: 0.6042644864487919
762557880-2763.csv_3: True Class: low, Predicted: low, Probability: 0.6081675007045161
762857828-2764.csv_1: True Class: low, Predicted: low, Probability: 0.6216309901500903
763157492-2765.csv_1: True Class: low, Predicted: low, Probability: 0.6133229104617453
763157492-2765.csv_2: True Class: inactive, Predicted: low, Probability: 0.6100148433949983
763457386-2766.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216689136652184
763757650-2767.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216553619843396
76390714-2768.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
764057699-2769.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216498899340294
764357662-2770.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641069
764657626-2771.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216445448743413
764957504-2772.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216356994949905
765257242-2773.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216560618778499
765557303-2774.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216627424523438
765857466-2775.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216309901500904
766157130-2776.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216453084704144
766457023-2777.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216689136652184
766757287-2778.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216486173246495
76690678-2779.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
767057228-2780.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216412995311037
767357057-2781.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216594340287611
767657171-2782.csv_1: True Class: inactive, Predicted: low, Probability: 0.62165580737164
767957227-2783.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641069
768257191-2784.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641066
768557155-2785.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216498899340294
768857118-2786.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641069
769157082-2787.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641069
769457046-2788.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641069
769757009-2789.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641069
76990642-2790.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
770056973-2791.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216493808920669
770356926-2792.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216356994949904
770656664-2793.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216465174865421
770956575-2794.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216642057613685
771256764-2795.csv_1: True Class: inactive, Predicted: low, Probability: 0.621647281068736
771556684-2796.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216412995311037
771856513-2797.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216594340287611
772156627-2798.csv_1: True Class: inactive, Predicted: low, Probability: 0.62165580737164
772456683-2799.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641069
772756646-2800.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216465811185956
77290606-2801.csv_1: True Class: low, Predicted: low, Probability: 0.9963896125964345
773056556-2802.csv_1: True Class: inactive, Predicted: low, Probability: 0.621645690266435
773356453-2803.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216547257135948
773656492-2804.csv_1: True Class: inactive, Predicted: low, Probability: 0.621652880507342
773956502-2805.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641069
774256465-2806.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216363995153036
774556214-2807.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216326448080651
774855908-2808.csv_1: True Class: inactive, Predicted: low, Probability: 0.621668913665218
775156172-2809.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216616608634241
775456320-2810.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641069
775756284-2811.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216432085682896
77590569-2812.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
776056140-2813.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216412995311037
777351376-2814.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641069
777651340-2815.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216445448743413
777951218-2816.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216356994949905
778250956-2817.csv_1: True Class: inactive, Predicted: low, Probability: 0.621649317261654
778550910-2818.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216547257135948
778850949-2819.csv_1: True Class: inactive, Predicted: low, Probability: 0.621654662086315
77890532-2820.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
779150987-2821.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216528805073424
779450997-2822.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641069
779750961-2823.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216533895328905
7799052-2824.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216498899340294
780050979-2825.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216544712042529
780351014-2826.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641064
780650978-2827.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216498899340294
780950941-2828.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641069
781250905-2829.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641066
781550869-2830.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216493172616536
781850821-2831.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216357631333879
78190496-2832.csv_1: True Class: low, Predicted: low, Probability: 0.9963896125964344
782150560-2833.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216393268240703
782450356-2834.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216451812047744
782750245-2835.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216587341570015
783050348-2836.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216638240304818
783350530-2837.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216547257135948
783650569-2838.csv_1: True Class: inactive, Predicted: low, Probability: 0.621651098899122
783950550-2839.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216451812047744
784250439-2840.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216519897068883
784550435-2841.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216544712042529
784850470-2842.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641064
78490459-2843.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
785150434-2844.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216498899340294
