749659440-2715.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806466283832378
7499088-2716.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9999675403926774
749959404-2717.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806466283832379
750259367-2718.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806466283832378
750559331-2719.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806466283832378
750859295-2720.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806466283832379
751159259-2721.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806285119296024
751459107-2722.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9805992362634467
751758771-2723.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806669498718251
75190861-2724.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806464695392053
752058865-2725.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806916884061426
752359113-2726.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806466283832378
752659077-2727.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806466283832378
752959041-2728.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806466283832379
753259004-2729.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806466283832378
753558968-2730.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806466283832378
753858932-2731.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806466283832379
754158896-2732.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806464695392053
754458859-2733.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806466283832378
754758823-2734.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806382078882068
75490824-2735.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806466283832379
755058733-2736.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806351883457555
755358625-2737.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806466283832378
755658589-2738.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.9806510754973247
755958582-2739.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.980658379295911
756258620-2740.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.980649963812723
