Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9860029391937297
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9999999880455843
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.8306985876215108
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.997560182055641
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999775667756254
Sequence553.csv_1: True Class: A, Predicted: B, Probability: 0.7742510298024231
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.9871686595164016
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9999999977027125
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.999780331347178
Sequence557.csv_1: True Class: B, Predicted: A, Probability: 0.999693970824235
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.7438126931668455
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.9999999297770126
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.5441828580538366
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.9999999990239982
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9997923562524998
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.9998385879473128
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.9999870845876819
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 0.962285235458268
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.9997090158864562
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.9988451763215139
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.9999957399270692
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9998231716342136
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9999999061644133
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.9999999987442311
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9449368398323849
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.9999366454218167
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999877
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9269199465866691
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9999999820796643
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.983898263091673
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998804829
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9993485622245087
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9551251994081311
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.8045610228808576
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9992607027423739
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9995421863881437
Sequence581.csv_1: True Class: A, Predicted: B, Probability: 0.9999992718285914
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9963470657713763
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9708321459836701
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.9999999994534232
Sequence585.csv_1: True Class: A, Predicted: B, Probability: 0.9997968754158352
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9999998298662715
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999129877
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.9505457348333348
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9962952837702728
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.999970224333093
Sequence590.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999966471
Sequence591.csv_1: True Class: B, Predicted: A, Probability: 0.9999984610753724
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9999999987331296
Sequence593.csv_1: True Class: B, Predicted: B, Probability: 0.9999955865886379
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.9417021442790832
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.999999974223292
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.8502955746460362
Sequence597.csv_1: True Class: B, Predicted: B, Probability: 0.998561456121521
Sequence598.csv_1: True Class: B, Predicted: A, Probability: 0.9999995677261622
Sequence599.csv_1: True Class: A, Predicted: B, Probability: 0.9999999930607658
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.8790193168938688
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 0.9999999206923079
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.9754570243139631
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.8122928982759189
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.999999725485385
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.9999999995799216
Sequence604.csv_1: True Class: B, Predicted: B, Probability: 0.9977707632450845
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.9999999990564704
Sequence606.csv_1: True Class: B, Predicted: A, Probability: 0.9999119010814922
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.9999961349163948
Sequence608.csv_1: True Class: B, Predicted: A, Probability: 0.8779467495106386
Sequence609.csv_1: True Class: A, Predicted: B, Probability: 0.9345601874828768
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 0.9769859469033929
Sequence610.csv_1: True Class: B, Predicted: B, Probability: 0.9281081663408023
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 0.8185007504257225
Sequence612.csv_1: True Class: B, Predicted: B, Probability: 0.9420654327874953
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.9886546336042317
