Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.9999638294376538
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9135157312862189
Sequence550.csv_1: True Class: A, Predicted: B, Probability: 0.8300124115624631
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.9999918672624664
Sequence552.csv_1: True Class: A, Predicted: B, Probability: 0.9995818636547485
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.9886822531604526
Sequence554.csv_1: True Class: A, Predicted: B, Probability: 0.9990910488973126
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.9999961269914016
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.7626547785084096
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.9999491444378281
Sequence558.csv_1: True Class: A, Predicted: B, Probability: 0.997351622865818
Sequence559.csv_1: True Class: A, Predicted: B, Probability: 0.9856146715565965
Sequence56.csv_1: True Class: A, Predicted: B, Probability: 0.6137089299964696
Sequence560.csv_1: True Class: A, Predicted: B, Probability: 0.996980666849091
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.9720705047864466
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.99999993284935
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.8749971674091127
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9999960735279654
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.978592336261652
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.9998095125519167
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.9999326864763488
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9610647354724101
Sequence569.csv_1: True Class: B, Predicted: A, Probability: 0.9999976979817402
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.8581654441236277
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9837753903483692
Sequence571.csv_1: True Class: A, Predicted: B, Probability: 0.9956323858950076
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.991459256107217
Sequence573.csv_1: True Class: A, Predicted: B, Probability: 0.8008831268603427
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.993062865831681
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 0.9999990423113233
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9997057952932946
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.9999996421464474
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 0.9998099109232378
Sequence579.csv_1: True Class: A, Predicted: B, Probability: 0.9939803195667838
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999519305203286
Sequence580.csv_1: True Class: B, Predicted: A, Probability: 0.9998883422881155
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9998966856076753
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.7174431542167442
