Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.996894543621376
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.9948512951905972
Sequence550.csv_1: True Class: A, Predicted: B, Probability: 0.6684688828274659
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9195600292816988
Sequence552.csv_1: True Class: A, Predicted: B, Probability: 0.9999974019131713
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9989326487059362
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.9427677614066894
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9999782361165714
Sequence556.csv_1: True Class: A, Predicted: B, Probability: 0.9947961790681921
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.989934690808046
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.9999535419630515
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9030587786708643
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.893480087355943
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.9988252524438909
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.9999940482097476
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9355034933247018
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.915545823099571
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999876814107261
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.9993194672916075
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9294392059750644
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.9573156857675981
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.9655262196185252
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.8556290815236365
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.7240467976074674
Sequence570.csv_1: True Class: A, Predicted: B, Probability: 0.946496837048221
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.5881575810261841
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.989973600571224
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.9998137984569161
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.9998835902494788
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999999457482721
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9999435483688831
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.9671687795056308
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.968966970734559
Sequence579.csv_1: True Class: A, Predicted: B, Probability: 0.6558407369040362
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.8958010871888261
Sequence580.csv_1: True Class: A, Predicted: B, Probability: 0.9917893284292579
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9997171118805942
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.8819700145846764
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.6519013582766606
Sequence584.csv_1: True Class: A, Predicted: B, Probability: 0.6922587767747257
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.5811515024717249
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.9833453235614658
Sequence587.csv_1: True Class: A, Predicted: B, Probability: 0.9243733194825013
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.5077966630632499
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9854430820799028
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.9992855476944363
Sequence590.csv_1: True Class: A, Predicted: B, Probability: 0.9162050078014389
Sequence591.csv_1: True Class: A, Predicted: B, Probability: 0.9980947391355252
Sequence592.csv_1: True Class: A, Predicted: B, Probability: 0.7478504942691682
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9860926950301042
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.9978997545944578
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.9996965722398649
Sequence596.csv_1: True Class: A, Predicted: B, Probability: 0.8490571232556006
Sequence597.csv_1: True Class: A, Predicted: B, Probability: 0.9481769371837095
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.9989781798298547
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.9450919552033872
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.9999898525541469
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.7080533847438254
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.8836543375318692
Sequence601.csv_1: True Class: A, Predicted: B, Probability: 0.9604222483402765
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.6747410218008733
Sequence603.csv_1: True Class: A, Predicted: B, Probability: 0.9999999968946177
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.9946067267681625
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 0.9942849343659879
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.9498068309739064
Sequence607.csv_1: True Class: A, Predicted: B, Probability: 0.9999225094548777
Sequence608.csv_1: True Class: B, Predicted: A, Probability: 0.9798923864339004
Sequence609.csv_1: True Class: A, Predicted: B, Probability: 0.8382071154871672
Sequence61.csv_1: True Class: A, Predicted: B, Probability: 0.9991113805159972
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 0.9997055484771358
