Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence551.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence555.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence566.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence57.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence570.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence573.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence581.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence583.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence585.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence59.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence590.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence591.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence592.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence596.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence603.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence606.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
Sequence61.csv_1: True Class: B, Predicted: A, Probability: 0.5146471371504661
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 0.5146471371504661
