Sequence549.csv_1: True Class: A, Predicted: B, Probability: 0.9916574125544899
Sequence55.csv_1: True Class: B, Predicted: A, Probability: 0.8553858863080614
Sequence550.csv_1: True Class: C, Predicted: B, Probability: 0.9745130885021634
Sequence551.csv_1: True Class: C, Predicted: B, Probability: 0.9975159823162285
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.7502145947470377
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.9432311689570865
Sequence554.csv_1: True Class: A, Predicted: B, Probability: 0.9084441801226995
Sequence555.csv_1: True Class: A, Predicted: C, Probability: 0.9995143844892214
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.9962667666295248
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.9512237598990865
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.6273272557583172
Sequence559.csv_1: True Class: C, Predicted: C, Probability: 0.9999999943672093
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9708227248361744
Sequence560.csv_1: True Class: A, Predicted: C, Probability: 0.9463046608532116
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9995456559785157
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9640759959213985
Sequence563.csv_1: True Class: A, Predicted: B, Probability: 0.9978289517425607
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9669846876793312
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.999834638177357
Sequence566.csv_1: True Class: C, Predicted: B, Probability: 0.9999994902078274
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.994125177456048
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.9999491744167119
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.8501169437944325
Sequence57.csv_1: True Class: C, Predicted: C, Probability: 0.9983184008793744
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9999201765046878
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999999907933353
Sequence572.csv_1: True Class: B, Predicted: C, Probability: 0.9733446999783971
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9984284675736882
Sequence574.csv_1: True Class: A, Predicted: C, Probability: 0.9888651131535827
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 0.9999897669779512
Sequence576.csv_1: True Class: C, Predicted: C, Probability: 0.9956485698487872
Sequence577.csv_1: True Class: A, Predicted: B, Probability: 0.9906080618066828
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.9999561470687653
Sequence579.csv_1: True Class: A, Predicted: C, Probability: 0.9999999606324502
Sequence58.csv_1: True Class: A, Predicted: B, Probability: 0.8310473685626357
Sequence580.csv_1: True Class: A, Predicted: B, Probability: 0.9986198279273947
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999439949619712
Sequence582.csv_1: True Class: C, Predicted: C, Probability: 0.9997064317767271
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 0.8700721023180635
Sequence584.csv_1: True Class: C, Predicted: B, Probability: 0.9993681778569682
Sequence585.csv_1: True Class: B, Predicted: C, Probability: 0.5300516351744912
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.6173329309183574
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9985075822111752
Sequence588.csv_1: True Class: B, Predicted: A, Probability: 0.9828669739784216
Sequence589.csv_1: True Class: A, Predicted: B, Probability: 0.9992539318142365
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.9951245519494426
Sequence590.csv_1: True Class: C, Predicted: C, Probability: 0.9999978290176316
Sequence591.csv_1: True Class: A, Predicted: A, Probability: 0.8811013903452856
Sequence592.csv_1: True Class: C, Predicted: C, Probability: 0.8119155983917692
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9999928886097104
Sequence594.csv_1: True Class: C, Predicted: C, Probability: 0.9999979295126766
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.991975171350904
Sequence596.csv_1: True Class: A, Predicted: C, Probability: 0.9998542133303101
Sequence597.csv_1: True Class: C, Predicted: A, Probability: 0.8773831251667011
Sequence598.csv_1: True Class: B, Predicted: C, Probability: 0.9999951602422672
Sequence599.csv_1: True Class: C, Predicted: B, Probability: 0.5535349509027496
Sequence6.csv_1: True Class: A, Predicted: C, Probability: 0.9999998806235246
Sequence60.csv_1: True Class: A, Predicted: B, Probability: 0.9996534913839806
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.9869008376346418
Sequence601.csv_1: True Class: C, Predicted: B, Probability: 0.74096956206387
Sequence602.csv_1: True Class: B, Predicted: C, Probability: 0.9997092266828496
Sequence603.csv_1: True Class: C, Predicted: C, Probability: 0.9109464138941346
Sequence604.csv_1: True Class: B, Predicted: A, Probability: 0.971054761913162
Sequence605.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999608823
Sequence606.csv_1: True Class: B, Predicted: C, Probability: 0.9999999999625663
Sequence607.csv_1: True Class: B, Predicted: A, Probability: 0.659615283922123
Sequence608.csv_1: True Class: B, Predicted: A, Probability: 0.9934012680723584
Sequence609.csv_1: True Class: A, Predicted: C, Probability: 0.9417804290024896
Sequence61.csv_1: True Class: C, Predicted: A, Probability: 0.7702694359884606
Sequence610.csv_1: True Class: C, Predicted: B, Probability: 0.9771645853193385
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 0.9451742951805254
