Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence550.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence552.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence558.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence559.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence564.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence569.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence575.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence576.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence578.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence579.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence58.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence581.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence585.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence587.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence59.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence590.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence591.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence593.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence596.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence597.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence598.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence599.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence60.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence600.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence604.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence605.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence607.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence608.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence609.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence61.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence610.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence611.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence612.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence613.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence614.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence615.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence616.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence617.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence618.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence619.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence62.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence620.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence621.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence622.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence623.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence624.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence625.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence626.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence627.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence628.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence629.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence63.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence630.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence631.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence632.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence633.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence634.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence635.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence636.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence637.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence638.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence639.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence64.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence640.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence641.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence642.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence643.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence644.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence645.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence646.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence647.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence648.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence649.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence65.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence650.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence651.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence652.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence653.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence654.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence655.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence656.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence657.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence658.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence659.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence66.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence660.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence661.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence662.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence663.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence664.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence665.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence666.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence667.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence668.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence669.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence67.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence670.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence671.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence672.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence673.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence674.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence675.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence676.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence677.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence678.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence679.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence68.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence680.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence681.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence682.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence683.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence684.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence685.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence686.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence687.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence688.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence689.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence69.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence690.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence691.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence692.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence693.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence694.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence695.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence696.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence697.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence698.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence699.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence7.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence70.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence700.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence701.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence702.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence703.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence704.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence705.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence706.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence707.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence708.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence709.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence71.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence710.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence711.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence712.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence713.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence714.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence715.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence716.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence717.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence718.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence719.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence72.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence720.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence721.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence722.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence723.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence724.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence725.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence726.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence727.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence728.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence729.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence73.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence730.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence731.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence732.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence733.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence734.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence735.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence736.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence737.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence738.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence739.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence74.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence740.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence741.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence742.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence743.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence744.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence745.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence746.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
