Sequence549.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.7772885802258516
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9999860162405889
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999998
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999735463942139
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999998057
Sequence556.csv_1: True Class: A, Predicted: B, Probability: 0.999973962799347
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.9999999952228961
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9999999994269894
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.8530273844887309
Sequence56.csv_1: True Class: A, Predicted: B, Probability: 0.9946751029508114
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.999999987116832
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999219832
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999999996830213
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9999902042305624
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 1.0
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999998980469551
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999436021
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9973196251601479
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999075
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.9999999993818518
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 0.999999999436915
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.9999841550560999
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9999998267198594
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999918568
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.999999999999801
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999629267
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999816
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999996
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999987564
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999177277
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence588.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999982423
Sequence589.csv_1: True Class: B, Predicted: A, Probability: 0.999988572990132
Sequence59.csv_1: True Class: B, Predicted: A, Probability: 0.7058320084276895
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence593.csv_1: True Class: B, Predicted: A, Probability: 0.7928986701556848
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999993883
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence596.csv_1: True Class: A, Predicted: B, Probability: 0.9986788138876918
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9999999997992836
Sequence598.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.9999958821577482
