Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.9847637960273337
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.6377859153982119
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9958508402545129
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9999634750144829
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9980219934495937
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.9999013099785472
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.6584933838264212
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.9779575831136991
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.6418189199916738
Sequence557.csv_1: True Class: B, Predicted: A, Probability: 0.9930297004751067
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.9874048629076283
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.5116915139704665
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9990060957195113
Sequence560.csv_1: True Class: A, Predicted: B, Probability: 0.6730860216821184
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.9866558014935786
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.5369544107240308
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9911000824872414
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9095350865757563
Sequence565.csv_1: True Class: A, Predicted: B, Probability: 0.9229262388114591
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.9656225053724147
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.7583463498478481
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.9998627562501433
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9303065944650808
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.9870379898847494
Sequence570.csv_1: True Class: A, Predicted: B, Probability: 0.6466089007073922
Sequence571.csv_1: True Class: A, Predicted: B, Probability: 0.9341192214211456
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9995204143720096
Sequence573.csv_1: True Class: A, Predicted: B, Probability: 0.9810879341435089
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.9159500315561827
Sequence575.csv_1: True Class: A, Predicted: B, Probability: 0.9028713288131536
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9999998268416874
Sequence577.csv_1: True Class: A, Predicted: B, Probability: 0.9999703815972685
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.9755447973897315
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.7614957746663749
Sequence58.csv_1: True Class: B, Predicted: A, Probability: 0.7691445355419195
Sequence580.csv_1: True Class: A, Predicted: B, Probability: 0.9990639853878279
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999740839051523
Sequence582.csv_1: True Class: A, Predicted: B, Probability: 0.9999450395822475
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9984212440735146
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.9653463704739603
Sequence585.csv_1: True Class: B, Predicted: A, Probability: 0.8104172643575578
