Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9863855101532208
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999789105
Sequence550.csv_1: True Class: A, Predicted: B, Probability: 0.9999997657976627
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999999
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.9999999987450192
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.9996084910692118
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999906
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9999998294116161
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.9863621035146156
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999980035
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999986654
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.999999999926085
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.7174906664338453
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9999993738135208
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999899
Sequence565.csv_1: True Class: B, Predicted: A, Probability: 0.984790802239102
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.9999522456545998
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.9999999026777197
Sequence568.csv_1: True Class: B, Predicted: A, Probability: 0.9999999287954306
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9722963205921963
Sequence57.csv_1: True Class: B, Predicted: A, Probability: 0.8583374888061525
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999991569
Sequence571.csv_1: True Class: A, Predicted: B, Probability: 0.9896094136612559
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9999696444010672
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.7413181069579337
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.9999999916097687
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.7861887895272788
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9999842942873343
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.9306268359131491
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.999597531886706
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9993263114010528
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999999995294897
Sequence582.csv_1: True Class: A, Predicted: B, Probability: 0.507547943727965
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 0.9987799648414176
Sequence584.csv_1: True Class: B, Predicted: A, Probability: 0.9999981931272099
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998616516
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.9997973245348795
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9999983766007681
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999998195
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999997218
Sequence59.csv_1: True Class: B, Predicted: B, Probability: 0.8070482090764771
Sequence590.csv_1: True Class: B, Predicted: B, Probability: 0.9988552820672262
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999998
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9999998683090197
Sequence593.csv_1: True Class: B, Predicted: B, Probability: 0.999254991880738
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.9999993864340218
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.9990963046952536
Sequence596.csv_1: True Class: B, Predicted: B, Probability: 0.9156244242459058
Sequence597.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999903519
Sequence598.csv_1: True Class: B, Predicted: B, Probability: 0.9999999658892392
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.6092611420804455
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 0.9999999996309961
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.8807996803831137
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999885
Sequence602.csv_1: True Class: B, Predicted: B, Probability: 0.9999998499914501
Sequence603.csv_1: True Class: B, Predicted: A, Probability: 0.9999955423853887
Sequence604.csv_1: True Class: A, Predicted: B, Probability: 0.9527573833475206
Sequence605.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999999833
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 0.9988171390827091
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.9981924210724314
Sequence608.csv_1: True Class: B, Predicted: A, Probability: 0.9999995272487548
Sequence609.csv_1: True Class: B, Predicted: B, Probability: 0.9972579693914878
Sequence61.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999998
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 0.9999999842487314
Sequence612.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999981606
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.9998028715854375
Sequence614.csv_1: True Class: A, Predicted: A, Probability: 0.8921988240313014
Sequence615.csv_1: True Class: B, Predicted: B, Probability: 0.999998426841571
Sequence616.csv_1: True Class: B, Predicted: B, Probability: 0.9999998825194035
Sequence617.csv_1: True Class: B, Predicted: A, Probability: 0.9991570805944099
Sequence618.csv_1: True Class: B, Predicted: B, Probability: 0.9999999965869284
Sequence619.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999283095
Sequence62.csv_1: True Class: B, Predicted: A, Probability: 0.9965138617767981
Sequence620.csv_1: True Class: B, Predicted: B, Probability: 0.9999999971156041
Sequence621.csv_1: True Class: B, Predicted: A, Probability: 0.9999996289615314
Sequence622.csv_1: True Class: A, Predicted: A, Probability: 0.9999999557437161
Sequence623.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999218461
Sequence624.csv_1: True Class: B, Predicted: B, Probability: 0.9661994849442814
Sequence625.csv_1: True Class: B, Predicted: B, Probability: 0.9999997907266247
Sequence626.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999997
Sequence627.csv_1: True Class: B, Predicted: B, Probability: 0.9999159308642763
Sequence628.csv_1: True Class: B, Predicted: B, Probability: 0.9961703493197415
Sequence629.csv_1: True Class: A, Predicted: B, Probability: 0.9999466545654695
Sequence63.csv_1: True Class: B, Predicted: B, Probability: 0.9996758275493742
Sequence630.csv_1: True Class: A, Predicted: B, Probability: 0.9998957312594504
Sequence631.csv_1: True Class: B, Predicted: B, Probability: 0.9569107538712085
Sequence632.csv_1: True Class: B, Predicted: A, Probability: 0.9999949735668993
Sequence633.csv_1: True Class: A, Predicted: B, Probability: 0.9997493611043271
Sequence634.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999956888
Sequence635.csv_1: True Class: B, Predicted: B, Probability: 0.9999999994368095
Sequence636.csv_1: True Class: B, Predicted: B, Probability: 0.9999999942467171
