Sequence549.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.5288228522767626
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9999989433814004
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9999983321498521
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.9999999992188904
Sequence553.csv_1: True Class: A, Predicted: B, Probability: 0.9999999570594396
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998299
Sequence556.csv_1: True Class: A, Predicted: B, Probability: 0.5874033646258388
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.99999973794219
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999993113
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.9981070077833355
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.9999999993931938
Sequence561.csv_1: True Class: A, Predicted: B, Probability: 0.9954358654012931
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.6273720627484844
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.6172118592933247
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999991406647867
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999291759
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9999998876358512
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.9997589530233648
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9999999934559601
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9934579379583329
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999999997750124
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.9999999996240658
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.9997760540030617
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence573.csv_1: True Class: A, Predicted: B, Probability: 0.9951375668387761
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.9999998227882158
Sequence575.csv_1: True Class: A, Predicted: B, Probability: 0.9999994195632671
Sequence576.csv_1: True Class: A, Predicted: B, Probability: 0.9999787033868923
Sequence577.csv_1: True Class: A, Predicted: B, Probability: 0.9999972676161485
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.9999744248125437
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9999999458921432
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999983011
Sequence580.csv_1: True Class: A, Predicted: B, Probability: 0.991359508735983
Sequence581.csv_1: True Class: B, Predicted: B, Probability: 0.999999999951041
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.9999959480865098
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9999865185387941
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.9866099623322057
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.9988182780556423
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999985678
Sequence588.csv_1: True Class: B, Predicted: B, Probability: 0.9999999838630632
Sequence589.csv_1: True Class: A, Predicted: B, Probability: 0.9926966389953508
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.9999956577791159
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.9941077243510831
Sequence591.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence592.csv_1: True Class: B, Predicted: A, Probability: 0.9999107319954066
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.999999998317155
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence595.csv_1: True Class: A, Predicted: B, Probability: 0.9392222251337308
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9999923648914689
Sequence597.csv_1: True Class: A, Predicted: B, Probability: 0.999999996210056
Sequence598.csv_1: True Class: A, Predicted: B, Probability: 0.9274212675176277
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999474343
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.9996344984692838
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.9997450356222963
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.5556515301642433
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999999
Sequence604.csv_1: True Class: A, Predicted: B, Probability: 0.9999999803027523
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.9999999948708733
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998941
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.9999974291369235
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.9870717059184525
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 0.9999994836078052
Sequence610.csv_1: True Class: B, Predicted: B, Probability: 0.9045482864075453
Sequence611.csv_1: True Class: A, Predicted: A, Probability: 0.9999987279423186
Sequence612.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999550334
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.9999999619496388
Sequence614.csv_1: True Class: B, Predicted: B, Probability: 0.9999971325983544
Sequence615.csv_1: True Class: B, Predicted: B, Probability: 0.9999997462481125
Sequence616.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence617.csv_1: True Class: A, Predicted: A, Probability: 0.9965605236810698
Sequence618.csv_1: True Class: B, Predicted: B, Probability: 0.9999995900252807
