Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999318
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9999999070651694
Sequence550.csv_1: True Class: A, Predicted: B, Probability: 0.5681046210813757
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.7596944870904295
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.8848114012339104
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9894610243512992
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.8937974185327064
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.986000336827784
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.8000888635295968
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9851297937763611
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.9987080463405967
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9833665567905625
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9970751858146998
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.8475152511303057
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998967
Sequence562.csv_1: True Class: A, Predicted: B, Probability: 0.639241479699631
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9999999998690758
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9988112219543986
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999999995790521
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9843432516947813
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.9355616037476839
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9812074922156241
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.999538718047923
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9664670063990364
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.9999987628995695
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9949735971960243
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9999965843973784
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.9999876762878129
Sequence574.csv_1: True Class: B, Predicted: A, Probability: 0.9609041966408197
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9953418103920099
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999996
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.9354042591045582
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9375489506663433
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9606437271151425
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999621412118797
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.9989695386680698
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.999999997734701
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.9857595422657791
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9837190970491858
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.7371211036865257
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.9924681202160884
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.8097128243026348
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999909
Sequence588.csv_1: True Class: B, Predicted: A, Probability: 0.8656067785580724
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9456833052957895
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.9943767092007005
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence591.csv_1: True Class: A, Predicted: A, Probability: 0.9704434200775703
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.9999999983541725
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9999991576562326
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.9997901854335188
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.9999999479064571
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9970369196920743
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9999194349201349
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.8743517860880616
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999953199
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.7920707093550586
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.9999998925979441
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.9999997290485537
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 0.9999997343226346
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.9770786721445628
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.9950976524314733
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 0.9999999979468039
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.9999275438213006
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.9999999690179288
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.992642499028724
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.9999963925626838
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 0.9295314964269253
Sequence610.csv_1: True Class: B, Predicted: A, Probability: 0.9539340656244557
Sequence611.csv_1: True Class: A, Predicted: A, Probability: 0.9501851817589042
Sequence612.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999011
Sequence613.csv_1: True Class: A, Predicted: B, Probability: 0.9059549746502006
Sequence614.csv_1: True Class: A, Predicted: A, Probability: 0.9380504214270123
Sequence615.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence616.csv_1: True Class: B, Predicted: A, Probability: 0.8924033196642478
Sequence617.csv_1: True Class: A, Predicted: A, Probability: 0.9779377209443562
Sequence618.csv_1: True Class: A, Predicted: B, Probability: 0.8188937734679764
Sequence619.csv_1: True Class: A, Predicted: A, Probability: 0.9999999248832376
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998977
Sequence620.csv_1: True Class: A, Predicted: A, Probability: 0.9962865488112097
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 0.9893128006236643
Sequence622.csv_1: True Class: A, Predicted: A, Probability: 0.804851304560259
Sequence623.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999957
Sequence624.csv_1: True Class: A, Predicted: A, Probability: 0.9904919697985808
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999098
Sequence626.csv_1: True Class: A, Predicted: A, Probability: 0.9999995490594115
Sequence627.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999949
Sequence628.csv_1: True Class: A, Predicted: A, Probability: 0.994361413921783
Sequence629.csv_1: True Class: A, Predicted: A, Probability: 0.9999669591544631
Sequence63.csv_1: True Class: B, Predicted: B, Probability: 0.6774907289627133
Sequence630.csv_1: True Class: A, Predicted: A, Probability: 0.5418877072979852
Sequence631.csv_1: True Class: A, Predicted: A, Probability: 0.9997725598437673
Sequence632.csv_1: True Class: A, Predicted: A, Probability: 0.9702371223918641
Sequence633.csv_1: True Class: A, Predicted: A, Probability: 0.9374721006044133
Sequence634.csv_1: True Class: A, Predicted: A, Probability: 0.9635189278408895
Sequence635.csv_1: True Class: A, Predicted: A, Probability: 0.9494311701118102
Sequence636.csv_1: True Class: A, Predicted: A, Probability: 0.8699991484098566
Sequence637.csv_1: True Class: A, Predicted: A, Probability: 0.6018765463995429
Sequence638.csv_1: True Class: A, Predicted: A, Probability: 0.8558132128229048
Sequence639.csv_1: True Class: A, Predicted: A, Probability: 0.9982749629935804
Sequence64.csv_1: True Class: A, Predicted: A, Probability: 0.9978134905453339
Sequence640.csv_1: True Class: A, Predicted: A, Probability: 0.9755645825822676
Sequence641.csv_1: True Class: A, Predicted: A, Probability: 0.7464901683535876
Sequence642.csv_1: True Class: A, Predicted: A, Probability: 0.9999486690900626
Sequence643.csv_1: True Class: A, Predicted: A, Probability: 0.9999999136021835
Sequence644.csv_1: True Class: A, Predicted: A, Probability: 0.974313990399326
Sequence645.csv_1: True Class: A, Predicted: A, Probability: 0.9985120691866166
Sequence646.csv_1: True Class: A, Predicted: A, Probability: 0.9887089739718654
Sequence647.csv_1: True Class: A, Predicted: A, Probability: 0.9992212219023032
Sequence648.csv_1: True Class: A, Predicted: B, Probability: 0.517079028217966
Sequence649.csv_1: True Class: A, Predicted: A, Probability: 0.9999994318136604
Sequence65.csv_1: True Class: B, Predicted: A, Probability: 0.8320683431324608
Sequence650.csv_1: True Class: B, Predicted: A, Probability: 0.9967777124976779
Sequence651.csv_1: True Class: A, Predicted: A, Probability: 0.9999999849421872
Sequence652.csv_1: True Class: A, Predicted: A, Probability: 0.9969139115959528
Sequence653.csv_1: True Class: A, Predicted: A, Probability: 0.997045356137178
Sequence654.csv_1: True Class: A, Predicted: A, Probability: 0.9849981512228286
Sequence655.csv_1: True Class: A, Predicted: A, Probability: 0.9996351724739659
