Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9999999988006355
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9999957650322627
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.948588224784915
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.921274876989374
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.9995001077908479
Sequence553.csv_1: True Class: A, Predicted: B, Probability: 0.9884398754186907
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.9998325933838531
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9550270151816959
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.8276460509030293
Sequence557.csv_1: True Class: B, Predicted: A, Probability: 0.9998963256688829
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.90688996790052
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 0.9988649101545767
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.7199067038670556
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.99972770375019
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9999999983930853
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.8463112305897068
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.9999998859715966
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 0.9998093785169998
Sequence565.csv_1: True Class: A, Predicted: B, Probability: 0.9999999053323312
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.9423400280713851
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.9999951495223769
Sequence568.csv_1: True Class: B, Predicted: A, Probability: 0.9999992233427211
Sequence569.csv_1: True Class: B, Predicted: B, Probability: 0.9998699614662193
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.9983381094013638
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9999956055614565
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.9962129712009008
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 0.9999957582133548
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9993672524806476
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.999937975515865
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9919086936364911
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999903311
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9962944814019169
Sequence578.csv_1: True Class: B, Predicted: B, Probability: 0.9963405564406738
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9999928759906185
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9999651616489579
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9996284634396421
Sequence581.csv_1: True Class: B, Predicted: B, Probability: 0.9999995810662132
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9825959938458694
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9998969225053599
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.9545678285602736
Sequence585.csv_1: True Class: A, Predicted: B, Probability: 0.6078765222408262
Sequence586.csv_1: True Class: B, Predicted: A, Probability: 0.9531801314777315
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998883521
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.9996164491279736
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.9962105936802382
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.8335243549195268
Sequence590.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999982
Sequence591.csv_1: True Class: B, Predicted: A, Probability: 0.9998419647772471
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9999999738398204
Sequence593.csv_1: True Class: A, Predicted: B, Probability: 0.9998801347398587
Sequence594.csv_1: True Class: B, Predicted: B, Probability: 0.9998553935604889
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.9999999351654681
Sequence596.csv_1: True Class: B, Predicted: B, Probability: 0.995802169288159
Sequence597.csv_1: True Class: A, Predicted: B, Probability: 0.9997623686615295
Sequence598.csv_1: True Class: B, Predicted: A, Probability: 0.999986840954108
Sequence599.csv_1: True Class: B, Predicted: B, Probability: 0.9999999803458839
Sequence6.csv_1: True Class: B, Predicted: A, Probability: 0.8402104512244418
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999968
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.9998515732933688
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.9999987844182884
Sequence602.csv_1: True Class: B, Predicted: B, Probability: 0.9999940994539448
Sequence603.csv_1: True Class: B, Predicted: A, Probability: 0.9996796939274867
Sequence604.csv_1: True Class: B, Predicted: B, Probability: 0.9962412876486546
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.9999996422273163
Sequence606.csv_1: True Class: A, Predicted: B, Probability: 0.9973344581134215
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.9999993419586491
Sequence608.csv_1: True Class: B, Predicted: B, Probability: 0.998895376892167
Sequence609.csv_1: True Class: B, Predicted: B, Probability: 0.9999865190703339
Sequence61.csv_1: True Class: B, Predicted: A, Probability: 0.9999992923435231
Sequence610.csv_1: True Class: B, Predicted: A, Probability: 0.7151185712724352
Sequence611.csv_1: True Class: B, Predicted: A, Probability: 0.9981933424903223
Sequence612.csv_1: True Class: B, Predicted: B, Probability: 0.9999999355948663
Sequence613.csv_1: True Class: B, Predicted: A, Probability: 0.9859568692140899
Sequence614.csv_1: True Class: B, Predicted: B, Probability: 0.9965650824396275
Sequence615.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999948
Sequence616.csv_1: True Class: A, Predicted: A, Probability: 0.9999918801261637
Sequence617.csv_1: True Class: A, Predicted: A, Probability: 0.9999918015009382
Sequence618.csv_1: True Class: B, Predicted: B, Probability: 0.8825147723774345
Sequence619.csv_1: True Class: B, Predicted: B, Probability: 0.9999994016232299
Sequence62.csv_1: True Class: B, Predicted: B, Probability: 0.999999999981762
Sequence620.csv_1: True Class: B, Predicted: B, Probability: 0.9991748473720604
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 0.8326378607939827
Sequence622.csv_1: True Class: B, Predicted: A, Probability: 0.9990117245665475
Sequence623.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999978357
Sequence624.csv_1: True Class: B, Predicted: B, Probability: 0.9983056336111104
