Sequence549.csv_1: True Class: A, Predicted: B, Probability: 0.6391478029294274
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.6391478029294274
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.6391478029294274
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
Sequence557.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
Sequence558.csv_1: True Class: A, Predicted: B, Probability: 0.6391478029294274
Sequence559.csv_1: True Class: A, Predicted: B, Probability: 0.6391478029294274
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
Sequence561.csv_1: True Class: A, Predicted: B, Probability: 0.6391478029294274
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
Sequence564.csv_1: True Class: A, Predicted: B, Probability: 0.6391478029294274
Sequence565.csv_1: True Class: A, Predicted: B, Probability: 0.6391478029294274
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.6391478029294274
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.6391478029294274
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.6391478029294274
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
Sequence571.csv_1: True Class: A, Predicted: B, Probability: 0.6391478029294274
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 0.6391478029294274
