Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence555.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence557.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence562.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence566.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence58.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence585.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence59.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence591.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence594.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence597.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence60.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence600.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence601.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence602.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence604.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence605.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence609.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence611.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence612.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence614.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence615.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence616.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence617.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence619.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence620.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence622.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence623.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence624.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence626.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence627.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence628.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence629.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence63.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence630.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence631.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence632.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence633.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence634.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence635.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence636.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence637.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence638.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence639.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence64.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence640.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence641.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence642.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence643.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence644.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence645.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence646.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence647.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
Sequence648.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence649.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence65.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence650.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence651.csv_1: True Class: A, Predicted: A, Probability: 0.6651131824234354
Sequence652.csv_1: True Class: B, Predicted: A, Probability: 0.6651131824234354
