Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.9969499166858075
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.9947765944950694
Sequence550.csv_1: True Class: A, Predicted: B, Probability: 0.6645926059256146
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9208836646783212
Sequence552.csv_1: True Class: A, Predicted: B, Probability: 0.999997348331759
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9989551709707655
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.94180745952728
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9999786284157137
Sequence556.csv_1: True Class: A, Predicted: B, Probability: 0.9947037117357194
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9900784869874176
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.9999543550274755
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9046447873812936
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.895180032240533
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.9988464122275095
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.999994172629943
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9365575884087776
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9169464703695384
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999878937597979
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.9993027852663721
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9308029134591217
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.9580313827806342
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.9648303951975638
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.8538174076610486
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.7198134747014666
Sequence570.csv_1: True Class: A, Predicted: B, Probability: 0.9454492406038735
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.5925532753051924
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.989762515026909
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.999817687066058
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.9998810737624871
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999999466971324
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9999445701725032
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.9678429611358129
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.9683279588309087
Sequence579.csv_1: True Class: A, Predicted: B, Probability: 0.6525612203082433
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.894364159930641
Sequence580.csv_1: True Class: A, Predicted: B, Probability: 0.9916181629360866
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.999722229640278
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.8840829666965588
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.6560324423914558
Sequence584.csv_1: True Class: A, Predicted: B, Probability: 0.6891643572165244
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.5761503678286111
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.983044702223695
Sequence587.csv_1: True Class: A, Predicted: B, Probability: 0.9231177205113265
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.5026615691766337
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9856989594323732
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.9992962664173289
Sequence590.csv_1: True Class: A, Predicted: B, Probability: 0.9148165291681944
Sequence591.csv_1: True Class: A, Predicted: B, Probability: 0.9980604022438987
Sequence592.csv_1: True Class: A, Predicted: B, Probability: 0.7443861313678124
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9863694134519257
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.9978565686654008
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.9996910122358506
Sequence596.csv_1: True Class: A, Predicted: B, Probability: 0.8471883588686455
Sequence597.csv_1: True Class: A, Predicted: B, Probability: 0.9471295173330535
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.9989936062859326
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.94599552326565
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.9999899983581656
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.7123172307751816
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.8820943458250879
Sequence601.csv_1: True Class: A, Predicted: B, Probability: 0.959715943508189
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.6715444488419632
Sequence603.csv_1: True Class: A, Predicted: B, Probability: 0.9999999968286769
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.9947174887232945
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 0.9943827461107172
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.9504968600985872
Sequence607.csv_1: True Class: A, Predicted: B, Probability: 0.9999210878709733
Sequence608.csv_1: True Class: B, Predicted: A, Probability: 0.9803099920580962
Sequence609.csv_1: True Class: A, Predicted: B, Probability: 0.8361459385809329
Sequence61.csv_1: True Class: A, Predicted: B, Probability: 0.9990927408477338
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 0.9997099556823802
Sequence611.csv_1: True Class: A, Predicted: A, Probability: 0.9006885024489677
Sequence612.csv_1: True Class: A, Predicted: B, Probability: 0.8804193713298412
Sequence613.csv_1: True Class: A, Predicted: B, Probability: 0.5764089873448972
Sequence614.csv_1: True Class: A, Predicted: B, Probability: 0.9982696823741937
Sequence615.csv_1: True Class: A, Predicted: A, Probability: 0.9934601011150874
Sequence616.csv_1: True Class: A, Predicted: A, Probability: 0.9953701508877576
Sequence617.csv_1: True Class: A, Predicted: B, Probability: 0.9968239297672764
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.8977175143712472
Sequence619.csv_1: True Class: A, Predicted: A, Probability: 0.7856031148578833
Sequence62.csv_1: True Class: A, Predicted: B, Probability: 0.644859329394732
Sequence620.csv_1: True Class: A, Predicted: B, Probability: 0.545083022708557
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 0.9999543993725403
Sequence622.csv_1: True Class: A, Predicted: A, Probability: 0.995752681672243
Sequence623.csv_1: True Class: A, Predicted: A, Probability: 0.9936001421915284
Sequence624.csv_1: True Class: A, Predicted: A, Probability: 0.9200663438999029
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 0.7148557034760613
Sequence626.csv_1: True Class: B, Predicted: A, Probability: 0.9998689852711722
Sequence627.csv_1: True Class: A, Predicted: A, Probability: 0.8135556794044636
Sequence628.csv_1: True Class: B, Predicted: A, Probability: 0.7950946067670086
Sequence629.csv_1: True Class: A, Predicted: A, Probability: 0.859607845791811
Sequence63.csv_1: True Class: A, Predicted: A, Probability: 0.9998121022831727
Sequence630.csv_1: True Class: A, Predicted: B, Probability: 0.8431203496983688
Sequence631.csv_1: True Class: A, Predicted: A, Probability: 0.6691004046633172
Sequence632.csv_1: True Class: A, Predicted: A, Probability: 0.89239380056259
Sequence633.csv_1: True Class: B, Predicted: A, Probability: 0.9556746048473357
Sequence634.csv_1: True Class: A, Predicted: A, Probability: 0.9999424929592233
Sequence635.csv_1: True Class: A, Predicted: A, Probability: 0.9861896519492847
Sequence636.csv_1: True Class: A, Predicted: A, Probability: 0.9999942753981574
Sequence637.csv_1: True Class: A, Predicted: A, Probability: 0.99879642897647
Sequence638.csv_1: True Class: A, Predicted: A, Probability: 0.999999960930491
Sequence639.csv_1: True Class: A, Predicted: B, Probability: 0.9569091354266993
Sequence64.csv_1: True Class: A, Predicted: B, Probability: 0.9883086320045944
Sequence640.csv_1: True Class: B, Predicted: B, Probability: 0.8942165538552437
Sequence641.csv_1: True Class: A, Predicted: B, Probability: 0.9805428005290708
Sequence642.csv_1: True Class: B, Predicted: B, Probability: 0.9356487228008293
Sequence643.csv_1: True Class: A, Predicted: A, Probability: 0.9997715702295573
Sequence644.csv_1: True Class: A, Predicted: A, Probability: 0.9999895880880955
Sequence645.csv_1: True Class: A, Predicted: B, Probability: 0.9989761953279529
Sequence646.csv_1: True Class: A, Predicted: A, Probability: 0.9999791542486491
Sequence647.csv_1: True Class: A, Predicted: B, Probability: 0.9961860215726801
Sequence648.csv_1: True Class: A, Predicted: A, Probability: 0.9975698450251685
Sequence649.csv_1: True Class: A, Predicted: A, Probability: 0.9342761591233518
Sequence65.csv_1: True Class: A, Predicted: A, Probability: 0.9947022733605294
Sequence650.csv_1: True Class: A, Predicted: A, Probability: 0.9966591632989936
Sequence651.csv_1: True Class: A, Predicted: A, Probability: 0.952453835048607
Sequence652.csv_1: True Class: A, Predicted: A, Probability: 0.6018976245004288
Sequence653.csv_1: True Class: A, Predicted: A, Probability: 0.9828857675022209
Sequence654.csv_1: True Class: A, Predicted: B, Probability: 0.9934660291018799
Sequence655.csv_1: True Class: B, Predicted: A, Probability: 0.9928430810328414
Sequence656.csv_1: True Class: B, Predicted: A, Probability: 0.9094446924074892
Sequence657.csv_1: True Class: A, Predicted: A, Probability: 0.9872286718492987
Sequence658.csv_1: True Class: B, Predicted: A, Probability: 0.9556137952735636
Sequence659.csv_1: True Class: A, Predicted: A, Probability: 0.9978959366676354
Sequence66.csv_1: True Class: A, Predicted: A, Probability: 0.9996660203088074
Sequence660.csv_1: True Class: B, Predicted: A, Probability: 0.9995619614499555
