Sequence549.csv_1: True Class: A, Predicted: B, Probability: 0.9903549476568607
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.8376986410299454
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.9992819030229012
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.9954955729015538
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9992295308136908
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.6880147449526967
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.9954795385930312
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.9999911456244657
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.9999289492703525
Sequence557.csv_1: True Class: B, Predicted: B, Probability: 0.9356324374529056
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.8531605105206881
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.932428061386438
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.9996843062514
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.8387976654526724
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9618059941037614
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.9771301474868636
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.9995471626999515
Sequence564.csv_1: True Class: A, Predicted: B, Probability: 0.8311648116157626
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.6757773216083943
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.9999983720054628
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.8401934750691933
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9213303069711456
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9999331782446707
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.940120404241815
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9764498262236264
Sequence571.csv_1: True Class: A, Predicted: B, Probability: 0.7636801392315206
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.9168077535579543
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9934105644080249
Sequence574.csv_1: True Class: B, Predicted: A, Probability: 0.9916036748253378
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 0.9998615647676018
Sequence576.csv_1: True Class: B, Predicted: A, Probability: 0.9431396043072504
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.8645190215489369
Sequence578.csv_1: True Class: B, Predicted: B, Probability: 0.9900569685725379
Sequence579.csv_1: True Class: A, Predicted: B, Probability: 0.6760785246313382
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9729798759603653
Sequence580.csv_1: True Class: B, Predicted: A, Probability: 0.9996486427844723
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999968898669762
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.999951364314066
Sequence583.csv_1: True Class: B, Predicted: A, Probability: 0.7106901041709341
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.5240883376278461
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.9980346224534333
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.999950098565532
Sequence587.csv_1: True Class: B, Predicted: A, Probability: 0.9914098433566313
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.844614730346921
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.9999950590283438
Sequence59.csv_1: True Class: B, Predicted: B, Probability: 0.6879988850355175
Sequence590.csv_1: True Class: A, Predicted: B, Probability: 0.913945968975239
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.9941638357444087
Sequence592.csv_1: True Class: B, Predicted: A, Probability: 0.999998966295145
Sequence593.csv_1: True Class: B, Predicted: B, Probability: 0.9998923527001374
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.5239295407612394
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.9600966356054139
Sequence596.csv_1: True Class: B, Predicted: B, Probability: 0.8496513136515611
Sequence597.csv_1: True Class: B, Predicted: A, Probability: 0.9581008462204195
Sequence598.csv_1: True Class: A, Predicted: B, Probability: 0.9982650001862862
Sequence599.csv_1: True Class: B, Predicted: B, Probability: 0.9948231562269355
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.9954084080064489
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.9948663693543239
Sequence600.csv_1: True Class: A, Predicted: B, Probability: 0.9479548703604747
Sequence601.csv_1: True Class: B, Predicted: A, Probability: 0.9669414941863265
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.9851089018918932
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 0.9976085308554018
Sequence604.csv_1: True Class: B, Predicted: A, Probability: 0.9555583855197718
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.9976099890787319
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 0.9452151343927621
