Sequence549.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence55.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence550.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence551.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence552.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence553.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence554.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence555.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence556.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence557.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence558.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence559.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence56.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence560.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence561.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence562.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence563.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence564.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence565.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence566.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence567.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence568.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence569.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence57.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence570.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence571.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence572.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence573.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence574.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence575.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence576.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence577.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence578.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence579.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence58.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence580.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence581.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence582.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence583.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence584.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence585.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence586.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence587.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence588.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence589.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence59.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence590.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence591.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence592.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence593.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence594.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence595.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence596.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
