Sequence549.csv_1: True Class: A, Predicted: C, Probability: 0.7708511611317417
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.7497967215422945
Sequence550.csv_1: True Class: C, Predicted: A, Probability: 0.5221698061108917
Sequence551.csv_1: True Class: C, Predicted: A, Probability: 0.8815760617241523
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999035570257505
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.7843923102843422
Sequence554.csv_1: True Class: A, Predicted: B, Probability: 0.698330661684223
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9685117671082233
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9999885705992692
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.7096083967482585
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.6750309360192915
Sequence559.csv_1: True Class: C, Predicted: C, Probability: 0.9999984662532498
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999999782280773
Sequence560.csv_1: True Class: A, Predicted: C, Probability: 0.8372773971571342
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9467769926685229
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9905323645413118
Sequence563.csv_1: True Class: A, Predicted: B, Probability: 0.991810456888432
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9966807333037901
Sequence565.csv_1: True Class: B, Predicted: A, Probability: 0.9992245036338234
Sequence566.csv_1: True Class: C, Predicted: C, Probability: 0.990085631556616
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.9889438796153792
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.5632108786618021
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999999614719653
Sequence57.csv_1: True Class: C, Predicted: C, Probability: 0.9112648009188762
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.6622724165817585
Sequence571.csv_1: True Class: A, Predicted: B, Probability: 0.6157578762982832
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.9717149176753782
Sequence573.csv_1: True Class: B, Predicted: C, Probability: 0.982837587891638
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.5877463635678388
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.9795192971655523
Sequence576.csv_1: True Class: C, Predicted: C, Probability: 0.9948762860187019
Sequence577.csv_1: True Class: A, Predicted: B, Probability: 0.8891770343283675
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.6171132083654798
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9840950866368166
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9887012626905692
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.9250599008700578
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999999292446563
Sequence582.csv_1: True Class: C, Predicted: A, Probability: 0.9926518526323583
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 0.7601358581993457
Sequence584.csv_1: True Class: C, Predicted: B, Probability: 0.9228178658732645
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.8468617731499759
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.963143211963199
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9713430736955602
Sequence588.csv_1: True Class: B, Predicted: A, Probability: 0.5568013160400741
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.974047002927618
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.8584895432209755
Sequence590.csv_1: True Class: C, Predicted: C, Probability: 0.9109963755926026
Sequence591.csv_1: True Class: A, Predicted: B, Probability: 0.9985577428614041
Sequence592.csv_1: True Class: C, Predicted: C, Probability: 0.6815770881201416
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9929317665731441
Sequence594.csv_1: True Class: C, Predicted: A, Probability: 0.9503511478539085
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.5309902113423453
Sequence596.csv_1: True Class: A, Predicted: C, Probability: 0.9824134366521458
Sequence597.csv_1: True Class: C, Predicted: B, Probability: 0.8149241219803776
Sequence598.csv_1: True Class: B, Predicted: C, Probability: 0.9979655615714894
Sequence599.csv_1: True Class: C, Predicted: A, Probability: 0.8970164939608264
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.9966682955714973
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.4914198558719711
Sequence600.csv_1: True Class: B, Predicted: C, Probability: 0.8723217677215743
Sequence601.csv_1: True Class: C, Predicted: B, Probability: 0.8007162410728652
Sequence602.csv_1: True Class: B, Predicted: C, Probability: 0.9903930883974461
Sequence603.csv_1: True Class: C, Predicted: C, Probability: 0.7601561617006586
Sequence604.csv_1: True Class: B, Predicted: B, Probability: 0.6333559465999858
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.9999983224051453
Sequence606.csv_1: True Class: B, Predicted: C, Probability: 0.7564157438352002
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.5692892822564121
Sequence608.csv_1: True Class: B, Predicted: B, Probability: 0.9914534380191572
