Sequence549.csv_1: True Class: A, Predicted: C, Probability: 0.9258438099338224
Sequence55.csv_1: True Class: D, Predicted: C, Probability: 0.964069510038493
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.9995867435078044
Sequence551.csv_1: True Class: C, Predicted: D, Probability: 0.9970745124602499
Sequence552.csv_1: True Class: A, Predicted: C, Probability: 0.9812259882505193
Sequence553.csv_1: True Class: C, Predicted: C, Probability: 0.9999992919926739
Sequence554.csv_1: True Class: D, Predicted: C, Probability: 0.9964642491363186
Sequence555.csv_1: True Class: D, Predicted: D, Probability: 0.999476823632886
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9999935554166768
Sequence557.csv_1: True Class: D, Predicted: B, Probability: 0.9036802660284882
Sequence558.csv_1: True Class: D, Predicted: D, Probability: 0.9999951381132955
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9948614540903381
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999953138192529
Sequence560.csv_1: True Class: C, Predicted: C, Probability: 0.9999756342254756
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9975845115164871
Sequence562.csv_1: True Class: C, Predicted: B, Probability: 0.997648173584741
Sequence563.csv_1: True Class: A, Predicted: C, Probability: 0.9955366813383912
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9997959573467216
Sequence565.csv_1: True Class: C, Predicted: D, Probability: 0.9980316591176261
Sequence566.csv_1: True Class: B, Predicted: C, Probability: 0.9999991330827188
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9999999995009056
Sequence568.csv_1: True Class: D, Predicted: D, Probability: 0.5740249259833922
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999787181948978
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.994799529604801
Sequence570.csv_1: True Class: D, Predicted: C, Probability: 0.9120515147807945
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999999841543781
Sequence572.csv_1: True Class: C, Predicted: C, Probability: 0.9995615923610045
Sequence573.csv_1: True Class: A, Predicted: D, Probability: 0.9588171936549046
Sequence574.csv_1: True Class: D, Predicted: B, Probability: 0.9995257906530027
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999990209716357
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9973688248582022
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999959567
Sequence578.csv_1: True Class: D, Predicted: C, Probability: 0.6768297104068695
Sequence579.csv_1: True Class: D, Predicted: C, Probability: 0.9895862916706436
Sequence58.csv_1: True Class: D, Predicted: C, Probability: 0.9871643400545077
Sequence580.csv_1: True Class: D, Predicted: C, Probability: 0.9830506125696781
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.7698551061259157
Sequence582.csv_1: True Class: A, Predicted: D, Probability: 0.9999981189080649
Sequence583.csv_1: True Class: C, Predicted: D, Probability: 0.9824224631326774
Sequence584.csv_1: True Class: B, Predicted: C, Probability: 0.9794343188443814
Sequence585.csv_1: True Class: D, Predicted: C, Probability: 0.9998287868335036
Sequence586.csv_1: True Class: A, Predicted: D, Probability: 0.587712189937034
Sequence587.csv_1: True Class: C, Predicted: C, Probability: 0.9486996341680879
Sequence588.csv_1: True Class: C, Predicted: D, Probability: 0.9998189327153804
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9934376714371275
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.9589097975509278
Sequence590.csv_1: True Class: B, Predicted: C, Probability: 0.9961587383614257
Sequence591.csv_1: True Class: D, Predicted: D, Probability: 0.670580505549307
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9999159034241191
Sequence593.csv_1: True Class: A, Predicted: D, Probability: 0.5170017557751456
Sequence594.csv_1: True Class: B, Predicted: A, Probability: 0.8890757848073336
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.9999999971077249
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9999709283646777
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9999869878597994
Sequence598.csv_1: True Class: A, Predicted: C, Probability: 0.8955709140704439
Sequence599.csv_1: True Class: C, Predicted: A, Probability: 0.9998315665072378
Sequence6.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999999529
Sequence60.csv_1: True Class: D, Predicted: D, Probability: 0.9998685398104344
Sequence600.csv_1: True Class: B, Predicted: D, Probability: 0.8364710619083323
Sequence601.csv_1: True Class: C, Predicted: C, Probability: 0.9961877176061382
Sequence602.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999706829
Sequence603.csv_1: True Class: B, Predicted: A, Probability: 0.9750705293456498
Sequence604.csv_1: True Class: A, Predicted: D, Probability: 0.9999826129168958
Sequence605.csv_1: True Class: D, Predicted: D, Probability: 0.9999999999999963
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence607.csv_1: True Class: A, Predicted: B, Probability: 0.9631837595142366
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.9999999651573195
Sequence609.csv_1: True Class: D, Predicted: A, Probability: 0.999922026229298
Sequence61.csv_1: True Class: C, Predicted: C, Probability: 0.9986646354982728
Sequence610.csv_1: True Class: C, Predicted: D, Probability: 0.9999373160353489
Sequence611.csv_1: True Class: D, Predicted: A, Probability: 0.8699099290003661
Sequence612.csv_1: True Class: A, Predicted: B, Probability: 0.9911700169435319
Sequence613.csv_1: True Class: B, Predicted: C, Probability: 0.9999997138772954
Sequence614.csv_1: True Class: C, Predicted: A, Probability: 0.997682486292712
Sequence615.csv_1: True Class: C, Predicted: D, Probability: 0.999999976893351
Sequence616.csv_1: True Class: A, Predicted: C, Probability: 0.9839902480065861
Sequence617.csv_1: True Class: A, Predicted: D, Probability: 0.6897734480742382
