Sequence549.csv_1: True Class: C, Predicted: B, Probability: 0.8315726903420577
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.3867256088543495
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.5763821541490918
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.7388990331902707
Sequence552.csv_1: True Class: B, Predicted: C, Probability: 0.8758700235214809
Sequence553.csv_1: True Class: A, Predicted: C, Probability: 0.9694428310288665
Sequence554.csv_1: True Class: C, Predicted: C, Probability: 0.8401259779638003
Sequence555.csv_1: True Class: B, Predicted: C, Probability: 0.6066460701672206
Sequence556.csv_1: True Class: C, Predicted: C, Probability: 0.9970665794955802
Sequence557.csv_1: True Class: C, Predicted: B, Probability: 0.987596491754595
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.7986831205098245
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.99982580293867
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.9999993733518074
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.5842419401924646
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9988607824969936
Sequence562.csv_1: True Class: C, Predicted: C, Probability: 0.9999166640151035
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9979473088888445
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9981736908129759
Sequence565.csv_1: True Class: C, Predicted: B, Probability: 0.9976325694181857
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.9256854370040709
Sequence567.csv_1: True Class: A, Predicted: C, Probability: 0.9961756130949458
Sequence568.csv_1: True Class: A, Predicted: C, Probability: 0.9438023677470639
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9676789803276152
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999996247194713
Sequence570.csv_1: True Class: A, Predicted: B, Probability: 0.9575170699345572
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9995687780744936
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.7352500700311132
Sequence573.csv_1: True Class: C, Predicted: A, Probability: 0.9952506240736082
Sequence574.csv_1: True Class: C, Predicted: C, Probability: 0.9999992153025067
Sequence575.csv_1: True Class: C, Predicted: B, Probability: 0.8275410653229699
Sequence576.csv_1: True Class: C, Predicted: A, Probability: 0.9999779333571533
Sequence577.csv_1: True Class: B, Predicted: C, Probability: 0.9998207409295549
