Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9999999709096412
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998132492
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.999991080034833
Sequence551.csv_1: True Class: B, Predicted: A, Probability: 0.9999998115669305
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.9995108165746968
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.9999986439512474
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.7602585687247863
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.9986233983736392
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.999999991753603
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9168780728674827
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9999999770863346
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.999998723482636
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999366547
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999636408
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.863084422952127
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 0.9999995227262275
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.999999197632163
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9999999277483232
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.7557361811392395
Sequence569.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998373592
Sequence57.csv_1: True Class: B, Predicted: A, Probability: 0.9999999993452147
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.6912482123149978
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.9819666487802058
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 0.5228757476736476
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9999999948640169
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 1.0
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.7444698402215898
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9985979328961112
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999999148838401
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 0.9999990313041985
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999996975
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999967324471595
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9999999819184235
Sequence581.csv_1: True Class: B, Predicted: B, Probability: 0.9999882598263983
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.999999946490262
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.9676146550083148
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9999999284046557
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.9999998881538716
Sequence587.csv_1: True Class: B, Predicted: A, Probability: 0.9999967516829799
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999989735
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.7682047478273508
Sequence59.csv_1: True Class: B, Predicted: B, Probability: 0.9741099820106288
Sequence590.csv_1: True Class: B, Predicted: A, Probability: 0.9929389898842387
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.9999999907953033
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9395996357740977
Sequence593.csv_1: True Class: B, Predicted: B, Probability: 0.9975888114282208
Sequence594.csv_1: True Class: B, Predicted: B, Probability: 0.9999999997027009
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999908955
Sequence596.csv_1: True Class: B, Predicted: A, Probability: 0.9999999882687418
Sequence597.csv_1: True Class: B, Predicted: B, Probability: 0.9999999990311432
Sequence598.csv_1: True Class: B, Predicted: A, Probability: 0.9715560314897002
Sequence599.csv_1: True Class: B, Predicted: B, Probability: 0.9984631822213512
Sequence6.csv_1: True Class: B, Predicted: A, Probability: 0.6968282632048883
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 0.999680672657531
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.9999999369777955
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.9939437064265999
Sequence602.csv_1: True Class: B, Predicted: B, Probability: 0.9998043972664953
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 0.9948887205847488
Sequence604.csv_1: True Class: B, Predicted: A, Probability: 0.938902974853435
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998494028
Sequence606.csv_1: True Class: B, Predicted: A, Probability: 0.9945409876587492
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.998205272554868
Sequence608.csv_1: True Class: B, Predicted: B, Probability: 0.9893898897327009
Sequence609.csv_1: True Class: B, Predicted: B, Probability: 0.9999967842355757
Sequence61.csv_1: True Class: B, Predicted: B, Probability: 0.9998282268932307
