Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.5727873767349851
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9943071188528011
Sequence550.csv_1: True Class: A, Predicted: B, Probability: 0.9040668015381041
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9999997615054992
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.9999976711534116
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.8211481314852254
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.6001598665539705
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.8267838799064813
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.5702954301092751
Sequence557.csv_1: True Class: B, Predicted: B, Probability: 0.9999047400645188
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.976743609250389
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.7888993863475193
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9168340648612134
Sequence560.csv_1: True Class: A, Predicted: B, Probability: 0.9994172204157995
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9999988877609359
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.8574956057450674
Sequence563.csv_1: True Class: A, Predicted: B, Probability: 0.8023179424202751
Sequence564.csv_1: True Class: A, Predicted: B, Probability: 0.9521320012280272
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.6931680532296342
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.8805331477729819
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.9999689308943627
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.5905704504476396
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9726600780089151
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999976795337379
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.981473241044083
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.8991163539713588
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.9999182960282451
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.9999999973332272
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9999997780668133
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999995856310214
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9995510046907689
Sequence577.csv_1: True Class: A, Predicted: B, Probability: 0.9994288591676842
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 0.9155274774922428
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9999999055766766
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9681586776705586
Sequence580.csv_1: True Class: A, Predicted: B, Probability: 0.9998703312711644
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999999877441098
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.8160303421948986
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.5359661764801071
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.9999138541280089
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999672282
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.6726604440574377
Sequence587.csv_1: True Class: A, Predicted: B, Probability: 0.9987226831953273
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999997284
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.9950207879878741
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.9999972251130144
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.9945360158484754
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.99999759162465
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.9996318545150903
Sequence593.csv_1: True Class: B, Predicted: B, Probability: 0.9754862615535889
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.9950367888649247
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.9866284821104667
Sequence596.csv_1: True Class: A, Predicted: B, Probability: 0.880640134976649
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9999201903319971
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.5331575184459262
Sequence599.csv_1: True Class: B, Predicted: B, Probability: 0.9973890735275972
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.995740178858219
Sequence60.csv_1: True Class: A, Predicted: B, Probability: 0.9987328665525609
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.8830202183654705
Sequence601.csv_1: True Class: A, Predicted: B, Probability: 0.9014401392050553
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 0.9999993010790359
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.9999933052706358
Sequence604.csv_1: True Class: B, Predicted: B, Probability: 0.9998784180228668
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.9997384805117353
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.99999999980935
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.9997645564008456
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.9797004277150633
Sequence609.csv_1: True Class: B, Predicted: A, Probability: 0.9988195169278271
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 0.9547555429958482
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999994
Sequence611.csv_1: True Class: A, Predicted: A, Probability: 0.9912411255837554
Sequence612.csv_1: True Class: B, Predicted: A, Probability: 0.9908871997344416
Sequence613.csv_1: True Class: A, Predicted: B, Probability: 0.9983552845443942
Sequence614.csv_1: True Class: A, Predicted: B, Probability: 0.9799698200048961
Sequence615.csv_1: True Class: A, Predicted: A, Probability: 0.9999933533062622
Sequence616.csv_1: True Class: A, Predicted: A, Probability: 0.9812216684631794
Sequence617.csv_1: True Class: A, Predicted: B, Probability: 0.9982669758878496
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.9998698180840311
Sequence619.csv_1: True Class: B, Predicted: B, Probability: 0.999869783591847
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 0.9393442266570732
Sequence620.csv_1: True Class: B, Predicted: B, Probability: 0.9688920334616076
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 0.999999999966639
Sequence622.csv_1: True Class: A, Predicted: A, Probability: 0.9999887620180413
Sequence623.csv_1: True Class: A, Predicted: A, Probability: 0.9822040953612111
Sequence624.csv_1: True Class: B, Predicted: B, Probability: 0.9995031224353229
Sequence625.csv_1: True Class: B, Predicted: B, Probability: 0.9992388402930055
Sequence626.csv_1: True Class: A, Predicted: A, Probability: 0.999999771000999
Sequence627.csv_1: True Class: B, Predicted: A, Probability: 0.563393141172346
Sequence628.csv_1: True Class: A, Predicted: A, Probability: 0.9982401130684987
Sequence629.csv_1: True Class: A, Predicted: B, Probability: 0.7734245180701173
Sequence63.csv_1: True Class: A, Predicted: A, Probability: 0.9999978883717862
Sequence630.csv_1: True Class: A, Predicted: A, Probability: 0.9999307463533302
Sequence631.csv_1: True Class: A, Predicted: A, Probability: 0.9998507342255524
Sequence632.csv_1: True Class: A, Predicted: B, Probability: 0.9968526861097052
Sequence633.csv_1: True Class: B, Predicted: A, Probability: 0.9999829490437463
Sequence634.csv_1: True Class: A, Predicted: B, Probability: 0.9955822449986009
