Sequence549.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9997932766941281
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9999999997290333
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999999016383518
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9995488421887371
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999036665
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999604
Sequence559.csv_1: True Class: A, Predicted: B, Probability: 0.9993670631987517
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999999528451435
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.999999999994106
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999999989045888
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 1.0
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999403
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.9999364678144547
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.9999999934831661
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999999991671527
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9999999930784109
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999984
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999943554975627
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.9865221541526025
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999997534
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.9999116834188283
Sequence581.csv_1: True Class: A, Predicted: B, Probability: 0.8060460327139171
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.9999999998335195
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.9999646436950788
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence588.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999997231
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.9995447214678664
Sequence59.csv_1: True Class: B, Predicted: B, Probability: 0.8493240171044291
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence593.csv_1: True Class: B, Predicted: A, Probability: 0.9559415667557256
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.9999999988617787
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence596.csv_1: True Class: A, Predicted: B, Probability: 0.9999768749654635
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.999999999999909
Sequence598.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999983249
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999979186
Sequence601.csv_1: True Class: A, Predicted: B, Probability: 0.9994769083454085
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999969
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999927928
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999993255
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 0.9999999960500385
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999947
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence61.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence610.csv_1: True Class: B, Predicted: B, Probability: 0.9999999463233441
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence612.csv_1: True Class: A, Predicted: A, Probability: 0.9995130055170243
Sequence613.csv_1: True Class: B, Predicted: B, Probability: 0.9999999942488088
Sequence614.csv_1: True Class: A, Predicted: B, Probability: 0.999984405726642
Sequence615.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence616.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence617.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999324398
Sequence619.csv_1: True Class: A, Predicted: A, Probability: 0.9999990695832921
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence620.csv_1: True Class: B, Predicted: A, Probability: 0.9999999971760578
Sequence621.csv_1: True Class: B, Predicted: A, Probability: 0.9718496970516396
Sequence622.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence623.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence624.csv_1: True Class: A, Predicted: A, Probability: 0.9999999956526118
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence626.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence627.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence628.csv_1: True Class: A, Predicted: B, Probability: 0.6860419454660508
Sequence629.csv_1: True Class: A, Predicted: A, Probability: 0.9999997386440088
Sequence63.csv_1: True Class: B, Predicted: B, Probability: 0.9963115416033259
Sequence630.csv_1: True Class: A, Predicted: A, Probability: 0.9999999996282187
Sequence631.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999992653
Sequence632.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999898361
Sequence633.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999997862
Sequence634.csv_1: True Class: A, Predicted: A, Probability: 0.99999999628768
Sequence635.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence636.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence637.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence638.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence639.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999684
Sequence64.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998754
Sequence640.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999997787
Sequence641.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999140695
Sequence642.csv_1: True Class: B, Predicted: A, Probability: 0.9983194545525566
Sequence643.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence644.csv_1: True Class: A, Predicted: A, Probability: 0.9999990804480829
Sequence645.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999992
Sequence646.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence647.csv_1: True Class: A, Predicted: A, Probability: 0.5217695772363751
Sequence648.csv_1: True Class: A, Predicted: A, Probability: 0.9034779910822777
Sequence649.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence65.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence650.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999748
Sequence651.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence652.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999998
Sequence653.csv_1: True Class: A, Predicted: A, Probability: 0.999999998082475
Sequence654.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence655.csv_1: True Class: A, Predicted: B, Probability: 0.9792247922570366
Sequence656.csv_1: True Class: B, Predicted: B, Probability: 0.9997648595601757
Sequence657.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence658.csv_1: True Class: A, Predicted: A, Probability: 0.9902454429376264
Sequence659.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999821335
Sequence66.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence660.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999998
Sequence661.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence662.csv_1: True Class: A, Predicted: A, Probability: 0.9969037623537805
Sequence663.csv_1: True Class: A, Predicted: A, Probability: 0.9999999914453422
Sequence664.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence665.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence666.csv_1: True Class: B, Predicted: B, Probability: 0.9999986613949667
Sequence667.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence668.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence669.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence67.csv_1: True Class: A, Predicted: A, Probability: 0.9999998871798329
Sequence670.csv_1: True Class: A, Predicted: A, Probability: 0.5211290712735789
Sequence671.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999998
Sequence672.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence673.csv_1: True Class: A, Predicted: A, Probability: 0.9999998477533588
Sequence674.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence675.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence676.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence677.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence678.csv_1: True Class: B, Predicted: B, Probability: 0.9992485022456755
Sequence679.csv_1: True Class: A, Predicted: A, Probability: 0.999999793611657
Sequence68.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence680.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999921899
Sequence681.csv_1: True Class: B, Predicted: A, Probability: 0.9999999950692833
Sequence682.csv_1: True Class: A, Predicted: A, Probability: 0.9999899779508692
Sequence683.csv_1: True Class: A, Predicted: A, Probability: 0.9999999994113862
Sequence684.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence685.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence686.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence687.csv_1: True Class: A, Predicted: A, Probability: 0.9999997080592149
Sequence688.csv_1: True Class: A, Predicted: B, Probability: 0.9561653581903506
Sequence689.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence69.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence690.csv_1: True Class: A, Predicted: A, Probability: 0.9991359488588348
Sequence691.csv_1: True Class: B, Predicted: B, Probability: 0.9143877766440772
Sequence692.csv_1: True Class: A, Predicted: A, Probability: 0.9889307194535433
Sequence693.csv_1: True Class: B, Predicted: B, Probability: 1.0
