Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999998
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999996
Sequence550.csv_1: True Class: A, Predicted: B, Probability: 0.9998502813990885
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999650127
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.9999999083701687
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.6692842904599912
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999987
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999963
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999422
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.999999999890252
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999992
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999988632
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence564.csv_1: True Class: A, Predicted: B, Probability: 0.8654660129456833
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999999900916686
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.9867764180164885
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999982783
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999999993619658
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999983283
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999990024061222
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999079
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999879
Sequence575.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999999984
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9999999991226511
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999925983661391
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.9999999785025778
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999996
Sequence582.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999002827
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9999705714496205
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.9999965898312889
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.999999936878102
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.9998929088604969
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999986514
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999734595
Sequence591.csv_1: True Class: A, Predicted: A, Probability: 0.9999929251811397
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.9999993105317753
Sequence593.csv_1: True Class: A, Predicted: B, Probability: 0.9996222230108909
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999872
Sequence595.csv_1: True Class: B, Predicted: A, Probability: 0.8797780823054123
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9999999989339
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9867698557797235
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999998301
Sequence599.csv_1: True Class: B, Predicted: B, Probability: 0.9999350898968421
Sequence6.csv_1: True Class: A, Predicted: B, Probability: 1.0
Sequence60.csv_1: True Class: A, Predicted: B, Probability: 0.8559965228124673
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.9999999996588491
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.99999999995658
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence605.csv_1: True Class: A, Predicted: B, Probability: 0.9997164387624662
Sequence606.csv_1: True Class: A, Predicted: B, Probability: 0.9876542783063791
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence608.csv_1: True Class: B, Predicted: A, Probability: 0.9999851745825975
Sequence609.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999997997
Sequence61.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999616282
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence611.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999952626
Sequence612.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999718
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.9999999975118646
Sequence614.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence615.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999996051
Sequence616.csv_1: True Class: A, Predicted: A, Probability: 0.999998389129634
Sequence617.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999895839
Sequence619.csv_1: True Class: B, Predicted: B, Probability: 0.9999999994086893
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 0.5709704337312154
Sequence620.csv_1: True Class: B, Predicted: A, Probability: 0.9998128691013627
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 0.9999977419005464
Sequence622.csv_1: True Class: B, Predicted: A, Probability: 0.9999372306300293
Sequence623.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999423194
Sequence624.csv_1: True Class: A, Predicted: B, Probability: 0.9998666422989841
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence626.csv_1: True Class: A, Predicted: A, Probability: 0.9969779578792428
Sequence627.csv_1: True Class: A, Predicted: A, Probability: 0.9999993603636521
Sequence628.csv_1: True Class: A, Predicted: A, Probability: 0.9999985146775665
Sequence629.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999999923
Sequence63.csv_1: True Class: A, Predicted: A, Probability: 0.9995796038859907
Sequence630.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence631.csv_1: True Class: A, Predicted: A, Probability: 0.9999990349456943
Sequence632.csv_1: True Class: B, Predicted: A, Probability: 0.9712372237957664
Sequence633.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999974531
Sequence634.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence635.csv_1: True Class: A, Predicted: A, Probability: 0.9999999982693935
Sequence636.csv_1: True Class: A, Predicted: A, Probability: 0.9999999994063637
Sequence637.csv_1: True Class: B, Predicted: B, Probability: 0.9966772058948233
Sequence638.csv_1: True Class: B, Predicted: B, Probability: 0.9999991865882611
Sequence639.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999783091
Sequence64.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence640.csv_1: True Class: B, Predicted: B, Probability: 0.999999999992243
Sequence641.csv_1: True Class: A, Predicted: A, Probability: 0.7714358898718616
Sequence642.csv_1: True Class: A, Predicted: A, Probability: 0.9999999929492396
Sequence643.csv_1: True Class: A, Predicted: A, Probability: 0.9999999750624577
Sequence644.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence645.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence646.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999631
Sequence647.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence648.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence649.csv_1: True Class: B, Predicted: A, Probability: 0.9985958775525938
Sequence65.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999881
Sequence650.csv_1: True Class: A, Predicted: A, Probability: 0.9993972452079286
Sequence651.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence652.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence653.csv_1: True Class: A, Predicted: A, Probability: 0.9999604539821976
Sequence654.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999459402
Sequence655.csv_1: True Class: B, Predicted: B, Probability: 0.8887862053758389
Sequence656.csv_1: True Class: A, Predicted: A, Probability: 0.999982210065266
Sequence657.csv_1: True Class: B, Predicted: B, Probability: 0.9994708074352444
Sequence658.csv_1: True Class: A, Predicted: B, Probability: 0.9999625677054591
Sequence659.csv_1: True Class: A, Predicted: A, Probability: 0.9625750571790925
Sequence66.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999922
Sequence660.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence661.csv_1: True Class: A, Predicted: B, Probability: 0.9928834193233363
Sequence662.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence663.csv_1: True Class: A, Predicted: A, Probability: 0.9999999998950517
Sequence664.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999807659
Sequence665.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999999984
Sequence666.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence667.csv_1: True Class: A, Predicted: A, Probability: 0.9994244971327264
Sequence668.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999876
Sequence669.csv_1: True Class: A, Predicted: B, Probability: 0.6987031638399445
