Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.8066547718828017
Sequence55.csv_1: True Class: B, Predicted: A, Probability: 0.7473207408516832
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.8642678349746097
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.998850192595585
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.993500432823743
Sequence553.csv_1: True Class: A, Predicted: B, Probability: 0.6723641832745694
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.9900719112985259
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.9899016290149584
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.6062477417122636
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9998818346139667
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.9997166962530292
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 0.9754683865062571
Sequence56.csv_1: True Class: A, Predicted: B, Probability: 0.9466814139861359
Sequence560.csv_1: True Class: A, Predicted: B, Probability: 0.9975036624692392
Sequence561.csv_1: True Class: A, Predicted: B, Probability: 0.999566428930581
Sequence562.csv_1: True Class: B, Predicted: A, Probability: 0.8823778606665547
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.9927469558276464
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9518179293646472
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.992563787973324
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.999962852274518
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.9996334561959077
Sequence568.csv_1: True Class: B, Predicted: A, Probability: 0.9913276109040349
Sequence569.csv_1: True Class: B, Predicted: A, Probability: 0.9999719823066113
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.9730780896597684
Sequence570.csv_1: True Class: B, Predicted: A, Probability: 0.9993820477845732
Sequence571.csv_1: True Class: A, Predicted: B, Probability: 0.6059014370086954
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 0.9999209236643172
Sequence573.csv_1: True Class: A, Predicted: B, Probability: 0.9721152695869391
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 0.9861933221382033
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.9999043764084479
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9990259750046201
Sequence577.csv_1: True Class: A, Predicted: B, Probability: 0.9948960008643926
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.9881924452778392
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.9999703503231757
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9938165729159735
Sequence580.csv_1: True Class: B, Predicted: A, Probability: 0.9894363829165144
Sequence581.csv_1: True Class: A, Predicted: B, Probability: 0.987812416137564
Sequence582.csv_1: True Class: B, Predicted: A, Probability: 0.9999739827355771
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 0.9172160636468062
Sequence584.csv_1: True Class: B, Predicted: A, Probability: 0.504158746397318
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.9985675971165666
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.9996578216513955
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.9047702857980577
Sequence588.csv_1: True Class: B, Predicted: A, Probability: 0.7678595635430856
Sequence589.csv_1: True Class: A, Predicted: B, Probability: 0.9856238987285851
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.6638595292308168
Sequence590.csv_1: True Class: B, Predicted: B, Probability: 0.8362354968571326
Sequence591.csv_1: True Class: A, Predicted: B, Probability: 0.9924740657280186
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.999996687200616
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9920501577974817
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.9999090562421152
Sequence595.csv_1: True Class: A, Predicted: B, Probability: 0.9960609109028914
Sequence596.csv_1: True Class: B, Predicted: A, Probability: 0.7928242981418631
Sequence597.csv_1: True Class: B, Predicted: B, Probability: 0.7944181106273569
Sequence598.csv_1: True Class: B, Predicted: B, Probability: 0.6128231978359654
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.9766822236387479
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.8289810819858722
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.9911261850041043
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.9999964952764966
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.9711137716099717
Sequence602.csv_1: True Class: B, Predicted: A, Probability: 0.9897106583393959
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 0.7934374358556514
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.999375127496793
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 0.9220249730365534
Sequence606.csv_1: True Class: B, Predicted: A, Probability: 0.9992990963790094
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.9384446398695101
Sequence608.csv_1: True Class: A, Predicted: B, Probability: 0.9994235119662477
Sequence609.csv_1: True Class: B, Predicted: B, Probability: 0.9889157909022821
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 0.9983622115737263
Sequence610.csv_1: True Class: A, Predicted: B, Probability: 0.9160466646599119
Sequence611.csv_1: True Class: A, Predicted: A, Probability: 0.8563603625765754
Sequence612.csv_1: True Class: A, Predicted: A, Probability: 0.9659549474175094
