Sequence549.csv_1: True Class: A, Predicted: C, Probability: 0.9210102727880959
Sequence55.csv_1: True Class: D, Predicted: C, Probability: 0.9635714584121357
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.9995962623355711
Sequence551.csv_1: True Class: C, Predicted: D, Probability: 0.9957195173902911
Sequence552.csv_1: True Class: A, Predicted: C, Probability: 0.9818449848499999
Sequence553.csv_1: True Class: C, Predicted: C, Probability: 0.99999931271561
Sequence554.csv_1: True Class: D, Predicted: C, Probability: 0.9963088693919779
Sequence555.csv_1: True Class: D, Predicted: D, Probability: 0.9996419769482593
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9999934518404439
Sequence557.csv_1: True Class: D, Predicted: B, Probability: 0.9047376383628761
Sequence558.csv_1: True Class: D, Predicted: D, Probability: 0.9999952588834801
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9948943495797061
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999953101282839
Sequence560.csv_1: True Class: C, Predicted: C, Probability: 0.9999627204472215
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9975831751563853
Sequence562.csv_1: True Class: C, Predicted: B, Probability: 0.9976467652162209
Sequence563.csv_1: True Class: A, Predicted: C, Probability: 0.9955154833155543
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9997957923313086
Sequence565.csv_1: True Class: C, Predicted: D, Probability: 0.9980604925822133
Sequence566.csv_1: True Class: B, Predicted: C, Probability: 0.9999994003657602
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9999999995082998
Sequence568.csv_1: True Class: D, Predicted: D, Probability: 0.5805877505117542
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999791783542107
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.9947717203994828
Sequence570.csv_1: True Class: D, Predicted: C, Probability: 0.9102458035611595
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999999843845445
Sequence572.csv_1: True Class: C, Predicted: C, Probability: 0.9995819639335422
Sequence573.csv_1: True Class: A, Predicted: D, Probability: 0.958572081875013
Sequence574.csv_1: True Class: D, Predicted: B, Probability: 0.9995161840105152
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999989872284948
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9973791668223054
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999959754
Sequence578.csv_1: True Class: D, Predicted: C, Probability: 0.6712661783558692
Sequence579.csv_1: True Class: D, Predicted: C, Probability: 0.9842095158871557
Sequence58.csv_1: True Class: D, Predicted: C, Probability: 0.9869146120376145
Sequence580.csv_1: True Class: D, Predicted: C, Probability: 0.9826641835627884
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.7726117698203419
Sequence582.csv_1: True Class: A, Predicted: D, Probability: 0.9999980580187553
Sequence583.csv_1: True Class: C, Predicted: D, Probability: 0.982399451638135
Sequence584.csv_1: True Class: B, Predicted: C, Probability: 0.9850713251659678
Sequence585.csv_1: True Class: D, Predicted: C, Probability: 0.9997382049109392
Sequence586.csv_1: True Class: A, Predicted: D, Probability: 0.5891128797419178
Sequence587.csv_1: True Class: C, Predicted: C, Probability: 0.949770021922859
Sequence588.csv_1: True Class: C, Predicted: D, Probability: 0.9998193915415311
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9935217740033165
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.9578667138637564
Sequence590.csv_1: True Class: B, Predicted: C, Probability: 0.9961188174064113
Sequence591.csv_1: True Class: D, Predicted: D, Probability: 0.6755340880326728
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9999147162784742
Sequence593.csv_1: True Class: A, Predicted: D, Probability: 0.5141085280872926
Sequence594.csv_1: True Class: B, Predicted: A, Probability: 0.8901832033216907
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.9999999971133009
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9999715314311534
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9999865890086315
Sequence598.csv_1: True Class: A, Predicted: C, Probability: 0.8906311338349086
Sequence599.csv_1: True Class: C, Predicted: A, Probability: 0.9998495895688415
Sequence6.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999999529
Sequence60.csv_1: True Class: D, Predicted: D, Probability: 0.9998765911035571
Sequence600.csv_1: True Class: B, Predicted: D, Probability: 0.8345102308761954
Sequence601.csv_1: True Class: C, Predicted: C, Probability: 0.9960501705088636
Sequence602.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999704878
Sequence603.csv_1: True Class: B, Predicted: A, Probability: 0.9749573327365357
Sequence604.csv_1: True Class: A, Predicted: D, Probability: 0.9999827475631065
Sequence605.csv_1: True Class: D, Predicted: D, Probability: 0.9999999999999963
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence607.csv_1: True Class: A, Predicted: B, Probability: 0.9641189137469313
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.9999999648508753
Sequence609.csv_1: True Class: D, Predicted: A, Probability: 0.999901682094679
