Sequence549.csv_1: True Class: C, Predicted: B, Probability: 0.8317059887622593
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.38592580317304637
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.5763076569457372
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.7388154591293327
Sequence552.csv_1: True Class: B, Predicted: C, Probability: 0.8756645992171829
Sequence553.csv_1: True Class: A, Predicted: C, Probability: 0.9694797771463747
Sequence554.csv_1: True Class: C, Predicted: C, Probability: 0.8401495885675312
Sequence555.csv_1: True Class: B, Predicted: C, Probability: 0.6063864970808764
Sequence556.csv_1: True Class: C, Predicted: C, Probability: 0.9970626889957931
Sequence557.csv_1: True Class: C, Predicted: B, Probability: 0.987584932390464
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.7989757520272395
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.9998252965819332
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.9999993724330564
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.5843003702434929
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9988607253881879
Sequence562.csv_1: True Class: C, Predicted: C, Probability: 0.9999167419842514
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9979495632624967
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9981776282127909
Sequence565.csv_1: True Class: C, Predicted: B, Probability: 0.9976282282210903
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.925595187250082
Sequence567.csv_1: True Class: A, Predicted: C, Probability: 0.9961745110864295
Sequence568.csv_1: True Class: A, Predicted: C, Probability: 0.9437809776483996
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9676817314113378
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999996248651141
Sequence570.csv_1: True Class: A, Predicted: B, Probability: 0.9574882079587975
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9995676725401742
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.7347114318117892
Sequence573.csv_1: True Class: C, Predicted: A, Probability: 0.9952394312374275
Sequence574.csv_1: True Class: C, Predicted: C, Probability: 0.9999992156216523
Sequence575.csv_1: True Class: C, Predicted: B, Probability: 0.8273678450449304
Sequence576.csv_1: True Class: C, Predicted: A, Probability: 0.9999779211446939
Sequence577.csv_1: True Class: B, Predicted: C, Probability: 0.9998206168501114
Sequence578.csv_1: True Class: B, Predicted: C, Probability: 0.6986600723652364
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.7144510392110132
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9966392535123739
Sequence580.csv_1: True Class: C, Predicted: A, Probability: 0.9998815631756323
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9204782241695406
Sequence582.csv_1: True Class: A, Predicted: C, Probability: 0.7831476544458346
Sequence583.csv_1: True Class: C, Predicted: C, Probability: 0.8151547391241116
Sequence584.csv_1: True Class: C, Predicted: C, Probability: 0.9993135702448184
Sequence585.csv_1: True Class: C, Predicted: B, Probability: 0.9999956892321179
Sequence586.csv_1: True Class: B, Predicted: C, Probability: 0.9560946212027437
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9623963952696504
Sequence588.csv_1: True Class: C, Predicted: B, Probability: 0.7037509567452364
Sequence589.csv_1: True Class: B, Predicted: C, Probability: 0.9420065873571182
Sequence59.csv_1: True Class: B, Predicted: C, Probability: 0.999700273941584
Sequence590.csv_1: True Class: C, Predicted: B, Probability: 0.5489068482974584
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.9544756134562955
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.9999381307804931
Sequence593.csv_1: True Class: B, Predicted: C, Probability: 0.9970773383825282
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.8137568944656061
Sequence595.csv_1: True Class: A, Predicted: B, Probability: 0.8103616016497578
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9137693979242435
Sequence597.csv_1: True Class: C, Predicted: A, Probability: 0.9999879298292331
Sequence598.csv_1: True Class: B, Predicted: B, Probability: 0.7315956833011653
Sequence599.csv_1: True Class: C, Predicted: C, Probability: 0.9952978932447895
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.9777994645340642
Sequence60.csv_1: True Class: A, Predicted: B, Probability: 0.9791959455727445
Sequence600.csv_1: True Class: C, Predicted: A, Probability: 0.9999817374263803
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.859883146229851
Sequence602.csv_1: True Class: C, Predicted: B, Probability: 0.7121265307662072
Sequence603.csv_1: True Class: C, Predicted: A, Probability: 0.5455182713415888
Sequence604.csv_1: True Class: C, Predicted: A, Probability: 0.6470995556703601
Sequence605.csv_1: True Class: C, Predicted: B, Probability: 0.9999949649382607
Sequence606.csv_1: True Class: A, Predicted: C, Probability: 0.9998985017506533
Sequence607.csv_1: True Class: C, Predicted: B, Probability: 0.9729383788056382
Sequence608.csv_1: True Class: B, Predicted: B, Probability: 0.8648719886228631
Sequence609.csv_1: True Class: C, Predicted: C, Probability: 0.5230557005632294
Sequence61.csv_1: True Class: A, Predicted: C, Probability: 0.6448907725885394
Sequence610.csv_1: True Class: B, Predicted: C, Probability: 0.9999620803085765
Sequence611.csv_1: True Class: C, Predicted: C, Probability: 0.9999968591415501
Sequence612.csv_1: True Class: B, Predicted: A, Probability: 0.7693631347426143
Sequence613.csv_1: True Class: C, Predicted: B, Probability: 0.9952368620517972
Sequence614.csv_1: True Class: B, Predicted: A, Probability: 0.9997505222234424
Sequence615.csv_1: True Class: C, Predicted: C, Probability: 0.9998325244781776
Sequence616.csv_1: True Class: A, Predicted: A, Probability: 0.9994290308405964
Sequence617.csv_1: True Class: C, Predicted: C, Probability: 0.9999046148011449
