Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.9172488004901808
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9999141754506712
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.7939922518855147
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.9995976146901984
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.9829526590168673
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.5093631072572811
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.9856456089331832
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.8416028453016746
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.9975749995839179
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9995805888727523
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9777203161421185
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9998541190588734
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.79345558418216
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.7079870166538692
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.6187407844978515
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9984717672878708
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9787799903403499
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9839636387256359
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.8251957829803958
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.7465206242135322
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9910426473817693
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.8677518249304151
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.5350697097456423
Sequence57.csv_1: True Class: B, Predicted: A, Probability: 0.9788595505762313
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.894558206003511
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9996553231313975
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.9881301674232607
Sequence573.csv_1: True Class: A, Predicted: B, Probability: 0.9892071126305014
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9239913488363753
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.5124340329428129
Sequence576.csv_1: True Class: A, Predicted: B, Probability: 0.8280858767902857
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.9509765723809744
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 0.7567716287414571
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.9266113554992014
Sequence58.csv_1: True Class: B, Predicted: A, Probability: 0.7664433469622273
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9999757809507789
