Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9908017261058256
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999406265
Sequence550.csv_1: True Class: A, Predicted: B, Probability: 0.6488685932544983
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.9408140040486749
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.9999592109881099
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999952
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9999973733047461
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.997617970296693
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.9999998342955233
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999998452
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.999999999999997
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.9999988209606181
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999630925
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.9986841076817788
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.9999683015112916
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9808723989209339
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999476
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999355603
Sequence571.csv_1: True Class: A, Predicted: B, Probability: 0.8936215211333579
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9999999497465176
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9996937530234415
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9967799277507324
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.9999998355149853
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9999999977135616
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.999999999994722
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999992960941682
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.9999999898934928
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 0.9999999907973006
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.9999849845597301
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.9999999804483264
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999998722
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999999618
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999993052
Sequence59.csv_1: True Class: B, Predicted: A, Probability: 0.9999943845855471
Sequence590.csv_1: True Class: B, Predicted: B, Probability: 0.9999475879075646
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999422512
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999463
Sequence593.csv_1: True Class: B, Predicted: A, Probability: 0.9797171581359456
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.9999371851972381
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.996815655257074
Sequence596.csv_1: True Class: B, Predicted: B, Probability: 0.9985293245400111
Sequence597.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence598.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999998
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.9999999983402674
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.9999999864289705
Sequence602.csv_1: True Class: B, Predicted: B, Probability: 0.9967212896350223
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 0.9999997091187041
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.9816387385494544
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999992
Sequence606.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999998366
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.9999999903085556
Sequence608.csv_1: True Class: B, Predicted: A, Probability: 0.999332049129046
Sequence609.csv_1: True Class: B, Predicted: B, Probability: 0.9999875918846536
Sequence61.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 0.9999999393159738
Sequence611.csv_1: True Class: B, Predicted: A, Probability: 0.9977717217477361
Sequence612.csv_1: True Class: B, Predicted: A, Probability: 0.9999999784067694
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.9999999952795501
Sequence614.csv_1: True Class: A, Predicted: A, Probability: 0.9999998682943503
Sequence615.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998681274
Sequence616.csv_1: True Class: B, Predicted: B, Probability: 0.9999999961891092
Sequence617.csv_1: True Class: B, Predicted: B, Probability: 0.9999999768865131
Sequence618.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999926877
Sequence619.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999992
Sequence62.csv_1: True Class: B, Predicted: A, Probability: 0.8799860871392152
Sequence620.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999993756
Sequence621.csv_1: True Class: B, Predicted: B, Probability: 0.5686157863364412
Sequence622.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence623.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999417876
Sequence624.csv_1: True Class: B, Predicted: B, Probability: 0.999999665903319
Sequence625.csv_1: True Class: B, Predicted: B, Probability: 0.999998344223922
Sequence626.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999902
Sequence627.csv_1: True Class: B, Predicted: B, Probability: 0.9999999979650654
Sequence628.csv_1: True Class: B, Predicted: A, Probability: 0.7451510194776341
Sequence629.csv_1: True Class: A, Predicted: B, Probability: 0.8733833639837147
Sequence63.csv_1: True Class: B, Predicted: B, Probability: 0.9997846432215668
