Sequence549.csv_1: True Class: A, Predicted: B, Probability: 0.999931308151864
Sequence55.csv_1: True Class: A, Predicted: B, Probability: 0.993546056616501
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.9736419808710964
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.6234557617560779
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.9999274499593779
Sequence553.csv_1: True Class: A, Predicted: B, Probability: 0.6022486318203432
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.9999913319014583
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9975144013667107
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.999999999190819
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9690899039962216
Sequence558.csv_1: True Class: A, Predicted: B, Probability: 0.9995815997797528
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9289245659723372
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999378422180145
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9999407835209645
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.8710383284026882
Sequence562.csv_1: True Class: A, Predicted: B, Probability: 0.9999925208801737
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9999995689171689
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.8358107305523697
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999013250647141
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.999964163739583
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9999433128865788
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9999133744242079
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9999986408341129
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.9276032186841597
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.7157135254053386
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999918757876641
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.9966583707148807
Sequence573.csv_1: True Class: A, Predicted: B, Probability: 0.7665371565583023
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 0.9647666090766953
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999441052933992
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9576053492495852
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.9999388487590577
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.9564137076288657
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999994929
Sequence58.csv_1: True Class: A, Predicted: B, Probability: 0.9940690017937314
Sequence580.csv_1: True Class: B, Predicted: A, Probability: 0.9999655843644842
Sequence581.csv_1: True Class: B, Predicted: B, Probability: 0.6784812371626746
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.9999999113596241
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.9999866496046318
Sequence584.csv_1: True Class: B, Predicted: A, Probability: 0.7566634361819533
Sequence585.csv_1: True Class: A, Predicted: B, Probability: 0.9834700367341184
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999997294
Sequence587.csv_1: True Class: A, Predicted: B, Probability: 0.6645020436480079
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.9779413954914555
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9992177188229078
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.9999293837264372
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.9999999971203752
Sequence591.csv_1: True Class: B, Predicted: A, Probability: 0.9833022765659752
Sequence592.csv_1: True Class: A, Predicted: B, Probability: 0.9972668384397725
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9774967789410108
Sequence594.csv_1: True Class: B, Predicted: A, Probability: 0.9953939719754824
Sequence595.csv_1: True Class: B, Predicted: A, Probability: 0.8052167355572951
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9931284408236984
Sequence597.csv_1: True Class: A, Predicted: B, Probability: 0.9844723509437284
Sequence598.csv_1: True Class: B, Predicted: A, Probability: 0.999867561839518
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.9999947826791364
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.9997553603793922
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 0.9999783977837263
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.9104028708034977
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.9999999990087458
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.9999766668174646
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.9992831828304102
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.6569842376995659
Sequence605.csv_1: True Class: B, Predicted: A, Probability: 0.8403350660401184
Sequence606.csv_1: True Class: A, Predicted: B, Probability: 0.8061634065814435
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.9993171120923117
Sequence608.csv_1: True Class: A, Predicted: A, Probability: 0.9746685970306551
Sequence609.csv_1: True Class: B, Predicted: B, Probability: 0.9999926728219646
Sequence61.csv_1: True Class: A, Predicted: B, Probability: 0.9993613621000881
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999950191
Sequence611.csv_1: True Class: B, Predicted: B, Probability: 0.7328199869314729
Sequence612.csv_1: True Class: A, Predicted: B, Probability: 0.9999994996981825
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.9334224214343732
Sequence614.csv_1: True Class: A, Predicted: B, Probability: 0.6214444751642667
Sequence615.csv_1: True Class: A, Predicted: B, Probability: 0.9999983427121399
Sequence616.csv_1: True Class: A, Predicted: B, Probability: 0.6670789893093272
Sequence617.csv_1: True Class: A, Predicted: A, Probability: 0.9993357503124568
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.9999908669264386
Sequence619.csv_1: True Class: A, Predicted: B, Probability: 0.9852990663307328
Sequence62.csv_1: True Class: A, Predicted: B, Probability: 0.9960732690856989
Sequence620.csv_1: True Class: A, Predicted: B, Probability: 0.9202510497280191
Sequence621.csv_1: True Class: B, Predicted: A, Probability: 0.9999922161535659
Sequence622.csv_1: True Class: A, Predicted: A, Probability: 0.8263230861646983
Sequence623.csv_1: True Class: A, Predicted: A, Probability: 0.999755948701403
Sequence624.csv_1: True Class: A, Predicted: A, Probability: 0.9998865582927912
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 0.9803795549376044
Sequence626.csv_1: True Class: B, Predicted: B, Probability: 0.999994233820474
Sequence627.csv_1: True Class: A, Predicted: A, Probability: 0.999999997164725
Sequence628.csv_1: True Class: A, Predicted: A, Probability: 0.5624158548941874
Sequence629.csv_1: True Class: A, Predicted: B, Probability: 0.9996055496895025
Sequence63.csv_1: True Class: A, Predicted: A, Probability: 0.9975551970451239
Sequence630.csv_1: True Class: B, Predicted: B, Probability: 0.9974844457845593
Sequence631.csv_1: True Class: B, Predicted: A, Probability: 0.9999063910299671
Sequence632.csv_1: True Class: A, Predicted: A, Probability: 0.9990742889570253
Sequence633.csv_1: True Class: B, Predicted: A, Probability: 0.9997602326449988
Sequence634.csv_1: True Class: A, Predicted: A, Probability: 0.9683327004989576
Sequence635.csv_1: True Class: B, Predicted: A, Probability: 0.999999999454368
Sequence636.csv_1: True Class: A, Predicted: B, Probability: 0.9520897737078458
Sequence637.csv_1: True Class: A, Predicted: A, Probability: 0.9846494856659117
Sequence638.csv_1: True Class: B, Predicted: B, Probability: 0.9659304505275119
Sequence639.csv_1: True Class: A, Predicted: B, Probability: 0.9999993158660464
Sequence64.csv_1: True Class: A, Predicted: A, Probability: 0.9999999771311721
Sequence640.csv_1: True Class: B, Predicted: B, Probability: 0.9177080067116706
Sequence641.csv_1: True Class: A, Predicted: A, Probability: 0.9868061083514144
Sequence642.csv_1: True Class: A, Predicted: A, Probability: 0.9848353606607252
Sequence643.csv_1: True Class: A, Predicted: A, Probability: 0.9990442197091863
Sequence644.csv_1: True Class: A, Predicted: B, Probability: 0.9949034475968954
Sequence645.csv_1: True Class: B, Predicted: B, Probability: 0.9917579244712559
Sequence646.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999958143
