74890897-2712.csv_1: True Class: high, Predicted: low, Probability: 0.600999063378083
74890897-2712.csv_2: True Class: low, Predicted: low, Probability: 0.6009990633780831
749059512-2713.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
749359476-2714.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
749659440-2715.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
7499088-2716.csv_1: True Class: inactive, Predicted: low, Probability: 0.6009990633780831
749959404-2717.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
750259367-2718.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
750559331-2719.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
750859295-2720.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
751159259-2721.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
751459107-2722.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
751758771-2723.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
75190861-2724.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
752058865-2725.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
752359113-2726.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
752659077-2727.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
752959041-2728.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
753259004-2729.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
753558968-2730.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
753858932-2731.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
754158896-2732.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
754458859-2733.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
754758823-2734.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
75490824-2735.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
755058733-2736.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
755358625-2737.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
755658589-2738.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
755958582-2739.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
756258620-2740.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
756558605-2741.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
756858569-2742.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
757158533-2743.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
757158533-2743.csv_2: True Class: high, Predicted: low, Probability: 0.6009990633780831
757458497-2744.csv_1: True Class: high, Predicted: low, Probability: 0.600999063378083
757458497-2744.csv_2: True Class: low, Predicted: low, Probability: 0.6009990633780831
757758460-2745.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
75790788-2746.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
75790788-2746.csv_2: True Class: high, Predicted: low, Probability: 0.6009990633780831
758058424-2747.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
758058424-2747.csv_2: True Class: high, Predicted: low, Probability: 0.600999063378083
758358381-2748.csv_1: True Class: high, Predicted: low, Probability: 0.600999063378083
758358381-2748.csv_2: True Class: low, Predicted: low, Probability: 0.600999063378083
758658194-2749.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
758958008-2750.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
759257822-2751.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
759557958-2752.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
759858206-2753.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
760158170-2754.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
760458134-2755.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
760758097-2756.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
76090751-2757.csv_1: True Class: high, Predicted: low, Probability: 0.6009990633780831
76090751-2757.csv_2: True Class: low, Predicted: low, Probability: 0.6009990633780831
761058061-2758.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
761358010-2759.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
761657674-2760.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
761957567-2761.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
761957567-2761.csv_2: True Class: high, Predicted: low, Probability: 0.6009990633780831
761957567-2761.csv_3: True Class: low, Predicted: low, Probability: 0.6009990633780831
762257831-2762.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
762557880-2763.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
762557880-2763.csv_2: True Class: high, Predicted: low, Probability: 0.6009990633780831
762557880-2763.csv_3: True Class: low, Predicted: low, Probability: 0.600999063378083
762857828-2764.csv_1: True Class: low, Predicted: low, Probability: 0.600999063378083
763157492-2765.csv_1: True Class: low, Predicted: low, Probability: 0.6009990633780831
