74890897-2712.csv_1: True Class: high, Predicted: low, Probability: 0.6096032815869727
74890897-2712.csv_2: True Class: low, Predicted: low, Probability: 0.6065700597404452
749059512-2713.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
749359476-2714.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
749659440-2715.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
7499088-2716.csv_1: True Class: inactive, Predicted: low, Probability: 0.6151204188305054
749959404-2717.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
750259367-2718.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305057
750559331-2719.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
750859295-2720.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
751159259-2721.csv_1: True Class: low, Predicted: low, Probability: 0.6151151352681947
751459107-2722.csv_1: True Class: low, Predicted: low, Probability: 0.6151066072207388
751758771-2723.csv_1: True Class: low, Predicted: low, Probability: 0.6151263511425982
75190861-2724.csv_1: True Class: low, Predicted: low, Probability: 0.6151203724838649
752058865-2725.csv_1: True Class: low, Predicted: low, Probability: 0.6151335809924248
752359113-2726.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
752659077-2727.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
752959041-2728.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
753259004-2729.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305057
753558968-2730.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
753858932-2731.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
754158896-2732.csv_1: True Class: low, Predicted: low, Probability: 0.6151203724838645
754458859-2733.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
754758823-2734.csv_1: True Class: low, Predicted: low, Probability: 0.6151179624488532
75490824-2735.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
755058733-2736.csv_1: True Class: low, Predicted: low, Probability: 0.6151170818544021
755358625-2737.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
755658589-2738.csv_1: True Class: low, Predicted: low, Probability: 0.6151217165336056
755958582-2739.csv_1: True Class: low, Predicted: low, Probability: 0.6151238484624628
756258620-2740.csv_1: True Class: low, Predicted: low, Probability: 0.615121392108347
756558605-2741.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
756858569-2742.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305054
757158533-2743.csv_1: True Class: low, Predicted: low, Probability: 0.6078057862187334
757158533-2743.csv_2: True Class: high, Predicted: low, Probability: 0.6083744917107557
757458497-2744.csv_1: True Class: high, Predicted: low, Probability: 0.6039883803941112
757458497-2744.csv_2: True Class: low, Predicted: low, Probability: 0.612140226328112
757758460-2745.csv_1: True Class: low, Predicted: low, Probability: 0.6151204188305057
75790788-2746.csv_1: True Class: low, Predicted: low, Probability: 0.6136338708810211
75790788-2746.csv_2: True Class: high, Predicted: low, Probability: 0.6024488655086186
758058424-2747.csv_1: True Class: low, Predicted: low, Probability: 0.6098862070005568
758058424-2747.csv_2: True Class: high, Predicted: low, Probability: 0.6062838992148739
