Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.9994819729673166
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9999999881422499
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.7271330240526986
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.9986028280776104
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999995114375043
Sequence553.csv_1: True Class: A, Predicted: B, Probability: 0.5184663559407027
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.9999975804272594
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999993988
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.9858115795600852
Sequence557.csv_1: True Class: B, Predicted: B, Probability: 0.9953586925369637
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.9977840375269564
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.9999999995358775
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.9995976162449666
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999791157
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9998818676645701
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.9427105931882868
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.9999468901185731
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.6121460033545916
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.9999879387618407
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.9999999898414923
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.9999998729572868
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.839811853500111
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9999998726191804
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.9999999766539182
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9922684819281486
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.9998542426528756
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999993884
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9894714895467304
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9999999897074503
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.8923588295568191
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999946659
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999225288461013
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9999984579752644
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.9998284404159498
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.9830083123103939
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9429043672250622
Sequence581.csv_1: True Class: A, Predicted: B, Probability: 0.9995186168913226
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9999750000346163
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.972003919490383
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.999999999996325
Sequence585.csv_1: True Class: A, Predicted: B, Probability: 0.9290911554109199
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9992630133057917
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999941823
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.7488337394386332
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9999700439107575
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.9999853984631503
Sequence590.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999987876
Sequence591.csv_1: True Class: B, Predicted: A, Probability: 0.9976270480224656
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.999999976024005
Sequence593.csv_1: True Class: B, Predicted: B, Probability: 0.9999967887344893
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.8482979651504047
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.9999999708294117
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.5586706597515405
Sequence597.csv_1: True Class: B, Predicted: B, Probability: 0.9988140270576138
Sequence598.csv_1: True Class: B, Predicted: A, Probability: 0.9999998609561926
Sequence599.csv_1: True Class: A, Predicted: B, Probability: 0.999999949279271
Sequence6.csv_1: True Class: B, Predicted: A, Probability: 0.998205612595517
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 0.9990516027790857
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.9994095827816716
Sequence601.csv_1: True Class: A, Predicted: B, Probability: 0.9609410442598965
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.9999999335546271
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.9999999994446526
Sequence604.csv_1: True Class: B, Predicted: B, Probability: 0.9997386248064168
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 0.999999999153092
Sequence606.csv_1: True Class: B, Predicted: A, Probability: 0.9999990659497685
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.9999816591981067
Sequence608.csv_1: True Class: B, Predicted: A, Probability: 0.6029723487730547
